"","method","parameter","estimate","ci.lb","ci.ub","inInt","bad.rhat","min.neff","num.Divergent","tree.Depth.Ex","min.bfmi","rsession","simulation","N","mu","tau","num.iters","alpha","nu","tdf","maxtree","adaptDelta","Iteration","lb","ub"
"1","DL","tau",1.06211603735439,0.882366491689099,2.81580034259406,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,1,0.1,1
"2","SJ","tau",1.45292896241194,0.882366491689099,2.81580034259406,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,1,0.1,1
"3","REML","tau",1.4215358970899,0.882366491689099,2.81580034259406,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,1,0.1,1
"4","PM","tau",1.44358553669742,0.882362589208459,2.81580438650902,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,1,0.1,1
"5","DL","mu",10.0283572465138,9.28209042401985,10.7746240690078,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,1,0.1,1
"6","SJ","mu",9.99905596569651,9.02781964311765,10.9702922882754,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,1,0.1,1
"7","REML","mu",10.0007364412447,9.04778933877443,10.953683543715,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,1,0.1,1
"8","PM","mu",9.9995468003389,9.03375728339847,10.9653363172793,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,1,0.1,1
"9","GaussGauss","tau",1.63651077379009,0.881064143311999,2.8965561921149,TRUE,0,1180.37856206755,0,0,0.704331655926914,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,1,0.1,1
"10","GaussGauss","mu",9.99981207222783,8.82106063161604,11.0920238564053,TRUE,0,1180.37856206755,0,0,0.704331655926914,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,1,0.1,1
"11","DL","tau",0.742422532505544,0.692601652181966,2.7837192396768,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,2,0.1,1
"12","SJ","tau",1.38562983837291,0.692601652181966,2.7837192396768,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,2,0.1,1
"13","REML","tau",1.28343077496421,0.692601652181966,2.7837192396768,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,2,0.1,1
"14","PM","tau",1.34044529920182,0.692605237546785,2.78372221498945,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,2,0.1,1
"15","DL","mu",9.74742586222038,9.10947148848203,10.3853802359587,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,2,0.1,1
"16","SJ","mu",9.83017821191054,8.84723961614019,10.8131168076809,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,2,0.1,1
"17","REML","mu",9.82438257641451,8.89773254689461,10.7510326059344,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,2,0.1,1
