"Date","ratio","adev","adev_lower","adev_upper","type"
2025-02-27,"AlSr",4.23825675531345e-18,3.92244589145744e-18,4.57949473900474e-18,"Simple Model Intercept"
2025-02-28,"AlSr",5.48547832985638e-18,4.94852834064042e-18,6.08069115421692e-18,"Simple Model Intercept"
2025-03-04,"AlSr",6.24156777345359e-18,6.02039214228882e-18,6.47086889855049e-18,"Simple Model Intercept"
2025-03-06,"AlSr",7.19955136449462e-18,6.2586277941798e-18,8.28193360503062e-18,"Simple Model Intercept"
2025-03-07,"AlSr",4.92164027302133e-18,4.55897674749813e-18,5.31315343740639e-18,"Simple Model Intercept"
2025-03-13,"AlSr",5.96818681250621e-18,5.12134489467837e-18,6.95505859525012e-18,"Simple Model Intercept"
2025-03-18,"AlSr",1.25674819582488e-17,1.03439293465227e-17,1.52690140738446e-17,"Simple Model Intercept"
2025-03-20,"AlSr",5.66334161811212e-18,5.02304679018662e-18,6.38525572688308e-18,"Simple Model Intercept"
2025-03-21,"AlSr",6.44711726982221e-18,5.88337459965774e-18,7.06487754379226e-18,"Simple Model Intercept"
2025-01-16,"AlSr",5.88e-18,NA,NA,"Time Domain"
2025-01-24,"AlSr",5.5e-18,NA,NA,"Time Domain"
2025-02-04,"AlSr",3.29e-18,NA,NA,"Time Domain"
2025-02-06,"AlSr",2.83e-18,NA,NA,"Time Domain"
2025-02-27,"AlSr",3.48e-18,NA,NA,"Time Domain"
2025-02-28,"AlSr",2.88e-18,NA,NA,"Time Domain"
2025-03-04,"AlSr",4.23e-18,NA,NA,"Time Domain"
2025-03-06,"AlSr",4.68e-18,NA,NA,"Time Domain"
2025-03-07,"AlSr",3.48e-18,NA,NA,"Time Domain"
2025-03-13,"AlSr",3.66e-18,NA,NA,"Time Domain"
2025-03-18,"AlSr",8.27e-18,NA,NA,"Time Domain"
2025-03-20,"AlSr",3.5e-18,NA,NA,"Time Domain"
2025-03-21,"AlSr",3.95e-18,NA,NA,"Time Domain"
