"Date","ratio","adev","adev_lower","adev_upper","type"
2025-02-27,"AlYb",3.66279583653561e-18,3.36863957907062e-18,3.98263839904297e-18,"Simple Model Intercept"
2025-02-28,"AlYb",5.34255103563125e-18,4.89328786889946e-18,5.83306200923432e-18,"Simple Model Intercept"
2025-03-04,"AlYb",4.95248628608156e-18,4.38112723933644e-18,5.59835838448298e-18,"Simple Model Intercept"
2025-03-06,"AlYb",7.37859954637141e-18,6.9108650763475e-18,7.8779907673276e-18,"Simple Model Intercept"
2025-03-07,"AlYb",6.75102662969651e-18,6.18989957176163e-18,7.36302100324715e-18,"Simple Model Intercept"
2025-03-13,"AlYb",4.86733071161518e-18,4.2683492199388e-18,5.55036784374733e-18,"Simple Model Intercept"
2025-03-18,"AlYb",6.36681828567832e-18,5.79123591830403e-18,6.99960693273205e-18,"Simple Model Intercept"
2025-03-20,"AlYb",3.05992157572161e-18,2.86725976026082e-18,3.26552905297807e-18,"Simple Model Intercept"
2025-03-21,"AlYb",6.42411873202213e-18,5.84323875009733e-18,7.0627443525956e-18,"Simple Model Intercept"
2025-01-16,"AlYb",6.46e-18,NA,NA,"Time Domain"
2025-01-24,"AlYb",8.34e-18,NA,NA,"Time Domain"
2025-02-04,"AlYb",3.78e-18,NA,NA,"Time Domain"
2025-02-06,"AlYb",3.62e-18,NA,NA,"Time Domain"
2025-02-27,"AlYb",3.37e-18,NA,NA,"Time Domain"
2025-02-28,"AlYb",3.78e-18,NA,NA,"Time Domain"
2025-03-04,"AlYb",4.25e-18,NA,NA,"Time Domain"
2025-03-06,"AlYb",4.72e-18,NA,NA,"Time Domain"
2025-03-07,"AlYb",4.78e-18,NA,NA,"Time Domain"
2025-03-13,"AlYb",3.8e-18,NA,NA,"Time Domain"
2025-03-18,"AlYb",5.73e-18,NA,NA,"Time Domain"
2025-03-20,"AlYb",3.66e-18,NA,NA,"Time Domain"
2025-03-21,"AlYb",3.94e-18,NA,NA,"Time Domain"
