"Date","ratio","adev","adev_lower","adev_upper","type"
2025-01-16,"YbSr",1.13153695167469e-18,1.10168335042008e-18,1.16356376188625e-18,"Complex Spectral Model"
2025-01-24,"YbSr",1.19573154265448e-18,1.16194689051038e-18,1.23052313354902e-18,"Complex Spectral Model"
2025-02-04,"YbSr",8.8666927112151e-19,8.66859376996698e-19,9.06707596128483e-19,"Complex Spectral Model"
2025-02-06,"YbSr",1.17274289645842e-18,1.13905006449005e-18,1.2095590763256e-18,"Complex Spectral Model"
2025-02-27,"YbSr",9.73722711791018e-19,9.51269462844747e-19,9.96113263895109e-19,"Complex Spectral Model"
2025-02-28,"YbSr",8.96210294055992e-19,8.73031122426467e-19,9.18994660709884e-19,"Complex Spectral Model"
2025-03-04,"YbSr",8.86245866863708e-19,8.67396483249182e-19,9.06229178713293e-19,"Complex Spectral Model"
2025-03-06,"YbSr",5.39113743268638e-19,2.55353478254778e-20,1.01699915635938e-18,"Complex Spectral Model"
2025-03-07,"YbSr",1.12424782696591e-18,1.08974001510841e-18,1.15884177378631e-18,"Complex Spectral Model"
2025-03-13,"YbSr",1.12801239340815e-18,1.09539049884114e-18,1.16194885326611e-18,"Complex Spectral Model"
2025-03-18,"YbSr",1.18867419028161e-18,1.15393825166287e-18,1.22235415655752e-18,"Complex Spectral Model"
2025-03-20,"YbSr",8.7244218197548e-19,8.5094603880115e-19,8.95007063940556e-19,"Complex Spectral Model"
2025-03-21,"YbSr",1.07249505810889e-18,1.04356592568354e-18,1.10206884437503e-18,"Complex Spectral Model"
