"Date","ratio","adev","adev_lower","adev_upper","type"
2025-01-16,"YbSr",6.48978736728897e-19,6.13587851162585e-19,6.86410918873676e-19,"Simple Model Intercept"
2025-01-24,"YbSr",7.83032876599326e-19,6.27947518182763e-19,9.76419952434564e-19,"Simple Model Intercept"
2025-02-04,"YbSr",7.93125209834511e-19,7.13602257768973e-19,8.81510101217603e-19,"Simple Model Intercept"
2025-02-06,"YbSr",8.02382308835847e-19,7.32449682729276e-19,8.78991942673431e-19,"Simple Model Intercept"
2025-02-27,"YbSr",8.06687534070446e-19,7.62202658315323e-19,8.53768706426428e-19,"Simple Model Intercept"
2025-02-28,"YbSr",7.75431201729034e-19,7.30258093222508e-19,8.23398678077671e-19,"Simple Model Intercept"
2025-03-04,"YbSr",7.10816129632133e-19,5.96166106672782e-19,8.47514752163741e-19,"Simple Model Intercept"
2025-03-06,"YbSr",1.18754980374247e-18,1.07440764622699e-18,1.31260657099868e-18,"Simple Model Intercept"
2025-03-07,"YbSr",1.51371124894276e-18,1.44121642143746e-18,1.58985264884124e-18,"Simple Model Intercept"
2025-03-13,"YbSr",8.75075081804686e-19,8.41717716818542e-19,9.09754402805994e-19,"Simple Model Intercept"
2025-03-18,"YbSr",9.15477406423832e-19,8.19464572729575e-19,1.02273961506458e-18,"Simple Model Intercept"
2025-03-20,"YbSr",7.58735780347009e-19,7.00319879289094e-19,8.22024336883264e-19,"Simple Model Intercept"
2025-03-21,"YbSr",7.97740987872444e-19,6.78815836870423e-19,9.37501232537067e-19,"Simple Model Intercept"
2025-01-16,"YbSr",1.21e-18,NA,NA,"Time Domain"
2025-01-24,"YbSr",1.58e-18,NA,NA,"Time Domain"
2025-02-04,"YbSr",1.03e-18,NA,NA,"Time Domain"
2025-02-06,"YbSr",1.56e-18,NA,NA,"Time Domain"
2025-02-27,"YbSr",1.31e-18,NA,NA,"Time Domain"
2025-02-28,"YbSr",1.15e-18,NA,NA,"Time Domain"
2025-03-04,"YbSr",1.07e-18,NA,NA,"Time Domain"
2025-03-06,"YbSr",1.36e-18,NA,NA,"Time Domain"
2025-03-07,"YbSr",1.59e-18,NA,NA,"Time Domain"
2025-03-13,"YbSr",1.15e-18,NA,NA,"Time Domain"
2025-03-18,"YbSr",1.47e-18,NA,NA,"Time Domain"
2025-03-20,"YbSr",1.1e-18,NA,NA,"Time Domain"
2025-03-21,"YbSr",1.18e-18,NA,NA,"Time Domain"
