#Frequency shifts file for ErYb measurement of Al+ frequency
#  Data recorded on 04-26-2024, analyzed on 04-26-2024.
#
#  All shifts are in Hz as referenced to the Al+ resonance near 267.4 nm.
#
#  To calculate the clock frequency use: f_atom = (M/N)*f_comb + f_shift.
#    - Here, M = 4, N = 1, f_comb is the frequency measured at the comb and f_shift is given in the data columns.
#    - Frequencies are not corrected for maser offsets.
#    - Data taken using maser ST008 to reference all synthesizers.
#
#  Static shifts are compiled in static_shifts_MgAl.m for reference.
#
#  First 120 seconds and last 60 seconds of lock times removed.
#
#  Gravitational redshift of the atoms with respect to geodetic marker 1H116 included.
#
#  Total lock duration: 17040.856 s
#
#  2nd-order Zeeman shifts calculated based on real-time B-field calibration.
#  - Delta_ZS2 = -0.7365+/-0.00025 Hz
#
t_mjd	f_shift[Hz]	IS_GOOD
60426.6835150	204500000.589535	0
60426.6835679	204500000.589535	0
60426.6836257	204500000.589471	0
60426.6836830	204500000.589415	0
60426.6837416	204500000.589443	0
60426.6837993	204500000.589463	0
60426.6838565	204500000.589536	0
60426.6839151	204500000.589543	0
60426.6839678	204500000.589506	0
60426.6840257	204500000.589486	0
60426.6840843	204500000.589512	0
60426.6841519	204500000.589477	0
60426.6842080	204500000.589473	0
60426.6842602	204500000.589427	0
60426.6843131	204500000.589419	0
60426.6843833	204500000.589436	0
60426.6844416	204500000.589384	0
60426.6845017	204500000.589424	0
60426.6845708	204500000.589422	0
60426.6846274	204500000.589426	0
60426.6846898	204500000.589388	0
60426.6847455	204500000.589364	0
60426.6848184	204500000.589350	0
60426.6848741	204500000.589340	0
60426.6849339	204500000.589379	1
60426.6849995	204500000.589380	1
60426.6850585	204500000.589383	1
60426.6851134	204500000.589391	1
60426.6851750	204500000.589392	1
60426.6852353	204500000.589420	1
60426.6852899	204500000.589457	1
60426.6853438	204500000.589426	1
60426.6853986	204500000.589374	1
60426.6854535	204500000.589387	1
60426.6855223	204500000.589429	1
60426.6855806	204500000.589425	1
60426.6856430	204500000.589440	1
60426.6857075	204500000.589495	1
60426.6857651	204500000.589509	1
60426.6858238	204500000.589490	1
60426.6858838	204500000.589494	1
60426.6859466	204500000.589500	1
60426.6860004	204500000.589501	1
60426.6860535	204500000.589478	1
60426.6861140	204500000.589440	1
60426.6861725	204500000.589443	1
60426.6862329	204500000.589380	1
60426.6862907	204500000.589403	1
60426.6863458	204500000.589410	1
60426.6864071	204500000.589367	1
60426.6864653	204500000.589306	1
60426.6865191	204500000.589351	1
60426.6865737	204500000.589354	1
60426.6866284	204500000.589414	1
60426.6866808	204500000.589361	1
60426.6867400	204500000.589389	1
60426.6867985	204500000.589368	1
60426.6868579	204500000.589344	1
60426.6869136	204500000.589335	1
60426.6869715	204500000.589344	1
60426.6870311	204500000.589328	1
60426.6870949	204500000.589313	1
60426.6871564	204500000.589305	1
60426.6872150	204500000.589349	1
60426.6872711	204500000.589318	1
60426.6873280	204500000.589298	1
60426.6873879	204500000.589316	1
60426.6874558	204500000.589325	1
60426.6875169	204500000.589319	1
60426.6875717	204500000.589342	1
60426.6876356	204500000.589387	1
60426.6876974	204500000.589405	1
60426.6877580	204500000.589332	1
60426.6878226	204500000.589354	1
60426.6878781	204500000.589347	1
60426.6879382	204500000.589327	1
60426.6879974	204500000.589325	1
60426.6880617	204500000.589396	1
60426.6881158	204500000.589434	1
60426.6881714	204500000.589424	1
60426.6882282	204500000.589392	1
60426.6882904	204500000.589420	1
60426.6883501	204500000.589378	1
60426.6884080	204500000.589335	1
60426.6884630	204500000.589277	1
60426.6885429	204500000.589297	1
60426.6885981	204500000.589292	1
60426.6886571	204500000.589294	1
60426.6887152	204500000.589319	1
60426.6887729	204500000.589332	1
60426.6888301	204500000.589337	1
60426.6888957	204500000.589298	1
60426.6889536	204500000.589351	1
60426.6890114	204500000.589363	1
60426.6890652	204500000.589412	1
60426.6891240	204500000.589371	1
60426.6891843	204500000.589365	1
60426.6892429	204500000.589344	1
60426.6892970	204500000.589249	1
60426.6893540	204500000.589290	1
60426.6894115	204500000.589320	1
60426.6894684	204500000.589263	1
60426.6895277	204500000.589256	1
60426.6895938	204500000.589273	1
60426.6896485	204500000.589331	1
60426.6897004	204500000.589338	1
60426.6897687	204500000.589368	1
60426.6898286	204500000.589354	1
60426.6898930	204500000.589411	1
60426.6899489	204500000.589361	1
60426.6900047	204500000.589361	1
60426.6900613	204500000.589376	1
60426.6901184	204500000.589366	1
60426.6901777	204500000.589323	1
60426.6902423	204500000.589331	1
60426.6903073	204500000.589377	1
60426.6903651	204500000.589357	1
60426.6904268	204500000.589342	1
60426.6904863	204500000.589357	1
60426.6905431	204500000.589428	1
60426.6905985	204500000.589443	1
60426.6906628	204500000.589420	1
60426.6907237	204500000.589383	1
60426.6907787	204500000.589371	1
60426.6908355	204500000.589366	1
60426.6908917	204500000.589411	1
60426.6909455	204500000.589377	1
60426.6910013	204500000.589398	1
60426.6910551	204500000.589387	1
60426.6911110	204500000.589337	1
60426.6911699	204500000.589305	1
60426.6912248	204500000.589301	1
60426.6912808	204500000.589354	1
60426.6913403	204500000.589372	1
60426.6913991	204500000.589433	1
60426.6914524	204500000.589431	1
60426.6915083	204500000.589398	1
60426.6915659	204500000.589317	1
60426.6916245	204500000.589331	1
60426.6916799	204500000.589302	1
60426.6917391	204500000.589342	1
60426.6917978	204500000.589308	1
60426.6918548	204500000.589327	1
60426.6919142	204500000.589292	1
60426.6919704	204500000.589339	1
60426.6920250	204500000.589390	1
60426.6920880	204500000.589413	1
60426.6921480	204500000.589422	1
60426.6922039	204500000.589462	1
60426.6922679	204500000.589421	1
60426.6923226	204500000.589397	1
60426.6923816	204500000.589354	1
60426.6924418	204500000.589355	1
60426.6924991	204500000.589298	1
60426.6925532	204500000.589368	1
60426.6926122	204500000.589414	1
60426.6926701	204500000.589453	1
60426.6927286	204500000.589477	1
60426.6927830	204500000.589459	1
60426.6928400	204500000.589465	1
60426.6929038	204500000.589453	1
60426.6929636	204500000.589433	1
60426.6930234	204500000.589441	1
60426.6930787	204500000.589453	1
60426.6931424	204500000.589413	1
60426.6932015	204500000.589428	1
60426.6932589	204500000.589390	1
60426.6933159	204500000.589367	1
60426.6933758	204500000.589351	1
60426.6934358	204500000.589380	1
60426.6934980	204500000.589356	1
60426.6935556	204500000.589328	1
60426.6936130	204500000.589305	1
60426.6936718	204500000.589305	1
60426.6937329	204500000.589323	1
60426.6937895	204500000.589314	1
60426.6938479	204500000.589305	1
60426.6939030	204500000.589316	1
60426.6939589	204500000.589332	1
60426.6940140	204500000.589387	1
60426.6940797	204500000.589363	1
60426.6941390	204500000.589355	1
60426.6941983	204500000.589373	1
60426.6942592	204500000.589403	1
60426.6943154	204500000.589396	1
60426.6943791	204500000.589390	1
60426.6944394	204500000.589348	1
60426.6944945	204500000.589370	1
60426.6945574	204500000.589371	1
60426.6946200	204500000.589410	1
60426.6946834	204500000.589347	1
60426.6947435	204500000.589387	1
60426.6947996	204500000.589453	1
60426.6948562	204500000.589425	1
60426.6949158	204500000.589458	1
60426.6949731	204500000.589485	1
60426.6950260	204500000.589458	1
60426.6950835	204500000.589425	1
60426.6951392	204500000.589466	1
60426.6951963	204500000.589457	1
60426.6952555	204500000.589424	1
60426.6953155	204500000.589443	1
60426.6953742	204500000.589432	1
60426.6954324	204500000.589474	1
60426.6954907	204500000.589443	1
60426.6955491	204500000.589436	1
60426.6956106	204500000.589413	1
60426.6956700	204500000.589419	1
60426.6957333	204500000.589370	1
60426.6957874	204500000.589354	1
60426.6958441	204500000.589354	1
60426.6959035	204500000.589377	1
60426.6959652	204500000.589392	1
60426.6960235	204500000.589448	1
60426.6960891	204500000.589488	1
60426.6961483	204500000.589496	1
