# Readme Information 
# Data taken on 240426, analyzed on 30-Apr-2024 by  SaveShifts_forTara_v3_240429.m.
# Gravitational Redshift Corrected to Marker on floor of 1G104 labeled 811G104 
# Frhy778 zers.
# v_yb_ideal=2*v_comb+f_shift 
# f_shift includes: Blackbody radation based on real time temperature measurement (avg shift = -1.2130), 2nd order zeeman based on real time B field measurement by atoms (avg shift = -0.0620), background gas collisions (avg shift = -0.0016), lattice AC stark shift (avg shift = -0.0007), probe AC stark shift (avg shift = 0.0000), graviational red shift (avg shift = 0.0803), and AOMs between atoms and combs (shift of 63000000)
# Run Duration 1.234323e+04 s, uptime fraction 9.346147e-01. 
 t_mjd	   f_shift[Hz]  	IS_GOOD
   6.0426717832290000e+04	   6.3000001174294010e+07	   0.0000000000000000e+00	
   6.0426717846849999e+04	   6.3000001174300894e+07	   0.0000000000000000e+00	
   6.0426717865459999e+04	   6.3000001181670621e+07	   0.0000000000000000e+00	
   6.0426717884060003e+04	   6.3000001181612357e+07	   0.0000000000000000e+00	
   6.0426717902659999e+04	   6.3000001181563929e+07	   0.0000000000000000e+00	
   6.0426717921249998e+04	   6.3000001181515805e+07	   0.0000000000000000e+00	
   6.0426717939850001e+04	   6.3000001181490175e+07	   0.0000000000000000e+00	
   6.0426717958440000e+04	   6.3000001181418031e+07	   0.0000000000000000e+00	
   6.0426717977059998e+04	   6.3000001181346714e+07	   0.0000000000000000e+00	
   6.0426717995640000e+04	   6.3000001181275167e+07	   0.0000000000000000e+00	
   6.0426718014240003e+04	   6.3000001181192383e+07	   0.0000000000000000e+00	
   6.0426718032839999e+04	   6.3000001181133687e+07	   0.0000000000000000e+00	
   6.0426718051440002e+04	   6.3000001181110054e+07	   0.0000000000000000e+00	
   6.0426718070050003e+04	   6.3000001181074202e+07	   0.0000000000000000e+00	
   6.0426718088640002e+04	   6.3000001181017376e+07	   0.0000000000000000e+00	
   6.0426718107239998e+04	   6.3000001181001149e+07	   0.0000000000000000e+00	
   6.0426718125829997e+04	   6.3000001181029640e+07	   0.0000000000000000e+00	
   6.0426718144439998e+04	   6.3000001181054592e+07	   0.0000000000000000e+00	
   6.0426718163040001e+04	   6.3000001181078158e+07	   0.0000000000000000e+00	
   6.0426718181630000e+04	   6.3000001181112722e+07	   0.0000000000000000e+00	
   6.0426718200230003e+04	   6.3000001181142733e+07	   0.0000000000000000e+00	
   6.0426718218829999e+04	   6.3000001181161240e+07	   0.0000000000000000e+00	
   6.0426718237430003e+04	   6.3000001181151725e+07	   0.0000000000000000e+00	
   6.0426718256029999e+04	   6.3000001181131385e+07	   0.0000000000000000e+00	
   6.0426718274610001e+04	   6.3000001181088604e+07	   0.0000000000000000e+00	
   6.0426718293220001e+04	   6.3000001181043193e+07	   0.0000000000000000e+00	
   6.0426718311819997e+04	   6.3000001180986375e+07	   0.0000000000000000e+00	
   6.0426718330429998e+04	   6.3000001180976637e+07	   0.0000000000000000e+00	
   6.0426718349019997e+04	   6.3000001181002177e+07	   0.0000000000000000e+00	
   6.0426718367610003e+04	   6.3000001181033507e+07	   0.0000000000000000e+00	
   6.0426718386220004e+04	   6.3000001181058541e+07	   0.0000000000000000e+00	
   6.0426718404820000e+04	   6.3000001181108512e+07	   0.0000000000000000e+00	
   6.0426718423430000e+04	   6.3000001181177817e+07	   0.0000000000000000e+00	
   6.0426718442019999e+04	   6.3000001181237452e+07	   0.0000000000000000e+00	
   6.0426718460600001e+04	   6.3000001181288727e+07	   0.0000000000000000e+00	
   6.0426718479219999e+04	   6.3000001181291178e+07	   0.0000000000000000e+00	
