# Frequency shift file for JILA Sr1 
# for 20240426_clock_lock#0.
# Processed Fri Apr 26 15:17:38 2024 (MT) 
# by Alexander Aeppli(alexander.aeppli@colorado.edu)
# ******Applied Corrections******
# point by point corrections: 
#  - servo 
#  - second order zeeman 
#  - density shift 
# DC corrections: 
#  - lattice light 
#  - DC Stark 
#  - BBR 
#  - background gas 
#  - redshift to S1B60V1 
# Total sytematic error (frac.) = ~1e-17
# No MASER corrections have been applied
# To calculate the strontium frequency: 
# f_sr = (N/M)*f_light + f_shift[Hz] 
# where N = 1716682, M = 777577, 
# and f_light is the frequency of the light leaving JILA. 
t_mjd	f_shift [Hz]	IS_GOOD
60426.6804259005	-165703313.03863543	1
60426.68058901186	-165703313.0539992	1
60426.680752162945	-165703313.00836802	1
60426.680915292105	-165703313.0381301	1
60426.68107845409	-165703313.08734447	1
60426.6812415527	-165703313.04149592	1
60426.68140471177	-165703313.01202452	1
60426.68156786339	-165703313.06377703	1
60426.68173101787	-165703313.09034836	1
60426.68189418897	-165703313.1053781	1
60426.68205732258	-165703313.1278628	1
60426.682220441966	-165703313.10505038	1
60426.68238352934	-165703313.03726763	1
60426.68254666998	-165703312.9588831	1
60426.68270982258	-165703312.93872732	1
60426.68287298726	-165703313.0435111	1
60426.68303615831	-165703313.11153358	1
60426.68336236836	-165703312.9815048	1
60426.68352550625	-165703312.9955179	1
60426.68368869379	-165703312.98852396	1
60426.68385183956	-165703313.00513083	1
60426.68401498119	-165703313.017717	1
60426.6841780738	-165703313.03316396	1
60426.684341200875	-165703313.0748768	1
60426.68450437932	-165703313.0793469	1
60426.684667552785	-165703313.03358877	1
60426.68483067201	-165703313.02606517	1
60426.6849938172	-165703312.99846548	1
60426.68515693441	-165703313.04146105	1
60426.685320109544	-165703313.07228434	1
60426.685483230125	-165703313.0648414	1
60426.68564638278	-165703313.01614052	1
60426.685809467905	-165703313.03971088	1
60426.68597261097	-165703313.0776949	1
60426.68613580012	-165703313.09507078	1
60426.68629890123	-165703313.0106517	1
60426.6864620152	-165703313.0023991	1
60426.686625222144	-165703312.98088038	1
60426.686788338084	-165703312.98099476	1
60426.6869514988	-165703312.97988272	1
60426.68711458935	-165703313.01332867	1
60426.68727780548	-165703313.0590353	1
60426.68744087303	-165703313.04977703	1
60426.68760400937	-165703313.0104332	1
60426.68776717066	-165703312.9885435	1
60426.68793025769	-165703312.96339154	1
60426.68809341708	-165703312.99926782	1
60426.6882566103	-165703313.01443285	1
60426.688419729915	-165703312.98161107	1
60426.68858284431	-165703313.01135164	1
60426.68874602531	-165703313.0578243	1
60426.68890917747	-165703313.09673744	1
60426.68907226424	-165703313.09756863	1
60426.689235407284	-165703313.00789398	1
60426.68939854608	-165703312.97315633	1
60426.68956166284	-165703313.01532972	1
60426.689724847485	-165703313.02349788	1
60426.68988797808	-165703313.04807454	1
60426.69005112562	-165703313.0717231	1
60426.69021425116	-165703313.08117664	1
60426.69037741907	-165703313.06017387	1
60426.69054054051	-165703313.06077355	1
60426.69070371228	-165703313.09017038	1
60426.69086677453	-165703313.07080883	1
60426.691029991205	-165703313.08239877	1
60426.691193084655	-165703313.10028106	1
60426.69135620092	-165703313.03689665	1
60426.691519350454	-165703313.01543164	1
60426.69168251498	-165703313.04173893	1
60426.69184561712	-165703313.08937514	1
60426.692008802806	-165703313.1180808	1
60426.69217194505	-165703313.0866831	1
60426.69233506712	-165703313.06878507	1
60426.692498189135	-165703313.05192822	1
60426.692661292924	-165703313.06251287	1
60426.69282445812	-165703313.05206984	1
60426.69298759254	-165703313.04704452	1
60426.69315072197	-165703313.04715466	1
60426.69331387661	-165703313.06782228	1
60426.69347700255	-165703313.0096119	1
60426.693640188285	-165703312.9876899	1
60426.693803280716	-165703313.02061218	1
60426.69396645979	-165703313.08959198	1
60426.694129633965	-165703313.07432032	1
60426.69429273089	-165703313.05955893	1
60426.694782164384	-165703313.0507716	1
60426.694945313175	-165703313.04997313	1
60426.695108428445	-165703313.09587938	1
60426.69527155292	-165703313.11137652	1
60426.695434673944	-165703313.024638	1
60426.695597905884	-165703313.03517854	1
60426.69576100048	-165703313.07501185	1
60426.695924142085	-165703313.05292386	1
60426.696087287	-165703313.0560544	1
60426.69625040913	-165703313.0289756	1
60426.696413539685	-165703313.06528896	1
60426.69657669087	-165703313.0760209	1
60426.696739813124	-165703313.04171652	1
60426.696902975345	-165703313.045268	1
60426.697066090965	-165703313.03579038	1
60426.697229251986	-165703313.07630605	1
60426.69739233377	-165703313.0292728	1
60426.697555540755	-165703312.97385025	1
60426.69771862393	-165703313.09605306	1
60426.69788181678	-165703313.03999645	1
60426.69804493187	-165703313.00455076	1
