#Frequency shifts file for ErYb measurement of Al+ frequency
#  Data recorded on 01-16-2025, analyzed on 01-17-2025.
#
#  All shifts are in Hz as referenced to the Al+ resonance near 267.4 nm.
#
#  To calculate the clock frequency use: f_atom = (M/N)*f_comb + f_shift.
#    - Here, M = 4, N = 1, f_comb is the frequency measured at the comb and f_shift is given in the data columns.
#    - Frequencies are not corrected for maser offsets.
#    - Data taken using maser ST008 to reference all synthesizers.
#
#  Static shifts are compiled in static_shifts_MgAl.m for reference.
#
#  First 300 seconds and last 60 seconds of lock times removed.
#
#  Gravitational redshift of the atoms with respect to geodetic marker 1H116 included.
#
#  Total lock duration: 3765.8725 s
#
#  Servo parameters:
#    Contrast: Probe -1: 0.74 Probe +1:0.74
#    Servo Error: 0.00257+/-0.013 Hz
#    Difference between probe beams: 0.00192+/-0.017 Hz
#
#  Feedback and drift rate compensation applied to fiber-noise aom for ErYb
#    Nominal AOM frequency: 37 MHz
#
#  2nd-order Zeeman shifts calculated based on real-time B-field calibration.
#    Delta_ZS2 = -0.71809+/-0.00024 Hz
#
t_mjd	f_shift [Hz]	IS_GOOD
60691.2916667	204500000.000000	0
60691.2916782	204500000.000000	0
60691.2916898	204500000.000000	0
60691.2917014	204500000.000000	0
60691.2917130	204500000.000000	0
60691.2917245	204500000.000000	0
60691.2917361	204500000.000000	0
60691.2917477	204500000.000000	0
60691.2917593	204500000.000000	0
60691.2917708	204500000.000000	0
60691.2917824	204500000.000000	0
60691.2917940	204500000.000000	0
60691.2918056	204500000.000000	0
60691.2918171	204500000.000000	0
60691.2918287	204500000.000000	0
60691.2918403	204500000.000000	0
60691.2918519	204500000.000000	0
60691.2918634	204500000.000000	0
60691.2918750	204500000.000000	0
60691.2918866	204500000.000000	0
60691.2918981	204500000.000000	0
60691.2919097	204500000.000000	0
60691.2919213	204500000.000000	0
60691.2919329	204500000.000000	0
60691.2919444	204500000.000000	0
60691.2919560	204500000.000000	0
60691.2919676	204500000.000000	0
60691.2919792	204500000.000000	0
60691.2919907	204500000.000000	0
60691.2920023	204500000.000000	0
60691.2920139	204500000.000000	0
60691.2920255	204500000.000000	0
60691.2920370	204500000.000000	0
60691.2920486	204500000.000000	0
60691.2920602	204500000.000000	0
60691.2920718	204500000.000000	0
60691.2920833	204500000.000000	0
60691.2920949	204500000.000000	0
60691.2921065	204500000.000000	0
60691.2921181	204500000.000000	0
60691.2921296	204500000.000000	0
60691.2921412	204500000.000000	0
60691.2921528	204500000.000000	0
60691.2921644	204500000.000000	0
60691.2921759	204500000.000000	0
60691.2921875	204500000.000000	0
60691.2921991	204500000.000000	0
60691.2922106	204500000.000000	0
60691.2922222	204500000.000000	0
60691.2922338	204500000.000000	0
60691.2922454	204500000.000000	0
60691.2922569	204500000.000000	0
60691.2922685	204500000.000000	0
60691.2922801	204500000.000000	0
60691.2922917	204500000.000000	0
60691.2923032	204500000.000000	0
60691.2923148	204500000.000000	0
60691.2923264	204500000.000000	0
60691.2923380	204500000.000000	0
60691.2923495	204500000.000000	0
60691.2923611	204500000.000000	0
60691.2923727	204500000.000000	0
60691.2923843	204500000.000000	0
60691.2923958	204500000.000000	0
60691.2924074	204500000.000000	0
60691.2924190	204500000.000000	0
60691.2924306	204500000.000000	0
60691.2924421	204500000.000000	0
60691.2924537	204500000.000000	0
60691.2924653	204500000.000000	0
60691.2924769	204500000.000000	0
60691.2924884	204500000.000000	0
60691.2925000	204500000.000000	0
60691.2925116	204500000.000000	0
60691.2925231	204500000.000000	0
60691.2925347	204500000.000000	0
60691.2925463	204500000.000000	0
60691.2925579	204500000.000000	0
60691.2925694	204500000.000000	0
60691.2925810	204500000.000000	0
60691.2925926	204500000.000000	0
60691.2926042	204500000.000000	0
60691.2926157	204500000.000000	0
60691.2926273	204500000.000000	0
60691.2926389	204500000.000000	0
60691.2926505	204500000.000000	0
60691.2926620	204500000.000000	0
60691.2926736	204500000.000000	0
60691.2926852	204500000.000000	0
60691.2926968	204500000.000000	0
60691.2927083	204500000.000000	0
60691.2927199	204500000.000000	0
60691.2927315	204500000.000000	0
60691.2927431	204500000.000000	0
60691.2927546	204500000.000000	0
60691.2927662	204500000.000000	0
60691.2927778	204500000.000000	0
60691.2927894	204500000.000000	0
60691.2928009	204500000.000000	0
60691.2928125	204500000.000000	0
60691.2928241	204500000.000000	0
60691.2928356	204500000.000000	0
60691.2928472	204500000.000000	0
60691.2928588	204500000.000000	0
60691.2928704	204500000.000000	0
60691.2928819	204500000.000000	0
60691.2928935	204500000.000000	0
60691.2929051	204500000.000000	0
60691.2929167	204500000.000000	0
60691.2929282	204500000.000000	0
60691.2929398	204500000.000000	0
60691.2929514	204500000.000000	0
60691.2929630	204500000.000000	0
60691.2929745	204500000.000000	0
60691.2929861	204500000.000000	0
60691.2929977	204500000.000000	0
60691.2930093	204500000.000000	0
60691.2930208	204500000.000000	0
60691.2930324	204500000.000000	0
60691.2930440	204500000.000000	0
60691.2930556	204500000.000000	0
60691.2930671	204500000.000000	0
60691.2930787	204500000.000000	0
60691.2930903	204500000.000000	0
60691.2931019	204500000.000000	0
60691.2931134	204500000.000000	0
60691.2931250	204500000.000000	0
60691.2931366	204500000.000000	0
60691.2931481	204500000.000000	0
60691.2931597	204500000.000000	0
60691.2931713	204500000.000000	0
60691.2931829	204500000.000000	0
60691.2931944	204500000.000000	0
60691.2932060	204500000.000000	0
60691.2932176	204500000.000000	0
60691.2932292	204500000.000000	0
60691.2932407	204500000.000000	0
60691.2932523	204500000.000000	0
60691.2932639	204500000.000000	0
60691.2932755	204500000.000000	0
60691.2932870	204500000.000000	0
60691.2932986	204500000.000000	0
60691.2933102	204500000.000000	0
60691.2933218	204500000.000000	0
60691.2933333	204500000.000000	0
60691.2933449	204500000.000000	0
60691.2933565	204500000.000000	0
60691.2933681	204500000.000000	0
60691.2933796	204500000.000000	0
60691.2933912	204500000.000000	0
60691.2934028	204500000.000000	0
60691.2934144	204500000.000000	0
60691.2934259	204500000.000000	0
60691.2934375	204500000.000000	0
60691.2934491	204500000.000000	0
60691.2934606	204500000.000000	0
60691.2934722	204500000.000000	0
60691.2934838	204500000.000000	0
60691.2934954	204500000.000000	0
60691.2935069	204500000.000000	0
60691.2935185	204500000.000000	0
60691.2935301	204500000.000000	0
60691.2935417	204500000.000000	0
60691.2935532	204500000.000000	0
60691.2935648	204500000.000000	0
60691.2935764	204500000.000000	0
60691.2935880	204500000.000000	0
60691.2935995	204500000.000000	0
60691.2936111	204500000.000000	0
60691.2936227	204500000.000000	0
60691.2936343	204500000.000000	0
60691.2936458	204500000.000000	0
60691.2936574	204500000.000000	0
60691.2936690	204500000.000000	0
60691.2936806	204500000.000000	0
60691.2936921	204500000.000000	0
60691.2937037	204500000.000000	0
60691.2937153	204500000.000000	0
60691.2937269	204500000.000000	0
60691.2937384	204500000.000000	0
60691.2937500	204500000.000000	0
60691.2937616	204500000.000000	0
60691.2937731	204500000.000000	0
60691.2937847	204500000.000000	0
60691.2937963	204500000.000000	0
60691.2938079	204500000.000000	0
60691.2938194	204500000.000000	0
60691.2938310	204500000.000000	0
60691.2938426	204500000.000000	0
60691.2938542	204500000.000000	0
60691.2938657	204500000.000000	0
60691.2938773	204500000.000000	0
60691.2938889	204500000.000000	0
60691.2939005	204500000.000000	0
60691.2939120	204500000.000000	0
60691.2939236	204500000.000000	0
60691.2939352	204500000.000000	0
60691.2939468	204500000.000000	0
60691.2939583	204500000.000000	0
60691.2939699	204500000.000000	0
60691.2939815	204500000.000000	0
60691.2939931	204500000.000000	0
60691.2940046	204500000.000000	0
60691.2940162	204500000.000000	0
60691.2940278	204500000.000000	0
60691.2940394	204500000.000000	0
60691.2940509	204500000.000000	0
60691.2940625	204500000.000000	0
60691.2940741	204500000.000000	0
60691.2940856	204500000.000000	0
60691.2940972	204500000.000000	0
60691.2941088	204500000.000000	0
60691.2941204	204500000.000000	0
60691.2941319	204500000.000000	0
60691.2941435	204500000.000000	0
60691.2941551	204500000.000000	0
60691.2941667	204500000.000000	0
60691.2941782	204500000.000000	0
60691.2941898	204500000.000000	0
60691.2942014	204500000.000000	0
60691.2942130	204500000.000000	0
60691.2942245	204500000.000000	0
60691.2942361	204500000.000000	0
60691.2942477	204500000.000000	0
60691.2942593	204500000.000000	0
60691.2942708	204500000.000000	0
60691.2942824	204500000.000000	0
60691.2942940	204500000.000000	0
60691.2943056	204500000.000000	0
60691.2943171	204500000.000000	0
60691.2943287	204500000.000000	0
60691.2943403	204500000.000000	0
60691.2943519	204500000.000000	0
60691.2943634	204500000.000000	0
60691.2943750	204500000.000000	0
60691.2943866	204500000.000000	0
60691.2943981	204500000.000000	0
60691.2944097	204500000.000000	0
60691.2944213	204500000.000000	0
60691.2944329	204500000.000000	0
60691.2944444	204500000.000000	0
60691.2944560	204500000.000000	0
60691.2944676	204500000.000000	0
60691.2944792	204500000.000000	0
60691.2944907	204500000.000000	0
60691.2945023	204500000.000000	0
60691.2945139	204500000.000000	0
60691.2945255	204500000.000000	0
60691.2945370	204500000.000000	0
60691.2945486	204500000.000000	0
60691.2945602	204500000.000000	0
60691.2945718	204500000.000000	0
60691.2945833	204500000.000000	0
60691.2945949	204500000.000000	0
60691.2946065	204500000.000000	0
60691.2946181	204500000.000000	0
60691.2946296	204500000.000000	0
60691.2946412	204500000.000000	0
60691.2946528	204500000.000000	0
60691.2946644	204500000.000000	0
60691.2946759	204500000.000000	0
60691.2946875	204500000.000000	0
60691.2946991	204500000.000000	0
60691.2947106	204500000.000000	0
60691.2947222	204500000.000000	0
60691.2947338	204500000.000000	0
60691.2947454	204500000.000000	0
