# Frequency shift file for JILA Sr1 
# for 20250116_clock_lock#0.
# Processed Thu Jan 16 18:21:59 2025 (MT) 
# by Alexander Aeppli(alexander.aeppli@colorado.edu), William Warfield(william.warfield@colorado.edu) 
# ******Applied Corrections******
# point by point corrections: 
#  - servo 
#  - second order zeeman 
#  - density shift 
# DC corrections: 
#  - lattice light 
#  - DC Stark 
#  - BBR 
#  - background gas 
#  - redshift to S1B60V1 
# Total sytematic error (frac.) = ~1e-17
# No MASER corrections have been applied
# To calculate the strontium frequency: 
# f_sr = (N/M)*f_light + f_shift[Hz] 
# where N = 1716882, M = 777577, 
# and f_light is the frequency of the light leaving JILA. 
#### Additional Notes #### 
# nan
t_mjd	f_shift [Hz]	IS_GOOD
60691.770363038086	-165702401.9378482	1
60691.77047008579	-165702401.95937806	1
60691.77057712398	-165702401.97248155	1
60691.77068421663	-165702401.94125152	1
60691.77079127452	-165702401.95022357	1
60691.77089830592	-165702401.9600318	1
60691.77100538812	-165702401.96295434	1
60691.771112495386	-165702401.93051904	1
60691.77121945515	-165702401.95717758	1
60691.7713265669	-165702401.98279655	1
60691.771433582966	-165702401.93016738	1
60691.77154068737	-165702401.95974684	1
60691.77164772981	-165702401.96394938	1
60691.77175477995	-165702401.92230773	1
60691.7718618624	-165702401.91948873	1
60691.771968888104	-165702401.90734547	1
60691.77207598905	-165702401.92822003	1
60691.77218304879	-165702401.93752956	1
60691.772290168126	-165702401.98522347	1
60691.77239722328	-165702401.9119898	1
60691.77250419156	-165702401.90903366	1
60691.772611327746	-165702401.92534596	1
60691.77271837103	-165702401.88312328	1
60691.77282537521	-165702401.94868368	1
60691.77293245198	-165702401.97695374	1
60691.77303955687	-165702401.95315003	1
60691.773146598534	-165702401.9386775	1
60691.77325363597	-165702401.92585784	1
60691.77336072221	-165702401.90318483	1
60691.77346781663	-165702401.8963132	1
60691.773574864084	-165702401.907481	1
60691.77368188751	-165702401.90225226	1
60691.773788967344	-165702401.889813	1
60691.7738960453	-165702401.8928898	1
60691.7740031332	-165702401.9138379	1
60691.77411015355	-165702401.9883163	1
60691.77421727558	-165702401.94678283	1
60691.77432426255	-165702401.94546205	1
60691.77443133506	-165702401.92350954	1
60691.77453839791	-165702401.93029445	1
60691.774645499056	-165702401.93449008	1
60691.7747525471	-165702401.94810832	1
60691.77485954411	-165702401.9581632	1
60691.77496669705	-165702401.92931187	1
60691.775073754055	-165702401.9593436	1
60691.77518083535	-165702401.9253255	1
60691.775287860684	-165702401.9488955	1
60691.775394895645	-165702401.99986625	1
60691.77550191963	-165702402.00828904	1
60691.77560907646	-165702401.98562402	1
60691.77571604791	-165702401.95500368	1
60691.77582313612	-165702401.98446864	1
60691.775930220836	-165702401.95120674	1
60691.776037248754	-165702401.93956453	1
60691.776144358744	-165702401.93532145	1
60691.77625145357	-165702401.943362	1
60691.7763584848	-165702401.92382288	1
60691.776465488474	-165702401.92249918	1
60691.776572598945	-165702401.92847097	1
60691.77667959184	-165702401.92950225	1
60691.77678671529	-165702401.97036618	1
60691.77689374187	-165702401.935098	1
60691.777000899354	-165702401.91103107	1
60691.77710785378	-165702401.92203218	1
60691.77721499716	-165702401.90187448	1
60691.77732196013	-165702401.91075337	1
60691.7774291104	-165702401.88217968	1
60691.77753614969	-165702401.90413332	1
60691.77764331869	-165702401.84131503	1
60691.78203273457	-165702401.87045777	1
60691.78213975973	-165702401.8760674	1
60691.78224693069	-165702401.86974484	1
60691.782353922914	-165702401.84803623	1
60691.78246107688	-165702401.82241166	1
60691.782568020906	-165702401.8583095	1
60691.78267505646	-165702401.84530216	1
60691.782782219896	-165702401.78639656	1
60691.78288923851	-165702401.8469742	1
60691.7829963097	-165702401.82464814	1
60691.78310333093	-165702401.84336692	1
60691.78321044683	-165702401.825534	1
60691.7833175265	-165702401.849626	1
60691.78342453591	-165702401.76536673	1
60691.78353155785	-165702401.80610156	1
60691.78363863222	-165702401.7987178	1
60691.78374572384	-165702401.8100984	1
60691.78385280707	-165702401.84165472	1
60691.78395984056	-165702401.85214674	1
