# Readme Information 
# Data taken on 250116, analyzed on 16-Jan-2025 by script Saveshifts_forTara_v3_250116.m.
# Gravitational Redshift Corrected to Marker on floor of 1G104 labeled 811G104 
# Frequencies units of Hz. Maser ST008 references all synthesizers.
# v_yb_ideal=2*v_comb+f_shift 
# f_shift includes: Blackbody radation based on real time temperature measurement (avg shift = -1.2201), 2nd order zeeman based on real time B field measurement by atoms (avg shift = -0.0615), background gas collisions (avg shift = -0.0016), lattice AC stark shift (avg shift = -0.0007), probe AC stark shift (avg shift = 0.0000), graviational red shift (avg shift = 0.0803), and AOMs between atoms and combs (shift of 63000000)
# Run Duration 1.365229e+04 s, uptime fraction 9.493004e-01. 
t_mjd	   f_shift [Hz]  	IS_GOOD
   6.0691895769939998e+04	   6.2999998862445220e+07	   0.0000000000000000e+00	
   6.0691895777110003e+04	   6.2999998860171139e+07	   0.0000000000000000e+00	
   6.0691895788520000e+04	   6.2999998894944467e+07	   0.0000000000000000e+00	
   6.0691895799940001e+04	   6.2999998893102311e+07	   0.0000000000000000e+00	
   6.0691895811340000e+04	   6.2999998895305030e+07	   0.0000000000000000e+00	
   6.0691895822769999e+04	   6.2999998896007538e+07	   0.0000000000000000e+00	
   6.0691895834180003e+04	   6.2999998898490302e+07	   0.0000000000000000e+00	
   6.0691895845589999e+04	   6.2999998899435520e+07	   0.0000000000000000e+00	
   6.0691895856989999e+04	   6.2999998899474479e+07	   0.0000000000000000e+00	
   6.0691895868410000e+04	   6.2999998900445476e+07	   0.0000000000000000e+00	
   6.0691895879809999e+04	   6.2999998902258009e+07	   0.0000000000000000e+00	
   6.0691895891239998e+04	   6.2999998899698049e+07	   0.0000000000000000e+00	
   6.0691895902650002e+04	   6.2999998896249525e+07	   0.0000000000000000e+00	
   6.0691895914070003e+04	   6.2999998894850075e+07	   0.0000000000000000e+00	
   6.0691895925489996e+04	   6.2999998898763373e+07	   0.0000000000000000e+00	
   6.0691895936909998e+04	   6.2999998903965600e+07	   0.0000000000000000e+00	
   6.0691895948309997e+04	   6.2999998909134127e+07	   0.0000000000000000e+00	
   6.0691895959709997e+04	   6.2999998913139194e+07	   0.0000000000000000e+00	
   6.0691895971129998e+04	   6.2999998914944097e+07	   0.0000000000000000e+00	
   6.0691895982549999e+04	   6.2999998919663854e+07	   0.0000000000000000e+00	
   6.0691895993970000e+04	   6.2999998922477476e+07	   0.0000000000000000e+00	
   6.0691896005360002e+04	   6.2999998923453391e+07	   0.0000000000000000e+00	
   6.0691896016790000e+04	   6.2999998915747203e+07	   0.0000000000000000e+00	
   6.0691896028199997e+04	   6.2999998912091084e+07	   0.0000000000000000e+00	
   6.0691896039599997e+04	   6.2999998915832870e+07	   0.0000000000000000e+00	
   6.0691896051019998e+04	   6.2999998914214276e+07	   0.0000000000000000e+00	
   6.0691896062419997e+04	   6.2999998909450158e+07	   0.0000000000000000e+00	
   6.0691896073850003e+04	   6.2999998906746790e+07	   0.0000000000000000e+00	
   6.0691896085259999e+04	   6.2999998903507881e+07	   0.0000000000000000e+00	
   6.0691896096659999e+04	   6.2999998900545269e+07	   0.0000000000000000e+00	
   6.0691896108130000e+04	   6.2999998896163754e+07	   0.0000000000000000e+00	
   6.0691896119479999e+04	   6.2999998888057001e+07	   0.0000000000000000e+00	
   6.0691896130890003e+04	   6.2999998879967459e+07	   0.0000000000000000e+00	
   6.0691896142309997e+04	   6.2999998873541504e+07	   0.0000000000000000e+00	
   6.0691896153729998e+04	   6.2999998879115105e+07	   0.0000000000000000e+00	
   6.0691896165149999e+04	   6.2999998895220831e+07	   0.0000000000000000e+00	
   6.0691896176560003e+04	   6.2999998917201333e+07	   0.0000000000000000e+00	
   6.0691896187970000e+04	   6.2999998938466355e+07	   0.0000000000000000e+00	
   6.0691896199410003e+04	   6.2999998954327680e+07	   0.0000000000000000e+00	
   6.0691896210790001e+04	   6.2999998958684169e+07	   0.0000000000000000e+00	
   6.0691896222210002e+04	   6.2999998958584197e+07	   0.0000000000000000e+00	
   6.0691896233619998e+04	   6.2999998959228098e+07	   0.0000000000000000e+00	
   6.0691896245019998e+04	   6.2999998955633879e+07	   0.0000000000000000e+00	
   6.0691896256430002e+04	   6.2999998954039909e+07	   0.0000000000000000e+00	
   6.0691896267860000e+04	   6.2999998951763287e+07	   0.0000000000000000e+00	
   6.0691896279250002e+04	   6.2999998946773253e+07	   0.0000000000000000e+00	
   6.0691896290670004e+04	   6.2999998939512223e+07	   0.0000000000000000e+00	
   6.0691896302089997e+04	   6.2999998939455219e+07	   0.0000000000000000e+00	
   6.0691896313489997e+04	   6.2999998941031113e+07	   0.0000000000000000e+00	
