01/24/2025	11:15:08	(analyzed:  1/24/2025)
MJD	timer	SDR:fb_Al_TiS	SDR:fb_Yb_TiS	SDR:frep_TiS	fo_TiS	fb_Si_TiS
60699.760518	124.000000	NaN	nan	NaN	NaN	NaN
60699.760530	1185.000000	NaN	nan	NaN	NaN	NaN
60699.760542	2240.000000	NaN	nan	NaN	NaN	NaN
60699.760555	3297.000000	NaN	nan	NaN	NaN	NaN
60699.760567	4353.000000	NaN	nan	NaN	NaN	NaN
60699.760579	5410.000000	NaN	nan	NaN	NaN	NaN
60699.760591	6468.000000	NaN	nan	NaN	NaN	NaN
60699.760604	7523.000000	NaN	nan	NaN	NaN	NaN
60699.760616	8582.000000	NaN	nan	NaN	NaN	NaN
60699.760628	9638.000000	NaN	nan	NaN	NaN	NaN
60699.760640	10693.000000	NaN	nan	NaN	NaN	NaN
60699.760652	11750.000000	NaN	nan	NaN	NaN	NaN
60699.760665	12806.000000	NaN	nan	NaN	NaN	NaN
60699.760677	13863.000000	NaN	nan	NaN	NaN	NaN
60699.760689	14920.000000	NaN	nan	NaN	NaN	NaN
60699.760701	15976.000000	NaN	nan	NaN	NaN	NaN
60699.760714	17034.000000	NaN	nan	NaN	NaN	NaN
60699.760726	18091.000000	NaN	nan	NaN	NaN	NaN
60699.760738	19149.000000	NaN	nan	NaN	NaN	NaN
60699.760750	20207.000000	NaN	nan	NaN	NaN	NaN
60699.760763	21262.000000	NaN	nan	NaN	NaN	NaN
60699.760775	22319.000000	NaN	nan	NaN	NaN	NaN
60699.760787	23376.000000	NaN	nan	NaN	NaN	NaN
60699.760799	24433.000000	NaN	nan	NaN	NaN	NaN
60699.760812	25491.000000	NaN	nan	NaN	NaN	NaN
60699.760824	26545.000000	NaN	nan	NaN	NaN	NaN
60699.760836	27604.000000	NaN	nan	NaN	NaN	NaN
60699.760848	28661.000000	NaN	nan	NaN	NaN	NaN
60699.760860	29717.000000	NaN	nan	NaN	NaN	NaN
60699.760873	30774.000000	NaN	nan	NaN	NaN	NaN
60699.760885	31833.000000	NaN	nan	NaN	NaN	NaN
60699.760897	32890.000000	NaN	nan	NaN	NaN	NaN
60699.760909	33947.000000	NaN	nan	NaN	NaN	NaN
60699.760922	35004.000000	NaN	nan	NaN	NaN	NaN
60699.760934	36062.000000	NaN	nan	NaN	NaN	NaN
60699.760946	37119.000000	NaN	nan	NaN	NaN	NaN
60699.760958	38176.000000	NaN	nan	NaN	NaN	NaN
60699.760971	39233.000000	NaN	nan	NaN	NaN	NaN
60699.760983	40287.000000	NaN	nan	NaN	NaN	NaN
60699.760995	41345.000000	NaN	nan	NaN	NaN	NaN
60699.761007	42401.000000	NaN	nan	NaN	NaN	NaN
60699.761019	43458.000000	NaN	nan	NaN	NaN	NaN
60699.761032	44515.000000	NaN	nan	NaN	NaN	NaN
60699.761044	45571.000000	NaN	nan	NaN	NaN	NaN
60699.761056	46628.000000	NaN	nan	NaN	NaN	NaN
60699.761068	47686.000000	NaN	nan	NaN	NaN	NaN
60699.761081	48742.000000	NaN	nan	NaN	NaN	NaN
60699.761093	49799.000000	NaN	nan	NaN	NaN	NaN
60699.761105	50856.000000	NaN	nan	NaN	NaN	NaN
60699.761117	51913.000000	NaN	nan	NaN	NaN	NaN
60699.761130	52971.000000	NaN	nan	NaN	NaN	NaN
60699.761142	54026.000000	NaN	nan	NaN	NaN	NaN
60699.761154	55084.000000	NaN	nan	NaN	NaN	NaN
60699.761166	56140.000000	NaN	nan	NaN	NaN	NaN
60699.761178	57195.000000	NaN	nan	NaN	NaN	NaN
60699.761191	58253.000000	NaN	nan	NaN	NaN	NaN
60699.761203	59309.000000	NaN	nan	NaN	NaN	NaN
60699.761215	60365.000000	NaN	nan	NaN	NaN	NaN
60699.761227	61423.000000	NaN	nan	NaN	NaN	NaN
60699.761240	62478.000000	NaN	nan	NaN	NaN	NaN
60699.761252	63534.000000	NaN	nan	NaN	NaN	NaN
60699.761264	64591.000000	NaN	nan	NaN	NaN	NaN
60699.761276	65647.000000	NaN	nan	NaN	NaN	NaN
60699.761289	66703.000000	NaN	nan	NaN	NaN	NaN
60699.761301	67759.000000	NaN	nan	NaN	NaN	NaN
60699.761313	68816.000000	NaN	nan	NaN	NaN	NaN
60699.761325	69873.000000	NaN	nan	NaN	NaN	NaN
