# Frequency shift file for JILA Sr1 
# for 20250124_clock_lock#0.
# Processed Fri Jan 24 16:57:49 2025 (MT) 
# by Alexander Aeppli(alexander.aeppli@colorado.edu), William Warfield(william.warfield@colorado.edu) 
# ******Applied Corrections******
# point by point corrections: 
#  - servo 
#  - second order zeeman 
#  - density shift 
# DC corrections: 
#  - lattice light 
#  - DC Stark 
#  - BBR 
#  - background gas 
#  - redshift to S1B60V1 
# Total sytematic error (frac.) = ~1e-17
# No MASER corrections have been applied
# To calculate the strontium frequency: 
# f_sr = (N/M)*f_light + f_shift[Hz] 
# where N = 1716882, M = 777577, 
# and f_light is the frequency of the light leaving JILA. 
#### Additional Notes #### 
# nan
t_mjd	f_shift [Hz]	IS_GOOD
60699.75746712178	-165702368.1098174	1
60699.75758068456	-165702368.13310063	1
60699.757694254804	-165702368.12939513	1
60699.757807892805	-165702368.11544502	1
60699.757921343175	-165702368.11122853	1
60699.75803491885	-165702368.10722876	1
60699.75814838853	-165702368.16196525	1
60699.758261948315	-165702368.12820727	1
60699.75837555248	-165702368.11240637	1
60699.758489075546	-165702368.1328665	1
60699.75860257609	-165702368.1300606	1
60699.758716095566	-165702368.1327278	1
60699.758829615166	-165702368.16164815	1
60699.7589432343	-165702368.16101325	1
60699.75905677253	-165702368.1498295	1
60699.759170334764	-165702368.14918846	1
60699.75928383885	-165702368.166425	1
60699.75939740314	-165702368.16416115	1
60699.75951097616	-165702368.17648757	1
60699.759624499035	-165702368.15084672	1
60699.75973798042	-165702368.1222251	1
60699.7598515805	-165702368.18166053	1
60699.7599650671	-165702368.1539129	1
60699.760078630236	-165702368.12095165	1
60699.76019226438	-165702368.08079624	1
60699.76030575231	-165702368.089141	1
60699.76041924688	-165702368.14282233	1
60699.76053281337	-165702368.1476521	1
60699.760646379815	-165702368.10021472	1
60699.76075995039	-165702368.0923124	1
60699.76087348444	-165702368.12209207	1
60699.76098701072	-165702368.11394656	1
60699.76110064948	-165702368.10156077	1
60699.76121404327	-165702368.06952733	1
60699.76132756524	-165702368.0636819	1
60699.76144122699	-165702368.0611725	1
60699.761554712684	-165702368.1063527	1
60699.761668271334	-165702368.10437095	1
60699.7617817472	-165702368.10631102	1
60699.76189537045	-165702368.09439558	1
60699.76200882722	-165702368.0934611	1
60699.762122386586	-165702368.12760997	1
60699.76223596618	-165702368.07466102	1
60699.76234950446	-165702368.07457274	1
60699.76246308679	-165702368.05269486	1
60699.762576592446	-165702368.07528526	1
60699.76269012692	-165702368.03915906	1
60699.76280367339	-165702368.017707	1
60699.76291729831	-165702368.04809856	1
60699.76303083131	-165702368.12268674	1
60699.76314432001	-165702368.11714607	1
60699.763257855775	-165702368.0746355	1
60699.763371400244	-165702368.09666926	1
60699.76348494591	-165702368.08105183	1
60699.763598559046	-165702368.10428923	1
60699.76371203093	-165702368.09001088	1
60699.76382557414	-165702368.10388708	1
60699.76393915322	-165702368.04329962	1
60699.76405267306	-165702368.0924582	1
60699.76416616795	-165702368.07365745	1
60699.7642798022	-165702368.08373296	1
60699.76439329759	-165702368.069072	1
60699.764506905325	-165702368.07440817	1
60699.76462039942	-165702368.0678814	1
60699.764733945565	-165702368.09010893	1
60699.76484749479	-165702368.05831683	1
60699.76496104797	-165702368.0589376	1
60699.765074495255	-165702368.07705677	1
60699.76518803762	-165702368.10222775	1
60699.76530160068	-165702368.12104046	1
60699.765415206566	-165702368.11584294	1
