# Readme Information 
# Data taken on 250124, analyzed on 24-Jan-2025 by script Saveshifts_forTara_v3_250124.m.
# Gravitational Redshift Corrected to Marker on floor of 1G104 labeled 811G104 
# Frequencies units of Hz. Maser ST008 references all synthesizers.
# v_yb_ideal=2*v_comb+f_shift 
# f_shift includes: Blackbody radation based on real time temperature measurement (avg shift = -1.2075), 2nd order zeeman based on real time B field measurement by atoms (avg shift = NaN), background gas collisions (avg shift = -0.0016), lattice AC stark shift (avg shift = -0.0007), probe AC stark shift (avg shift = 0.0000), graviational red shift (avg shift = 0.0803), and AOMs between atoms and combs (shift of 63000000)
# Run Duration 1.720094e+04 s, uptime fraction 5.247979e-01. 
t_mjd	   f_shift [Hz]  	IS_GOOD
   6.0699736548100002e+04	   6.3000001029826775e+07	   0.0000000000000000e+00	
   6.0699736555459996e+04	   6.3000001020503402e+07	   0.0000000000000000e+00	
   6.0699736566879998e+04	   6.3000001013250016e+07	   0.0000000000000000e+00	
   6.0699736578310003e+04	   6.3000001011923745e+07	   0.0000000000000000e+00	
   6.0699736589699998e+04	   6.3000001022139803e+07	   0.0000000000000000e+00	
   6.0699736601110002e+04	   6.3000001042438991e+07	   0.0000000000000000e+00	
   6.0699736612530003e+04	   6.3000001059639215e+07	   0.0000000000000000e+00	
   6.0699736623940000e+04	   6.3000001072484031e+07	   0.0000000000000000e+00	
   6.0699736635360001e+04	   6.3000001083175845e+07	   0.0000000000000000e+00	
   6.0699736646760000e+04	   6.3000001088199280e+07	   0.0000000000000000e+00	
   6.0699736658189999e+04	   6.3000001095409736e+07	   0.0000000000000000e+00	
   6.0699736669589998e+04	   6.3000001102747858e+07	   0.0000000000000000e+00	
   6.0699736681000002e+04	   6.3000001105361611e+07	   0.0000000000000000e+00	
   6.0699736692420003e+04	   6.3000001101479992e+07	   0.0000000000000000e+00	
   6.0699736703830000e+04	   6.3000001096844643e+07	   0.0000000000000000e+00	
   6.0699736715239997e+04	   6.3000001092043251e+07	   0.0000000000000000e+00	
   6.0699736726670002e+04	   6.3000001081225969e+07	   0.0000000000000000e+00	
   6.0699736738059997e+04	   6.3000001065326571e+07	   0.0000000000000000e+00	
   6.0699736749490003e+04	   6.3000001046160661e+07	   0.0000000000000000e+00	
   6.0699736760890002e+04	   6.3000001032948054e+07	   0.0000000000000000e+00	
   6.0699736772299999e+04	   6.3000001023248829e+07	   0.0000000000000000e+00	
   6.0699736783740002e+04	   6.3000001015174128e+07	   0.0000000000000000e+00	
   6.0699736795119999e+04	   6.3000001010731123e+07	   0.0000000000000000e+00	
   6.0699736806540001e+04	   6.3000001001752160e+07	   0.0000000000000000e+00	
   6.0699736817999998e+04	   6.3000000991181538e+07	   0.0000000000000000e+00	
   6.0699736829340000e+04	   6.3000000984664962e+07	   0.0000000000000000e+00	
   6.0699736840769998e+04	   6.3000000977695979e+07	   0.0000000000000000e+00	
   6.0699736852180002e+04	   6.3000000971879192e+07	   0.0000000000000000e+00	
   6.0699736863610000e+04	   6.3000000972362794e+07	   0.0000000000000000e+00	
   6.0699736875019997e+04	   6.3000000973369315e+07	   0.0000000000000000e+00	
   6.0699736886420003e+04	   6.3000000974702843e+07	   0.0000000000000000e+00	
   6.0699736897830000e+04	   6.3000000971769124e+07	   0.0000000000000000e+00	
   6.0699736909239997e+04	   6.3000000973147094e+07	   0.0000000000000000e+00	
   6.0699736920670002e+04	   6.3000000979923598e+07	   0.0000000000000000e+00	
   6.0699736932070002e+04	   6.3000000984740026e+07	   0.0000000000000000e+00	
   6.0699736943470001e+04	   6.3000000983018003e+07	   0.0000000000000000e+00	
   6.0699736954900000e+04	   6.3000000987697095e+07	   0.0000000000000000e+00	
   6.0699736966299999e+04	   6.3000000991436422e+07	   0.0000000000000000e+00	
   6.0699736977720000e+04	   6.3000000999523930e+07	   0.0000000000000000e+00	
   6.0699736989129997e+04	   6.3000001005350225e+07	   0.0000000000000000e+00	
   6.0699737000549998e+04	   6.3000001018323071e+07	   0.0000000000000000e+00	
   6.0699737011949997e+04	   6.3000001031461447e+07	   0.0000000000000000e+00	
   6.0699737023360001e+04	   6.3000001046661496e+07	   0.0000000000000000e+00	
   6.0699737034769998e+04	   6.3000001055127390e+07	   0.0000000000000000e+00	
   6.0699737046189999e+04	   6.3000001062529601e+07	   0.0000000000000000e+00	
   6.0699737057600003e+04	   6.3000001068130046e+07	   0.0000000000000000e+00	
   6.0699737069030001e+04	   6.3000001071582951e+07	   0.0000000000000000e+00	
   6.0699737080439998e+04	   6.3000001077290729e+07	   0.0000000000000000e+00	
   6.0699737091859999e+04	   6.3000001084587194e+07	   0.0000000000000000e+00	
   6.0699737103259999e+04	   6.3000001090317160e+07	   0.0000000000000000e+00	
   6.0699737114670002e+04	   6.3000001094758578e+07	   0.0000000000000000e+00	
   6.0699737126079999e+04	   6.3000001096422896e+07	   0.0000000000000000e+00	
   6.0699737137500000e+04	   6.3000001090455040e+07	   0.0000000000000000e+00	
   6.0699737148920001e+04	   6.3000001079060547e+07	   0.0000000000000000e+00	
   6.0699737160320001e+04	   6.3000001070019320e+07	   0.0000000000000000e+00	
   6.0699737171729997e+04	   6.3000001063883238e+07	   0.0000000000000000e+00	
   6.0699737183160003e+04	   6.3000001058732174e+07	   0.0000000000000000e+00	
   6.0699737194560003e+04	   6.3000001055656113e+07	   0.0000000000000000e+00	
   6.0699737205980004e+04	   6.3000001050066315e+07	   0.0000000000000000e+00	
   6.0699737217390000e+04	   6.3000001045626558e+07	   0.0000000000000000e+00	
   6.0699737228790000e+04	   6.3000001044960827e+07	   0.0000000000000000e+00	
   6.0699737240199996e+04	   6.3000001046977580e+07	   0.0000000000000000e+00	
   6.0699737251619998e+04	   6.3000001052894227e+07	   0.0000000000000000e+00	
   6.0699737263030001e+04	   6.3000001059104830e+07	   0.0000000000000000e+00	
   6.0699737274450003e+04	   6.3000001064787932e+07	   0.0000000000000000e+00	
   6.0699737285850002e+04	   6.3000001070718817e+07	   0.0000000000000000e+00	
   6.0699737297259999e+04	   6.3000001071971796e+07	   0.0000000000000000e+00	
   6.0699737308670003e+04	   6.3000001074093431e+07	   0.0000000000000000e+00	
   6.0699737320089997e+04	   6.3000001072277203e+07	   0.0000000000000000e+00	
   6.0699737331500000e+04	   6.3000001061017446e+07	   0.0000000000000000e+00	
   6.0699737342909997e+04	   6.3000001053391837e+07	   0.0000000000000000e+00	
   6.0699737354329998e+04	   6.3000001049162865e+07	   0.0000000000000000e+00	
   6.0699737365740002e+04	   6.3000001040207684e+07	   0.0000000000000000e+00	
   6.0699737377149999e+04	   6.3000001035918549e+07	   0.0000000000000000e+00	
   6.0699737388560003e+04	   6.3000001035212032e+07	   0.0000000000000000e+00	
   6.0699737399969999e+04	   6.3000001034193806e+07	   0.0000000000000000e+00	
   6.0699737411390000e+04	   6.3000001028967083e+07	   0.0000000000000000e+00	
   6.0699737422790000e+04	   6.3000001023033969e+07	   0.0000000000000000e+00	
   6.0699737434219998e+04	   6.3000001018817827e+07	   0.0000000000000000e+00	
   6.0699737445630002e+04	   6.3000001014899813e+07	   0.0000000000000000e+00	
   6.0699737457039999e+04	   6.3000001012780599e+07	   0.0000000000000000e+00	
   6.0699737468439998e+04	   6.3000001004650362e+07	   0.0000000000000000e+00	
   6.0699737479859999e+04	   6.3000000996700063e+07	   0.0000000000000000e+00	
   6.0699737491280001e+04	   6.3000000992449835e+07	   0.0000000000000000e+00	
   6.0699737502700002e+04	   6.3000000989007279e+07	   0.0000000000000000e+00	
   6.0699737514089997e+04	   6.3000000987713911e+07	   0.0000000000000000e+00	
   6.0699737525509998e+04	   6.3000000987527408e+07	   0.0000000000000000e+00	
   6.0699737536920002e+04	   6.3000000993691482e+07	   0.0000000000000000e+00	
   6.0699737548329998e+04	   6.3000000999840736e+07	   0.0000000000000000e+00	
   6.0699737559740002e+04	   6.3000001005474389e+07	   0.0000000000000000e+00	
   6.0699737571149999e+04	   6.3000001014746256e+07	   0.0000000000000000e+00	
   6.0699737582570000e+04	   6.3000001023309581e+07	   0.0000000000000000e+00	
   6.0699737593990001e+04	   6.3000001025931343e+07	   0.0000000000000000e+00	
   6.0699737605399998e+04	   6.3000001023891665e+07	   0.0000000000000000e+00	
   6.0699737616799997e+04	   6.3000001022639170e+07	   0.0000000000000000e+00	
   6.0699737628230003e+04	   6.3000001024437375e+07	   0.0000000000000000e+00	
