#Frequency shifts file for TiSapph measurement of Al+ frequency
#  Data recorded on 02-04-2025, analyzed on 02-05-2025.
#
#  All shifts are in Hz as referenced to the Al+ resonance near 267.4 nm.
#
#  To calculate the clock frequency use: f_atom = (M/N)*f_comb + f_shift.
#    - Here, M = 4, N = 1, f_comb is the frequency measured at the comb and f_shift is given in the data columns.
#    - Frequencies are not corrected for maser offsets.
#    - Data taken using maser ST008 to reference all synthesizers.
#
#  Static shifts are compiled in static_shifts_MgAl.m for reference.
#
#  First 300 seconds and last 60 seconds of lock times removed.
#
#  Gravitational redshift of the atoms with respect to geodetic marker 1H116 included.
#
#  Total lock duration: 16341.9455 s
#
#  Servo parameters:
#    Contrast: Probe -1: 0.79 Probe +1:0.74
#    Servo Error: 0.00314+/-0.0064 Hz
#    Difference between probe beams: 0.00216+/-0.0086 Hz
#
#  2nd-order Zeeman shifts calculated based on real-time B-field calibration.
#    Delta_ZS2 = -0.7191+/-0.00024 Hz
#
t_mjd	f_shift [Hz]	IS_GOOD
60710.2916667	252500000.000000	0
60710.2916782	252500000.000000	0
60710.2916898	252500000.000000	0
60710.2917014	252500000.000000	0
60710.2917130	252500000.000000	0
60710.2917245	252500000.000000	0
60710.2917361	252500000.000000	0
60710.2917477	252500000.000000	0
60710.2917593	252500000.000000	0
60710.2917708	252500000.000000	0
60710.2917824	252500000.000000	0
60710.2917940	252500000.000000	0
60710.2918056	252500000.000000	0
60710.2918171	252500000.000000	0
60710.2918287	252500000.000000	0
60710.2918403	252500000.000000	0
60710.2918519	252500000.000000	0
60710.2918634	252500000.000000	0
60710.2918750	252500000.000000	0
60710.2918866	252500000.000000	0
60710.2918981	252500000.000000	0
60710.2919097	252500000.000000	0
60710.2919213	252500000.000000	0
60710.2919329	252500000.000000	0
60710.2919444	252500000.000000	0
60710.2919560	252500000.000000	0
60710.2919676	252500000.000000	0
60710.2919792	252500000.000000	0
60710.2919907	252500000.000000	0
60710.2920023	252500000.000000	0
60710.2920139	252500000.000000	0
60710.2920255	252500000.000000	0
60710.2920370	252500000.000000	0
60710.2920486	252500000.000000	0
60710.2920602	252500000.000000	0
60710.2920718	252500000.000000	0
60710.2920833	252500000.000000	0
60710.2920949	252500000.000000	0
60710.2921065	252500000.000000	0
