# Frequency shift file for JILA Sr1 
# for 20250204_clock_lock#0.
# Processed Tue Feb  4 17:04:53 2025 (MT) 
# by Alexander Aeppli(alexander.aeppli@colorado.edu), William Warfield(william.warfield@colorado.edu) 
# ******Applied Corrections******
# point by point corrections: 
#  - servo 
#  - second order zeeman 
#  - density shift 
# DC corrections: 
#  - lattice light 
#  - DC Stark 
#  - BBR 
#  - background gas 
#  - redshift to S1B60V1 
# Total sytematic error (frac.) = ~1e-17
# No MASER corrections have been applied
# To calculate the strontium frequency: 
# f_sr = (N/M)*f_light + f_shift[Hz] 
# where N = 1716882, M = 777577, 
# and f_light is the frequency of the light leaving JILA. 
#### Additional Notes #### 
# nan
t_mjd	f_shift [Hz]	IS_GOOD
60710.77409432326	-165702337.54638928	1
60710.774207885224	-165702337.49136913	1
60710.77432137343	-165702337.50633562	1
60710.77443490261	-165702337.54652315	1
60710.77454838625	-165702337.5314728	1
60710.77466202083	-165702337.5510038	1
60710.77477552618	-165702337.5289305	1
60710.77488909533	-165702337.49993104	1
60710.77500268052	-165702337.50374216	1
60710.775116154626	-165702337.49677616	1
60710.77522970572	-165702337.48599982	1
60710.775343234134	-165702337.4924454	1
60710.77545683874	-165702337.50578123	1
60710.77557029518	-165702337.4665792	1
60710.77568384199	-165702337.4759606	1
60710.77579740927	-165702337.54559153	1
60710.77591099071	-165702337.53413504	1
60710.77602452297	-165702337.51632667	1
60710.77613803653	-165702337.51591223	1
60710.776251645104	-165702337.51962334	1
60710.77636509866	-165702337.53648293	1
60710.77647868547	-165702337.528269	1
60710.77659227008	-165702337.47091496	1
60710.776705715405	-165702337.4860106	1
60710.776819329476	-165702337.51704186	1
60710.77693281923	-165702337.50417197	1
60710.7770464751	-165702337.52125043	1
60710.77715988701	-165702337.51117915	1
60710.77727350456	-165702337.53204286	1
60710.77738703229	-165702337.53860217	1
60710.77750056483	-165702337.5265211	1
60710.77761406611	-165702337.54169106	1
60710.77772769253	-165702337.5358283	1
60710.77784115375	-165702337.55863428	1
60710.77795472315	-165702337.5649081	1
60710.77806829517	-165702337.49455726	1
60710.7785223767	-165702337.49808586	1
60710.77863596469	-165702337.51936567	1
60710.77874954797	-165702337.51488024	1
60710.77886312871	-165702337.5556178	1
60710.77897664425	-165702337.49751598	1
60710.77909018684	-165702337.48188615	1
60710.779203721846	-165702337.47805482	1
60710.77931720861	-165702337.530007	1
60710.779430841685	-165702337.54371715	1
60710.77954430308	-165702337.49205226	1
60710.77965789638	-165702337.5042721	1
60710.77977141641	-165702337.51639855	1
60710.77988488585	-165702337.54207432	1
60710.779998479105	-165702337.5480076	1
60710.780112033026	-165702337.50222927	1
60710.78022565115	-165702337.54313713	1
60710.780339101766	-165702337.5263989	1
60710.78045272144	-165702337.52970093	1
60710.78056622263	-165702337.54951262	1
60710.78067973685	-165702337.51170754	1
60710.780793296195	-165702337.53609163	1
60710.7809068819	-165702337.52710283	1
60710.78102033815	-165702337.52838194	1
60710.78113398615	-165702337.53301543	1
60710.78124748862	-165702337.5053057	1
60710.78136111407	-165702337.48378062	1
60710.78147458241	-165702337.5152678	1
60710.781588130536	-165702337.4882105	1
60710.78170170383	-165702337.5396198	1
60710.78181516801	-165702337.5303309	1
60710.78192878055	-165702337.47568184	1
60710.782042324536	-165702337.48924953	1
60710.78215578321	-165702337.45375037	1
60710.78226936685	-165702337.5201974	1
60710.782382899255	-165702337.50554895	1
60710.78249642398	-165702337.51910698	1
60710.78261001092	-165702337.52730852	1
60710.7827235635	-165702337.49072462	1
60710.78283707711	-165702337.48624712	1
60710.78295058872	-165702337.43298554	1
60710.78306420391	-165702337.4552936	1
60710.783177669044	-165702337.4735685	1
60710.78329122425	-165702337.4376477	1
60710.78340484519	-165702337.4479195	1
60710.783518364544	-165702337.4638993	1
60710.78363193526	-165702337.47278756	1
60710.78374541578	-165702337.48536855	1
60710.78385899248	-165702337.44817156	1
60710.78397247283	-165702337.42224872	1
60710.784086003994	-165702337.44380403	1
60710.78419955936	-165702337.46496278	1
60710.78431313573	-165702337.45454812	1
60710.784426707134	-165702337.48604107	1
60710.78454021751	-165702337.46249765	1
60710.78465381212	-165702337.44875354	1
60710.78476728822	-165702337.50388664	1
60710.78488082351	-165702337.50812405	1
60710.78499434429	-165702337.50367612	1
60710.78510790084	-165702337.52409726	1
60710.785221434875	-165702337.49284953	1
60710.78533510029	-165702337.5010003	1
60710.785448585426	-165702337.51263982	1
60710.78556206944	-165702337.51504624	1
60710.78567561779	-165702337.4599628	1
60710.78578926878	-165702337.481071	1
60710.78590280915	-165702337.52799267	1
60710.78601630038	-165702337.5308318	1
60710.78612984249	-165702337.49945402	1
60710.78624335563	-165702337.5367574	1
60710.786356929515	-165702337.50832105	1
60710.78647043424	-165702337.4996875	1
60710.786584048226	-165702337.55132145	1
60710.78669757781	-165702337.55067033	1
60710.78681107627	-165702337.54182506	1
60710.786924636144	-165702337.53036976	1
60710.78703818495	-165702337.4928139	1
60710.78715174826	-165702337.49949968	1
60710.78726525568	-165702337.51194763	1
60710.78737884344	-165702337.48014915	1
60710.787492377596	-165702337.4740728	1
60710.787605919795	-165702337.49933732	1
60710.787719475054	-165702337.50556725	1
60710.787832946924	-165702337.53755325	1
60710.78794649235	-165702337.5922187	1
60710.78806009553	-165702337.53557807	1
60710.78817359789	-165702337.5583002	1
60710.788287128715	-165702337.53187495	1
60710.788400687285	-165702337.55227655	1
60710.788514189655	-165702337.52491868	1
60710.78862776735	-165702337.5427249	1
60710.78874132708	-165702337.51990038	1
60710.78885483621	-165702337.47597504	1
60710.78896840578	-165702337.50415403	1
60710.789081944335	-165702337.49766254	1
60710.789195502024	-165702337.52064633	1
60710.78930899625	-165702337.48244458	1
60710.789422597256	-165702337.47633493	1
60710.78953615972	-165702337.49335897	1
60710.789649653176	-165702337.4879781	1
60710.78976324444	-165702337.5025158	1
60710.78987681365	-165702337.54030138	1
60710.78999030203	-165702337.53359795	1
60710.79010381825	-165702337.51377112	1
60710.790217338785	-165702337.51221424	1
60710.79033094711	-165702337.51710886	1
60710.7904444069	-165702337.5166968	1
60710.79055803228	-165702337.51902473	1
60710.79067151069	-165702337.5196793	1
60710.79078516244	-165702337.5214374	1
60710.790898613726	-165702337.54264337	1
60710.79101224817	-165702337.52170485	1
60710.79112571563	-165702337.54745388	1
60710.79123929706	-165702337.52815777	1
60710.79135281938	-165702337.51811755	1
60710.79146632059	-165702337.51852208	1
60710.79157995298	-165702337.50086176	1
60710.791693398874	-165702337.53855062	1
60710.79180700506	-165702337.50187182	1
60710.79192053953	-165702337.49309093	1
60710.79203403877	-165702337.50803578	1
60710.792147566	-165702337.4933281	1
60710.792261132716	-165702337.4900046	1
60710.79237461875	-165702337.50946206	1
60710.79248824958	-165702337.5163116	1
60710.7926017686	-165702337.53039664	1
60710.792715317075	-165702337.553451	1
60710.79282889922	-165702337.55824095	1
60710.79294242885	-165702337.53149033	1
60710.79305587455	-165702337.55770373	1
60710.79316945234	-165702337.53330857	1
60710.793283063125	-165702337.50869924	1
60710.7933965729	-165702337.48154318	1
60710.79351015878	-165702337.5068692	1
60710.7936236296	-165702337.48398584	1
60710.793737224434	-165702337.51827002	1
60710.79385076118	-165702337.47563243	1
