# Readme Information 
# Data taken on 250204, analyzed on 04-Feb-2025 by script Saveshifts_forTara_v3_250204.m.
# Gravitational Redshift Corrected to Marker on floor of 1G104 labeled 811G104 
# Frequencies units of Hz. Maser ST008 references all synthesizers.
# v_yb_ideal=2*v_comb+f_shift 
# f_shift includes: Blackbody radation based on real time temperature measurement (avg shift = -1.2147), 2nd order zeeman based on real time B field measurement by atoms (avg shift = NaN), background gas collisions (avg shift = -0.0016), lattice AC stark shift (avg shift = -0.0007), probe AC stark shift (avg shift = 0.0000), graviational red shift (avg shift = 0.0803), and AOMs between atoms and combs (shift of 63000000)
# Run Duration 2.177876e+04 s, uptime fraction 9.426336e-01. 
t_mjd	   f_shift [Hz]  	IS_GOOD
   6.0710775351440003e+04	   6.3000000043706998e+07	   0.0000000000000000e+00	
   6.0710775359120002e+04	   6.3000000046138957e+07	   0.0000000000000000e+00	
   6.0710775370449999e+04	   6.3000000045252569e+07	   0.0000000000000000e+00	
   6.0710775381820000e+04	   6.3000000045074120e+07	   0.0000000000000000e+00	
   6.0710775393149997e+04	   6.3000000044452831e+07	   0.0000000000000000e+00	
   6.0710775404499997e+04	   6.3000000050702661e+07	   0.0000000000000000e+00	
   6.0710775415830001e+04	   6.3000000059169777e+07	   0.0000000000000000e+00	
   6.0710775427170003e+04	   6.3000000063346460e+07	   0.0000000000000000e+00	
   6.0710775438520002e+04	   6.3000000068386279e+07	   0.0000000000000000e+00	
   6.0710775449859997e+04	   6.3000000069753535e+07	   0.0000000000000000e+00	
   6.0710775461220001e+04	   6.3000000064198889e+07	   0.0000000000000000e+00	
   6.0710775472540001e+04	   6.3000000055038132e+07	   0.0000000000000000e+00	
   6.0710775483890000e+04	   6.3000000047975250e+07	   0.0000000000000000e+00	
   6.0710775495239999e+04	   6.3000000047223441e+07	   0.0000000000000000e+00	
   6.0710775506569997e+04	   6.3000000048875697e+07	   0.0000000000000000e+00	
   6.0710775517920003e+04	   6.3000000051414639e+07	   0.0000000000000000e+00	
   6.0710775529259998e+04	   6.3000000054869749e+07	   0.0000000000000000e+00	
   6.0710775540600000e+04	   6.3000000055942677e+07	   0.0000000000000000e+00	
   6.0710775551949999e+04	   6.3000000057113357e+07	   0.0000000000000000e+00	
   6.0710775563290001e+04	   6.3000000062715702e+07	   0.0000000000000000e+00	
   6.0710775574630003e+04	   6.3000000066272937e+07	   0.0000000000000000e+00	
   6.0710775585980002e+04	   6.3000000067274563e+07	   0.0000000000000000e+00	
   6.0710775597309999e+04	   6.3000000066649340e+07	   0.0000000000000000e+00	
   6.0710775608670003e+04	   6.3000000058327124e+07	   0.0000000000000000e+00	
   6.0710775620000000e+04	   6.3000000055329889e+07	   0.0000000000000000e+00	
   6.0710775631340002e+04	   6.3000000052383386e+07	   0.0000000000000000e+00	
   6.0710775642690001e+04	   6.3000000048646688e+07	   0.0000000000000000e+00	
   6.0710775654030003e+04	   6.3000000046761237e+07	   0.0000000000000000e+00	
   6.0710775665369998e+04	   6.3000000045204937e+07	   0.0000000000000000e+00	
   6.0710775676710000e+04	   6.3000000043694399e+07	   0.0000000000000000e+00	
   6.0710775688070004e+04	   6.3000000045596808e+07	   0.0000000000000000e+00	
   6.0710775699400001e+04	   6.3000000049627192e+07	   0.0000000000000000e+00	
   6.0710775710759997e+04	   6.3000000054956213e+07	   0.0000000000000000e+00	
   6.0710775722090002e+04	   6.3000000060144171e+07	   0.0000000000000000e+00	
   6.0710775733420000e+04	   6.3000000066097483e+07	   0.0000000000000000e+00	
   6.0710775744769999e+04	   6.3000000069089562e+07	   0.0000000000000000e+00	
   6.0710775756110001e+04	   6.3000000067641027e+07	   0.0000000000000000e+00	
   6.0710775767480001e+04	   6.3000000063075319e+07	   0.0000000000000000e+00	
   6.0710775778800002e+04	   6.3000000051029555e+07	   0.0000000000000000e+00	
   6.0710775790159998e+04	   6.3000000038657635e+07	   0.0000000000000000e+00	
   6.0710775801479998e+04	   6.3000000024515823e+07	   0.0000000000000000e+00	
   6.0710775812820000e+04	   6.3000000014368437e+07	   0.0000000000000000e+00	
   6.0710775824179997e+04	   6.3000000007116087e+07	   0.0000000000000000e+00	
   6.0710775835510001e+04	   6.3000000006383695e+07	   0.0000000000000000e+00	
   6.0710775846860000e+04	   6.3000000003221400e+07	   0.0000000000000000e+00	
   6.0710775858200002e+04	   6.2999999997171998e+07	   0.0000000000000000e+00	
   6.0710775869539997e+04	   6.2999999989499785e+07	   0.0000000000000000e+00	
