02/06/2025	10:41:47	(analyzed:  2/6/2025)
MJD	timer	SDR:frep_ErYb	fo_ErYb	fb_Si_ErYb	fb_Yb_ErYb	fb_Al_ErYb
60712.737354	56.000000	113927.228137	105000000.000400	99999999.998800	28855036.000240	22737008.000090
60712.737366	1118.000000	113927.228454	105000000.000800	100000000.000000	28855035.999920	22737008.000040
60712.737378	2175.000000	113927.228364	104999999.999300	100000000.000600	28855036.000320	22737007.999910
60712.737390	3231.000000	113927.228363	105000000.001500	99999999.999100	28855035.999680	22737008.000020
60712.737403	4289.000000	113927.228564	105000000.000700	100000000.000600	28855035.999850	22737007.999980
60712.737415	5345.000000	113927.228442	105000000.000800	99999999.999100	28855036.000130	22737008.000080
60712.737427	6402.000000	113927.228259	105000000.000200	100000000.000000	28855035.999940	22737008.000080
60712.737439	7460.000000	113927.228275	105000000.000200	100000000.001000	28855035.999840	22737008.000020
60712.737451	8517.000000	113927.228383	104999999.999100	99999999.998300	28855035.999910	22737008.000130
60712.737464	9574.000000	113927.228481	104999999.999900	100000000.000700	28855036.000270	22737007.999650
60712.737476	10630.000000	113927.228550	105000000.000900	99999999.998700	28855036.000190	22737007.999890
60712.737488	11689.000000	113927.228303	105000000.000200	99999999.999900	28855035.999900	22737008.000190
60712.737500	12746.000000	113927.228186	105000000.001500	100000000.000700	28855036.000110	22737008.000040
60712.737513	13802.000000	113927.228465	105000000.000200	99999999.999200	28855036.000310	22737007.999860
60712.737525	14859.000000	113927.228403	104999999.998700	100000000.000800	28855036.000250	22737007.999910
60712.737537	15916.000000	113927.228500	104999999.999300	99999999.999300	28855035.999660	22737008.000080
60712.737549	16972.000000	113927.228287	105000000.001900	99999999.999900	28855035.999950	22737007.999890
60712.737562	18028.000000	113927.228373	105000000.000000	100000000.000400	28855036.000140	22737007.999960
60712.737574	19086.000000	113927.228477	105000000.001100	99999999.998900	28855035.999980	22737008.000070
60712.737586	20144.000000	113927.228255	104999999.999500	100000000.000600	28855036.000440	22737007.999980
60712.737598	21200.000000	113927.228445	105000000.001500	99999999.999600	28855036.000010	22737008.000140
60712.737610	22255.000000	113927.228247	104999999.999700	100000000.000200	28855035.999700	22737007.999860
60712.737623	23314.000000	113927.228328	104999999.999900	100000000.001100	28855035.999920	22737008.000030
60712.737635	24370.000000	113927.228641	105000000.001000	99999999.998500	28855036.000120	22737007.999870
60712.737647	25427.000000	113927.228747	104999999.999600	100000000.000700	28855035.999880	22737008.000150
60712.737659	26483.000000	113927.228229	105000000.000200	99999999.999100	28855035.999930	22737007.999980
60712.737672	27540.000000	113927.228222	105000000.002100	99999999.999600	28855036.000060	22737008.000170
60712.737684	28597.000000	113927.228244	104999999.999500	100000000.000700	28855036.000020	22737008.000080
60712.737696	29653.000000	113927.228693	105000000.001200	99999999.999300	28855036.000020	22737008.000060
60712.737708	30709.000000	113927.228178	104999999.999100	100000000.000300	28855035.999960	22737008.000000
60712.737721	31767.000000	113927.228165	105000000.000900	99999999.999100	28855035.999950	22737008.000040
60712.737733	32823.000000	113927.228607	104999999.999300	99999999.999500	28855036.000270	22737007.999830
60712.737745	33881.000000	113927.228539	105000000.000100	100000000.001100	28855035.999970	22737008.000060
60712.737757	34937.000000	113927.228229	105000000.001300	99999999.998600	28855036.000060	22737008.000110
60712.737770	35996.000000	113927.228306	105000000.000900	100000000.001100	28855036.000180	22737007.999910
60712.737782	37053.000000	113927.228428	104999999.999300	99999999.999900	28855035.999920	22737007.999920
60712.737794	38109.000000	113927.228053	105000000.000900	100000000.000000	28855035.999940	22737007.999930
60712.737806	39165.000000	113927.228506	104999999.999800	100000000.000800	28855035.999570	22737007.999980
60712.737818	40222.000000	113927.228618	105000000.001300	99999999.998800	28855036.000250	22737008.000010
60712.737831	41279.000000	113927.228204	104999999.999300	100000000.000900	28855036.000230	22737008.000000
60712.737843	42336.000000	113927.228463	104999999.999800	99999999.999500	28855035.999870	22737008.000130
60712.737855	43392.000000	113927.228314	105000000.000000	99999999.999900	28855036.000110	22737008.000020
