# Frequency shift file for JILA Sr1 
# for 20250206_clock_lock#2.
# Processed Thu Feb  6 18:01:04 2025 (MT) 
# by Alexander Aeppli(alexander.aeppli@colorado.edu), William Warfield(william.warfield@colorado.edu) 
# ******Applied Corrections******
# point by point corrections: 
#  - servo 
#  - second order zeeman 
#  - density shift 
# DC corrections: 
#  - lattice light 
#  - DC Stark 
#  - BBR 
#  - background gas 
#  - redshift to S1B60V1 
# Total sytematic error (frac.) = ~1e-17
# No MASER corrections have been applied
# To calculate the strontium frequency: 
# f_sr = (N/M)*f_light + f_shift[Hz] 
# where N = 1716882, M = 777577, 
# and f_light is the frequency of the light leaving JILA. 
#### Additional Notes #### 
# nan
t_mjd	f_shift [Hz]	IS_GOOD
60712.811271772436	-165702332.69585907	1
60712.811385267414	-165702332.70371562	1
60712.811498812924	-165702332.74878055	1
60712.81161240249	-165702332.72494233	1
60712.81172590088	-165702332.72180325	1
60712.811839431866	-165702332.65644544	1
60712.8119530382	-165702332.68194574	1
60712.8120665435	-165702332.74537325	1
60712.8121801363	-165702332.70531166	1
60712.812293635245	-165702332.70533502	1
60712.81240722877	-165702332.7183544	1
60712.81252068748	-165702332.721278	1
60712.812634218906	-165702332.69062114	1
60712.81274773864	-165702332.71588314	1
60712.8128613895	-165702332.71026987	1
60712.812974877605	-165702332.71415383	1
60712.81308844142	-165702332.7111439	1
60712.81320194397	-165702332.70411432	1
60712.81331552925	-165702332.75481808	1
60712.81342904806	-165702332.74603325	1
60712.81354259049	-165702332.7459833	1
60712.81365616038	-165702332.71925384	1
60712.8137697264	-165702332.6595688	1
60712.813883197356	-165702332.6673445	1
60712.81399670347	-165702332.66364157	1
60712.814110268715	-165702332.70823097	1
60712.814223816094	-165702332.69044966	1
60712.81433737419	-165702332.67024088	1
60712.81445092806	-165702332.70040607	1
60712.81456444391	-165702332.67659444	1
60712.81467800591	-165702332.67098004	1
60712.814791525496	-165702332.670929	1
60712.814905067986	-165702332.6693101	1
60712.81501864069	-165702332.7087261	1
60712.81513221843	-165702332.700975	1
60712.81524570486	-165702332.6571614	1
60712.81535926701	-165702332.67984986	1
60712.815472773524	-165702332.70387077	1
60712.81558633553	-165702332.66922724	1
60712.81569999353	-165702332.65230018	1
60712.81581344564	-165702332.68206412	1
60712.8159270008	-165702332.69800454	1
60712.816040547565	-165702332.68301135	1
60712.81615412337	-165702332.69089007	1
60712.81626760216	-165702332.71282583	1
60712.81638117213	-165702332.67885303	1
60712.816494703395	-165702332.70630926	1
60712.81660826725	-165702332.70444202	1
60712.816721776384	-165702332.67299438	1
60712.816835371304	-165702332.68063802	1
60712.8169488676	-165702332.6685955	1
