# Frequency shift file for JILA Sr1 
# for 20250227_clock_lock#0.
# Processed Thu Feb 27 17:03:36 2025 (MT) 
# by Alexander Aeppli(alexander.aeppli@colorado.edu), William Warfield(william.warfield@colorado.edu) 
# ******Applied Corrections******
# point by point corrections: 
#  - servo 
#  - second order zeeman 
#  - density shift 
# DC corrections: 
#  - lattice light 
#  - DC Stark 
#  - BBR 
#  - background gas 
#  - redshift to S1B60V1 
# Total sytematic error (frac.) = ~1e-17
# No MASER corrections have been applied
# To calculate the strontium frequency: 
# f_sr = (N/M)*f_light + f_shift[Hz] 
# where N = 1716882, M = 777577, 
# and f_light is the frequency of the light leaving JILA. 
#### Additional Notes #### 
# nan
t_mjd	f_shift [Hz]	IS_GOOD
60733.773922698514	-165702263.78052545	1
60733.774048382315	-165702263.75118244	1
60733.77417397017	-165702263.782416	1
60733.77429972476	-165702263.81675953	1
60733.774425329	-165702263.77334684	1
60733.77455096716	-165702263.71731257	1
60733.77467670778	-165702263.76049626	1
60733.774802329965	-165702263.7282942	1
60733.77492799527	-165702263.73808402	1
60733.775053705824	-165702263.72878343	1
60733.775179291464	-165702263.74789268	1
60733.775305007526	-165702263.67469847	1
60733.77543071159	-165702263.74217248	1
60733.77555639312	-165702263.80915672	1
60733.77568199492	-165702263.74482763	1
60733.775807666985	-165702263.73440343	1
60733.77593342293	-165702263.71886444	1
60733.77605892712	-165702263.7525959	1
60733.776184623675	-165702263.73148984	1
60733.77631033396	-165702263.72839153	1
60733.77643601355	-165702263.75786805	1
60733.77656165865	-165702263.73124164	1
60733.77668733728	-165702263.74316657	1
60733.776813034136	-165702263.73025948	1
60733.77693865315	-165702263.76431894	1
60733.77706437732	-165702263.7375545	1
60733.777190077235	-165702263.7176987	1
60733.77731558275	-165702263.74979532	1
60733.777441365804	-165702263.73904067	1
60733.777567076395	-165702263.7236231	1
60733.77769270307	-165702263.7108783	1
60733.7778183906	-165702263.6880358	1
60733.77794400727	-165702263.71502906	1
60733.778069702035	-165702263.69589067	1
60733.778195289495	-165702263.7112717	1
60733.778321046804	-165702263.71786523	1
60733.77844666974	-165702263.75462663	1
60733.778572345145	-165702263.70148355	1
60733.77869799794	-165702263.710962	1
60733.778823662826	-165702263.72845817	1
60733.7789493669	-165702263.7385006	1
60733.77907495884	-165702263.69951653	1
60733.77919894315	-165702263.77479988	1
60733.77931999007	-165702263.78166664	1
60733.77944089232	-165702263.7991283	1
60733.77956191606	-165702263.7621261	1
60733.77968295758	-165702263.72558504	1
60733.77980385517	-165702263.73084283	1
60733.77992488347	-165702263.75159335	1
60733.780045916494	-165702263.72180212	1
60733.78016699117	-165702263.70420003	1
60733.780287856396	-165702263.62940937	1
60733.78040890374	-165702263.65010756	1
60733.780529949145	-165702263.70522553	1
60733.78065087958	-165702263.70586413	1
60733.78077185271	-165702263.69498062	1
60733.78089287733	-165702263.70238543	1
60733.78101378481	-165702263.7165032	1
60733.781134843484	-165702263.67259783	1
60733.78125589185	-165702263.730379	1
