# Readme Information 
# Data taken on 250227, analyzed on 27-Feb-2025 by script Saveshifts_forTara_v3_250227.m.
# Gravitational Redshift Corrected to Marker on floor of 1G104 labeled 811G104 
# Frequencies units of Hz. Maser ST008 references all synthesizers.
# v_yb_ideal=2*v_comb+f_shift 
# f_shift includes: Blackbody radation based on real time temperature measurement (avg shift = -1.2102), 2nd order zeeman based on real time B field measurement by atoms (avg shift = -0.0612), background gas collisions (avg shift = -0.0016), lattice AC stark shift (avg shift = -0.0007), probe AC stark shift (avg shift = 0.0000), graviational red shift (avg shift = 0.0803), and AOMs between atoms and combs (shift of 63000000)
# Run Duration 1.833241e+04 s, uptime fraction 9.049156e-01. 
t_mjd	   f_shift [Hz]  	IS_GOOD
   6.0733790997919998e+04	   6.3000001137469947e+07	   0.0000000000000000e+00	
   6.0733791005350002e+04	   6.3000001164030768e+07	   0.0000000000000000e+00	
   6.0733791016579999e+04	   6.3000001191751666e+07	   0.0000000000000000e+00	
   6.0733791027810003e+04	   6.3000001215529419e+07	   0.0000000000000000e+00	
   6.0733791039030002e+04	   6.3000001205728546e+07	   0.0000000000000000e+00	
   6.0733791050270003e+04	   6.3000001192106545e+07	   0.0000000000000000e+00	
   6.0733791061490003e+04	   6.3000001166281715e+07	   0.0000000000000000e+00	
   6.0733791072710002e+04	   6.3000001151680440e+07	   0.0000000000000000e+00	
   6.0733791083949996e+04	   6.3000001140945621e+07	   0.0000000000000000e+00	
   6.0733791095170003e+04	   6.3000001140436538e+07	   1.0000000000000000e+00	
   6.0733791106400000e+04	   6.3000001143401213e+07	   1.0000000000000000e+00	
   6.0733791117629997e+04	   6.3000001148434244e+07	   1.0000000000000000e+00	
   6.0733791128850004e+04	   6.3000001154089548e+07	   1.0000000000000000e+00	
   6.0733791140080000e+04	   6.3000001157821625e+07	   1.0000000000000000e+00	
   6.0733791151300000e+04	   6.3000001169741906e+07	   1.0000000000000000e+00	
   6.0733791162540001e+04	   6.3000001176680684e+07	   1.0000000000000000e+00	
   6.0733791173769998e+04	   6.3000001184908211e+07	   1.0000000000000000e+00	
   6.0733791184989997e+04	   6.3000001189215437e+07	   1.0000000000000000e+00	
   6.0733791196209997e+04	   6.3000001194175772e+07	   1.0000000000000000e+00	
   6.0733791207429997e+04	   6.3000001192368969e+07	   1.0000000000000000e+00	
   6.0733791218680002e+04	   6.3000001194030359e+07	   1.0000000000000000e+00	
   6.0733791229880000e+04	   6.3000001190261342e+07	   1.0000000000000000e+00	
   6.0733791241120001e+04	   6.3000001185004778e+07	   1.0000000000000000e+00	
   6.0733791252340001e+04	   6.3000001180490740e+07	   1.0000000000000000e+00	
   6.0733791263580002e+04	   6.3000001179799937e+07	   1.0000000000000000e+00	
   6.0733791274800002e+04	   6.3000001180940889e+07	   1.0000000000000000e+00	
   6.0733791286020001e+04	   6.3000001188512735e+07	   1.0000000000000000e+00	
   6.0733791297249998e+04	   6.3000001195558749e+07	   1.0000000000000000e+00	
   6.0733791308469998e+04	   6.3000001200413816e+07	   1.0000000000000000e+00	
   6.0733791319709999e+04	   6.3000001207531326e+07	   1.0000000000000000e+00	
   6.0733791330920001e+04	   6.3000001211606137e+07	   1.0000000000000000e+00	
   6.0733791342170000e+04	   6.3000001214379355e+07	   1.0000000000000000e+00	
   6.0733791353400004e+04	   6.3000001210383363e+07	   1.0000000000000000e+00	
   6.0733791364609999e+04	   6.3000001201736905e+07	   1.0000000000000000e+00	
   6.0733791375829998e+04	   6.3000001192555353e+07	   1.0000000000000000e+00	
   6.0733791387060002e+04	   6.3000001183375336e+07	   1.0000000000000000e+00	
   6.0733791398300003e+04	   6.3000001176178038e+07	   1.0000000000000000e+00	
   6.0733791409520003e+04	   6.3000001171559006e+07	   1.0000000000000000e+00	
   6.0733791420750000e+04	   6.3000001169025108e+07	   1.0000000000000000e+00	
   6.0733791431969999e+04	   6.3000001167723246e+07	   1.0000000000000000e+00	
   6.0733791443219998e+04	   6.3000001164502695e+07	   1.0000000000000000e+00	
   6.0733791454439997e+04	   6.3000001161005437e+07	   1.0000000000000000e+00	
   6.0733791465650000e+04	   6.3000001150949277e+07	   1.0000000000000000e+00	
   6.0733791476879996e+04	   6.3000001145312808e+07	   1.0000000000000000e+00	
   6.0733791488119998e+04	   6.3000001140491389e+07	   1.0000000000000000e+00	
   6.0733791499350002e+04	   6.3000001141056955e+07	   1.0000000000000000e+00	
   6.0733791510570001e+04	   6.3000001143713191e+07	   1.0000000000000000e+00	
   6.0733791521790001e+04	   6.3000001149281897e+07	   1.0000000000000000e+00	
   6.0733791533010000e+04	   6.3000001157723963e+07	   1.0000000000000000e+00	
   6.0733791544239997e+04	   6.3000001167484865e+07	   1.0000000000000000e+00	
   6.0733791555490003e+04	   6.3000001183438197e+07	   1.0000000000000000e+00	
   6.0733791566699998e+04	   6.3000001193751127e+07	   1.0000000000000000e+00	
   6.0733791577930002e+04	   6.3000001198110841e+07	   1.0000000000000000e+00	
   6.0733791589159999e+04	   6.3000001193082072e+07	   1.0000000000000000e+00	
   6.0733791600390003e+04	   6.3000001178555571e+07	   1.0000000000000000e+00	
   6.0733791611619999e+04	   6.3000001169874795e+07	   1.0000000000000000e+00	
   6.0733791622850003e+04	   6.3000001159198299e+07	   1.0000000000000000e+00	
   6.0733791634059999e+04	   6.3000001157056943e+07	   1.0000000000000000e+00	
   6.0733791645309997e+04	   6.3000001154855177e+07	   1.0000000000000000e+00	
   6.0733791656519999e+04	   6.3000001153124973e+07	   1.0000000000000000e+00	
   6.0733791667750003e+04	   6.3000001146149077e+07	   1.0000000000000000e+00	
   6.0733791678980000e+04	   6.3000001143036418e+07	   1.0000000000000000e+00	
   6.0733791690200000e+04	   6.3000001137548938e+07	   1.0000000000000000e+00	
   6.0733791701429996e+04	   6.3000001132376239e+07	   1.0000000000000000e+00	
   6.0733791712660000e+04	   6.3000001126707025e+07	   1.0000000000000000e+00	
   6.0733791723870003e+04	   6.3000001124228485e+07	   1.0000000000000000e+00	
   6.0733791735109997e+04	   6.3000001124010690e+07	   1.0000000000000000e+00	
   6.0733791746329996e+04	   6.3000001122947276e+07	   1.0000000000000000e+00	
   6.0733791757560000e+04	   6.3000001120117366e+07	   1.0000000000000000e+00	
   6.0733791768800002e+04	   6.3000001122305594e+07	   1.0000000000000000e+00	
   6.0733791780020001e+04	   6.3000001129923381e+07	   1.0000000000000000e+00	
   6.0733791791240001e+04	   6.3000001129959092e+07	   1.0000000000000000e+00	
