#Frequency shifts file for TiSapph measurement of Al+ frequency
#  Data recorded on 02-28-2025, analyzed on 02-28-2025.
#
#  All shifts are in Hz as referenced to the Al+ resonance near 267.4 nm.
#
#  To calculate the clock frequency use: f_atom = (M/N)*f_comb + f_shift.
#    - Here, M = 4, N = 1, f_comb is the frequency measured at the comb and f_shift is given in the data columns.
#    - Frequencies are not corrected for maser offsets.
#    - Data taken using maser ST008 to reference all synthesizers.
#
#  Static shifts are compiled in static_shifts_MgAl.m for reference.
#
#    - Excess micromotion time dilation: -4.4602e-19+/-4.371e-19
#    - Secular motion time dilation: -1.1588e-17+/-5.0847e-19
#    - AC Zeeman: -5.3523e-20+/-5.9767e-21
#    - Blackbody radiation: -3.0686e-18+/-1.6949e-19
#    - Clock light Stark: 0+/-8.0284e-20
#    - Background gas: -3.0686e-20+/-1.6949e-19
#    - AOM phase chirp: 0+/-8.9205e-20
#    - Gravitational redshift: 1.5022e-16+/-3.3006e-19
#    - Fiber noise glitches: 0+/-0
#    - 1st-order Doppler: 0+/-1.7841e-19
#  First 300 seconds and last 60 seconds of lock times removed.
#
#  Gravitational redshift of the atoms with respect to geodetic marker 1H116 included.
#
#  Total lock duration: 17747.492 s
#
#  Servo parameters:
#    Contrast: Probe -1: 0.82 Probe +1:0.8
#    Servo Error: -0.000771+/-0.0058 Hz
#    Difference between probe beams: -0.0203+/-0.0078 Hz
#
#  2nd-order Zeeman shifts calculated based on real-time B-field calibration.
#    Delta_ZS2 = -0.70457+/-0.00024 Hz
#
#  Cooling laser Stark shift based on interleaved saturation parameter calibration.
#    Delta_Stark_280 = -0.00418+/-0.00022 Hz
#
#  Total shift (static components + 2nd-order Zeeman shift)
#    df = -0.55737+/-0.00097 Hz
#
t_mjd	f_shift [Hz]	IS_GOOD
60734.2916667	252500000.004175	0
60734.2916782	252500000.004175	0
60734.2916898	252500000.004175	0
60734.2917014	252500000.004175	0
60734.2917130	252500000.004175	0
60734.2917245	252500000.004175	0
60734.2917361	252500000.004175	0
60734.2917477	252500000.004175	0
60734.2917593	252500000.004175	0
60734.2917708	252500000.004175	0
60734.2917824	252500000.004175	0
60734.2917940	252500000.004175	0
60734.2918056	252500000.004175	0
60734.2918171	252500000.004175	0
60734.2918287	252500000.004175	0
60734.2918403	252500000.004175	0
60734.2918519	252500000.004175	0
60734.2918634	252500000.004175	0
60734.2918750	252500000.004175	0
60734.2918866	252500000.004175	0
60734.2918981	252500000.004175	0
60734.2919097	252500000.004175	0
60734.2919213	252500000.004175	0
60734.2919329	252500000.004175	0
60734.2919444	252500000.004175	0
60734.2919560	252500000.004175	0
60734.2919676	252500000.004175	0
60734.2919792	252500000.004175	0
60734.2919907	252500000.004175	0
60734.2920023	252500000.004175	0
60734.2920139	252500000.004175	0
60734.2920255	252500000.004175	0
60734.2920370	252500000.004175	0
60734.2920486	252500000.004175	0
60734.2920602	252500000.004175	0
60734.2920718	252500000.004175	0
60734.2920833	252500000.004175	0
60734.2920949	252500000.004175	0
60734.2921065	252500000.004175	0
60734.2921181	252500000.004175	0
60734.2921296	252500000.004175	0
60734.2921412	252500000.004175	0
60734.2921528	252500000.004175	0
60734.2921644	252500000.004175	0
60734.2921759	252500000.004175	0
60734.2921875	252500000.004175	0
60734.2921991	252500000.004175	0
60734.2922106	252500000.004175	0
60734.2922222	252500000.004175	0
60734.2922338	252500000.004175	0
60734.2922454	252500000.004175	0
60734.2922569	252500000.004175	0
60734.2922685	252500000.004175	0
60734.2922801	252500000.004175	0
60734.2922917	252500000.004175	0
60734.2923032	252500000.004175	0
60734.2923148	252500000.004175	0
60734.2923264	252500000.004175	0
60734.2923380	252500000.004175	0
60734.2923495	252500000.004175	0
60734.2923611	252500000.004175	0
60734.2923727	252500000.004175	0
60734.2923843	252500000.004175	0
60734.2923958	252500000.004175	0
60734.2924074	252500000.004175	0
60734.2924190	252500000.004175	0
60734.2924306	252500000.004175	0
60734.2924421	252500000.004175	0
60734.2924537	252500000.004175	0
60734.2924653	252500000.004175	0
60734.2924769	252500000.004175	0
60734.2924884	252500000.004175	0
60734.2925000	252500000.004175	0
60734.2925116	252500000.004175	0
60734.2925231	252500000.004175	0
60734.2925347	252500000.004175	0
60734.2925463	252500000.004175	0
60734.2925579	252500000.004175	0
60734.2925694	252500000.004175	0
60734.2925810	252500000.004175	0
60734.2925926	252500000.004175	0
60734.2926042	252500000.004175	0
60734.2926157	252500000.004175	0
60734.2926273	252500000.004175	0
60734.2926389	252500000.004175	0
60734.2926505	252500000.004175	0
60734.2926620	252500000.004175	0
60734.2926736	252500000.004175	0
60734.2926852	252500000.004175	0
60734.2926968	252500000.004175	0
60734.2927083	252500000.004175	0
60734.2927199	252500000.004175	0
60734.2927315	252500000.004175	0
60734.2927431	252500000.004175	0
60734.2927546	252500000.004175	0
60734.2927662	252500000.004175	0
60734.2927778	252500000.004175	0
60734.2927894	252500000.004175	0
60734.2928009	252500000.004175	0
60734.2928125	252500000.004175	0
60734.2928241	252500000.004175	0
60734.2928356	252500000.004175	0
60734.2928472	252500000.004175	0
60734.2928588	252500000.004175	0
60734.2928704	252500000.004175	0
60734.2928819	252500000.004175	0
60734.2928935	252500000.004175	0
60734.2929051	252500000.004175	0
60734.2929167	252500000.004175	0
60734.2929282	252500000.004175	0
