# Frequency shift file for JILA Sr1 
# for 20250228_clock_lock#1.
# Processed Fri Feb 28 17:02:43 2025 (MT) 
# by Alexander Aeppli(alexander.aeppli@colorado.edu), William Warfield(william.warfield@colorado.edu) 
# ******Applied Corrections******
# point by point corrections: 
#  - servo 
#  - second order zeeman 
#  - density shift 
# DC corrections: 
#  - lattice light 
#  - DC Stark 
#  - BBR 
#  - background gas 
#  - redshift to S1B60V1 
# Total sytematic error (frac.) = ~1e-17
# No MASER corrections have been applied
# To calculate the strontium frequency: 
# f_sr = (N/M)*f_light + f_shift[Hz] 
# where N = 1716882, M = 777577, 
# and f_light is the frequency of the light leaving JILA. 
#### Additional Notes #### 
# 420 ms probe (short) with 1G bias field (high)
t_mjd	f_shift [Hz]	IS_GOOD
60734.741275159344	-165702261.20558995	1
60734.741348491814	-165702261.21580476	1
60734.741421757906	-165702261.21082133	1
60734.74149511715	-165702261.2217344	1
60734.74156842767	-165702261.20352298	1
60734.74164171318	-165702261.24678278	1
60734.74171499888	-165702261.1861573	1
60734.74178829029	-165702261.17472523	1
60734.74186175897	-165702261.20258254	1
60734.741935053375	-165702261.18919593	1
60734.74200834441	-165702261.2290557	1
60734.7420816902	-165702261.22210848	1
60734.74215501658	-165702261.26871502	1
60734.742228230214	-165702261.2330954	1
60734.742301518374	-165702261.21067095	1
60734.74237479995	-165702261.24596417	1
60734.742448215344	-165702261.2689584	1
60734.74252154143	-165702261.22226495	1
60734.742594801144	-165702261.25732607	1
60734.74266805687	-165702261.238092	1
60734.742741501286	-165702261.248726	1
60734.74281473736	-165702261.19263047	1
60734.74288817126	-165702261.24241447	1
60734.74296140401	-165702261.23874563	1
60734.74303476999	-165702261.2284177	1
60734.74310804009	-165702261.19377857	1
60734.74318123176	-165702261.25677508	1
60734.743254742156	-165702261.2520386	1
60734.74332798207	-165702261.2277903	1
60734.74340124002	-165702261.2521028	1
60734.74347456897	-165702261.2681554	1
60734.74354793851	-165702261.22730958	1
60734.74362120892	-165702261.24449414	1
60734.7436946192	-165702261.26962042	1
60734.743767829976	-165702261.2621343	1
60734.74384116872	-165702261.2733997	1
60734.743914452214	-165702261.2139572	1
60734.743987804206	-165702261.21969432	1
60734.744061161626	-165702261.22907966	1
60734.744134365246	-165702261.2284463	1
60734.74420771017	-165702261.20118046	1
60734.74428105861	-165702261.3160913	1
60734.74435445582	-165702261.2918409	1
60734.74442766219	-165702261.3100478	1
60734.74450101058	-165702261.2601229	1
60734.74457429054	-165702261.29143417	1
60734.744647548214	-165702261.3184865	1
60734.74472091897	-165702261.24194425	1
60734.74479419504	-165702261.26608515	1
60734.744867574096	-165702261.29111052	1
60734.74494080627	-165702261.2334547	1
60734.7450142087	-165702261.29198575	1
60734.74508754398	-165702261.2782175	1
60734.74516086894	-165702261.213162	1
60734.74523420663	-165702261.21971744	1
60734.74530737309	-165702261.26945668	1
60734.74538073479	-165702261.17378932	1
60734.74545414977	-165702261.20860887	1
60734.74552735156	-165702261.2530837	1
60734.74560067504	-165702261.24382538	1
60734.74567408311	-165702261.17187452	1
60734.745747423745	-165702261.28837	1
60734.745820643264	-165702261.277103	1
60734.74589401534	-165702261.25212353	1
60734.745967319664	-165702261.21917164	1
60734.746040639366	-165702261.17213362	1
60734.746113939495	-165702261.1949969	1
60734.74618729301	-165702261.20330787	1
60734.74626052421	-165702261.23089242	1
60734.746333835494	-165702261.26013535	1
60734.746407281345	-165702261.20630085	1
60734.746480602626	-165702261.2613715	1
60734.74655381821	-165702261.1515113	1
60734.746627091685	-165702261.1860178	1
60734.74670041686	-165702261.21758223	1
60734.74677375405	-165702261.21937	1
60734.74684712923	-165702261.24426156	1
60734.74692038752	-165702261.23470563	1
60734.74699366231	-165702261.20966762	1
60734.74706703028	-165702261.1719705	1
60734.74714030655	-165702261.22291344	1
60734.74721375102	-165702261.2364257	1
60734.74728697095	-165702261.20523578	1
60734.74736029227	-165702261.23962426	1
60734.74743364722	-165702261.238182	1
60734.747506962965	-165702261.24112314	1
60734.74758019519	-165702261.1904608	1
60734.74765358095	-165702261.17750436	1
60734.74772685211	-165702261.2165848	1
60734.747800227386	-165702261.22242516	1
60734.747873503315	-165702261.2878713	1
60734.74794679725	-165702261.24874526	1
60734.74802008278	-165702261.21236938	1
60734.748093414964	-165702261.2016996	1
60734.748166736885	-165702261.19762415	1
60734.74824008417	-165702261.22318292	1
60734.74831338001	-165702261.23116064	1
60734.74838668233	-165702261.19564176	1
60734.74846003079	-165702261.21799356	1
60734.748533315775	-165702261.14643443	1
60734.74860666297	-165702261.15448982	1
60734.7486798931	-165702261.22189385	1
60734.74875319636	-165702261.19060957	1
60734.74882659323	-165702261.1701135	1
60734.748899865794	-165702261.15092814	1
60734.74897318029	-165702261.2027529	1
