# Frequency shift file for JILA Sr1 
# for 20250304_clock_lock#0.
# Processed Tue Mar  4 17:44:15 2025 (MT) 
# by Alexander Aeppli(alexander.aeppli@colorado.edu), William Warfield(william.warfield@colorado.edu) 
# ******Applied Corrections******
# point by point corrections: 
#  - servo 
#  - second order zeeman 
#  - density shift 
# DC corrections: 
#  - lattice light 
#  - DC Stark 
#  - BBR 
#  - background gas 
#  - redshift to S1B60V1 
# Total sytematic error (frac.) = ~1e-17
# No MASER corrections have been applied
# To calculate the strontium frequency: 
# f_sr = (N/M)*f_light + f_shift[Hz] 
# where N = 1716882, M = 777577, 
# and f_light is the frequency of the light leaving JILA. 
#### Additional Notes #### 
#  19.6 degree system temperature
t_mjd	f_shift [Hz]	IS_GOOD
60738.80429406365	-165702249.15225828	1
60738.80439413155	-165702249.16785914	1
60738.8044943075	-165702249.19312614	1
60738.804594485286	-165702249.1921788	1
60738.804694709965	-165702249.17749888	1
60738.80479485517	-165702249.14940083	1
60738.804894939094	-165702249.169344	1
60738.80499516344	-165702249.14427984	1
60738.805095319934	-165702249.13847947	1
60738.80519543237	-165702249.1432473	1
60738.805295647595	-165702249.1588158	1
60738.805395867224	-165702249.16320187	1
60738.80549593095	-165702249.18708163	1
60738.80559623596	-165702249.16108447	1
60738.80569625552	-165702249.1320331	1
60738.80579652148	-165702249.1561588	1
60738.80589660896	-165702249.14672267	1
60738.80599679241	-165702249.1336912	1
60738.80609700038	-165702249.1234036	1
60738.80619716819	-165702249.14437366	1
60738.80629722612	-165702249.12949824	1
60738.80639739337	-165702249.16814566	1
60738.806497637386	-165702249.16518217	1
60738.80659780384	-165702249.15001583	1
60738.80669786517	-165702249.10672498	1
60738.806798150006	-165702249.15784466	1
60738.806898272895	-165702249.14877558	1
60738.80699841613	-165702249.10729903	1
60738.80709860476	-165702249.17708206	1
60738.80719877669	-165702249.15693307	1
60738.80729892061	-165702249.1864767	1
60738.80739913234	-165702249.17824507	1
60738.80749934816	-165702249.16688973	1
60738.80759944268	-165702249.13568926	1
60738.807699568904	-165702249.0955699	1
60738.80779979426	-165702249.13362503	1
60738.807899918786	-165702249.11715126	1
60738.80800005413	-165702249.1075281	1
60738.80810021114	-165702249.12341416	1
60738.80820044746	-165702249.11122566	1
60738.80830056533	-165702249.14612246	1
60738.80840071576	-165702249.143902	1
60738.80850093995	-165702249.11281914	1
60738.80860102681	-165702249.13242054	1
60738.8087012359	-165702249.1104945	1
60738.808801370484	-165702249.0551378	1
60738.80890150374	-165702249.0883814	1
60738.8090017483	-165702249.0971912	1
60738.80910190955	-165702249.13528913	1
60738.8092020232	-165702249.1418485	1
60738.80930224348	-165702249.110609	1
60738.80940243913	-165702249.14245665	1
60738.809502556	-165702249.10708356	1
60738.80960273403	-165702249.12910736	1
60738.80970290608	-165702249.1458838	1
60738.80980303789	-165702249.09542674	1
60738.809903153706	-165702249.14406466	1
60738.8100033455	-165702249.1298403	1
60738.81010350029	-165702249.10117555	1
60738.81020369473	-165702249.1344927	1
60738.81030394712	-165702249.11359537	1
60738.81040408889	-165702249.13040864	1
60738.81050416185	-165702249.1205995	1
60738.810604417995	-165702249.10605735	1
60738.81070455449	-165702249.15948313	1
60738.81080469666	-165702249.14728165	1
60738.81090490762	-165702249.12174487	1
60738.811005018724	-165702249.08704513	1
60738.811105179426	-165702249.15654624	1
60738.81120538819	-165702249.13938153	1
60738.81130545976	-165702249.14873374	1
60738.811405662025	-165702249.18196756	1
60738.81150588079	-165702249.1837961	1
60738.81160593239	-165702249.1186185	1
60738.811706119326	-165702249.12392658	1
60738.81180626452	-165702249.08180588	1
60738.81190650121	-165702249.1338609	1
60738.812006689805	-165702249.11663228	1
60738.812106797064	-165702249.07598203	1
60738.812207037365	-165702249.10341954	1
60738.81230719409	-165702249.16333145	1
60738.812407340956	-165702249.15213984	1
