# Frequency shift file for JILA Sr1 
# for 20250306_clock_lock#2.
# Processed Thu Mar  6 18:28:28 2025 (MT) 
# by Alexander Aeppli(alexander.aeppli@colorado.edu), William Warfield(william.warfield@colorado.edu) 
# ******Applied Corrections******
# point by point corrections: 
#  - servo 
#  - second order zeeman 
#  - density shift 
# DC corrections: 
#  - lattice light 
#  - DC Stark 
#  - BBR 
#  - background gas 
#  - redshift to S1B60V1 
# Total sytematic error (frac.) = ~1e-17
# No MASER corrections have been applied
# To calculate the strontium frequency: 
# f_sr = (N/M)*f_light + f_shift[Hz] 
# where N = 1716882, M = 777577, 
# and f_light is the frequency of the light leaving JILA. 
#### Additional Notes #### 
# 20 Er (deep)
t_mjd	f_shift [Hz]	IS_GOOD
60740.85467977751	-165702243.71848702	1
60740.85477984358	-165702243.72043836	1
60740.85487995476	-165702243.73583955	1
60740.85498019191	-165702243.703287	1
60740.85508039255	-165702243.71714163	1
60740.85518057617	-165702243.73434114	1
60740.85528061529	-165702243.7468819	1
60740.8553808201	-165702243.7395935	1
60740.855480986	-165702243.78435695	1
60740.855581186464	-165702243.73191035	1
60740.85568139696	-165702243.77957988	1
60740.85578146182	-165702243.7807665	1
60740.85588162532	-165702243.72974807	1
60740.855981901914	-165702243.74977356	1
60740.85608199522	-165702243.77071083	1
60740.85618221148	-165702243.7617386	1
60740.85628237012	-165702243.7889446	1
60740.85638245791	-165702243.80419922	1
60740.85648260994	-165702243.80160946	1
60740.856582776374	-165702243.81920153	1
60740.85668298019	-165702243.8055393	1
60740.856783145784	-165702243.8315013	1
60740.85688328221	-165702243.75245094	1
60740.856983449536	-165702243.77805805	1
60740.85708367602	-165702243.7427687	1
60740.85718378483	-165702243.84852552	1
60740.85728392692	-165702243.80895144	1
60740.85738414202	-165702243.785807	1
60740.85748431085	-165702243.77840096	1
60740.85758448292	-165702243.78619492	1
60740.857684601884	-165702243.73363054	1
60740.857784791435	-165702243.76174968	1
60740.85788496507	-165702243.80182767	1
60740.857985018905	-165702243.7723313	1
60740.85808527852	-165702243.78412873	1
60740.858185445846	-165702243.77359688	1
60740.85828560956	-165702243.77645856	1
60740.85838580849	-165702243.7514584	1
60740.85848593059	-165702243.75409788	1
60740.85858612934	-165702243.73454177	1
60740.85868629088	-165702243.7630903	1
60740.85878643957	-165702243.77600121	1
60740.8588865661	-165702243.8005342	1
60740.85898674011	-165702243.79874927	1
60740.859086965946	-165702243.7454077	1
60740.85918707218	-165702243.7490319	1
60740.85928727024	-165702243.804053	1
60740.85938747155	-165702243.76118636	1
60740.85948761478	-165702243.83311492	1
60740.85958781924	-165702243.7624281	1
60740.859687899065	-165702243.79488337	1
60740.859788162794	-165702243.78393662	1
60740.859888272724	-165702243.75934464	1
60740.85998843674	-165702243.74829924	1
60740.860088528294	-165702243.77173758	1
60740.86018880947	-165702243.78086323	1
60740.86028892586	-165702243.72493482	1
60740.860389109344	-165702243.69472438	1
60740.86048923093	-165702243.72825724	1
60740.8605894116	-165702243.71299565	1
60740.86068953262	-165702243.7317201	1
60740.86078971827	-165702243.7361331	1
60740.860889907184	-165702243.71099722	1
60740.86099001898	-165702243.70648402	1
60740.861090261016	-165702243.72330505	1
60740.86119037974	-165702243.72052252	1
60740.86129058813	-165702243.7192241	1
60740.86139073886	-165702243.70174086	1
60740.8614908621	-165702243.70335615	1
60740.861591117835	-165702243.72239912	1
60740.86169117824	-165702243.69013643	1
60740.86179136823	-165702243.73237395	1
60740.86189153715	-165702243.74393308	1
60740.861991665355	-165702243.71765238	1
60740.86209186465	-165702243.74516565	1
60740.86219204985	-165702243.67281008	1
60740.86229222692	-165702243.63183725	1
60740.86239231874	-165702243.64245486	1
60740.862492574495	-165702243.67825705	1
60740.86259258967	-165702243.7318352	1
60740.86269288693	-165702243.69793475	1
60740.86279307631	-165702243.70977908	1
60740.86289319862	-165702243.69422042	1
60740.862993292976	-165702243.6860537	1
60740.86309347074	-165702243.72375673	1
60740.86319371171	-165702243.7005934	1
60740.86329384956	-165702243.6868993	1
60740.86339394101	-165702243.71154124	1
60740.863494124635	-165702243.71023554	1
60740.86359437244	-165702243.6722135	1
60740.86369441181	-165702243.7177276	1
60740.86379464952	-165702243.67533648	1
60740.863894773414	-165702243.71938276	1
60740.86399500119	-165702243.75663227	1
60740.86409516906	-165702243.69433945	1
60740.8641953429	-165702243.6877278	1
60740.8642955112	-165702243.6476845	1
