#Frequency shifts file for ErYb measurement of Al+ frequency
#  Data recorded on 03-07-2025, analyzed on 03-10-2025.
#  All shifts are in Hz as referenced to the Al+ resonance near 267.4 nm.
#  To calculate the clock frequency use: f_atom = (M/N)*f_comb + f_shift.
#    - Here, M = 4, N = 1, f_comb is the frequency measured at the comb and f_shift is given in the data columns.
#    - Frequencies are not corrected for maser offsets.
#    - Data taken using maser ST008 to reference all synthesizers.
#  Static shifts are compiled in static_shifts_MgAl.m for reference.
#    - Excess micromotion time dilation: -3.033e-19+/-2.9438e-19
#    - Secular motion time dilation: -1.1588e-17+/-5.0847e-19
#    - AC Zeeman: -5.3523e-20+/-5.9767e-21
#    - Blackbody radiation: -3.0686e-18+/-1.6949e-19
#    - Clock light Stark: 0+/-8.0284e-20
#    - Background gas: -3.0686e-20+/-1.6949e-19
#    - AOM phase chirp: 0+/-8.9205e-20
#    - Gravitational redshift: 1.5022e-16+/-3.3006e-19
#    - Fiber noise glitches: 0+/-0
#    - 1st-order Doppler: 0+/-1.7841e-19
#  First 300 seconds and last 60 seconds of lock times removed.  Gravitational redshift of the atoms with respect to geodetic marker 1H116 included.
#  Total lock duration: 17536.8695 s
#  Servo parameters:
#    Contrast: Probe -1: 0.77 Probe +1:0.77
#    Servo Error: 0.000883+/-0.0061 Hz
#    Difference between probe beams: -0.00877+/-0.008 Hz
#  Feedback and drift rate compensation applied to fiber-noise aom for ErYb   Nominal AOM frequency: 37 MHz
#  2nd-order Zeeman shifts calculated based on real-time B-field calibration.
#    Delta_ZS2 = -0.70626+/-0.00024 Hz
#  Cooling laser Stark shift based on interleaved saturation parameter calibration.    Delta_Stark_280 = -0.00459+/-0.00028 Hz
#  Total shift (static components + 2nd-order Zeeman shift)    df = -0.55931+/-0.00091 Hz
t_mjd	f_shift [Hz]	IS_GOOD
60741.2916667	204500000.004587	0
60741.2916782	204500000.004587	0
60741.2916898	204500000.004587	0
60741.2917014	204500000.004587	0
60741.2917130	204500000.004587	0
60741.2917245	204500000.004587	0
60741.2917361	204500000.004587	0
60741.2917477	204500000.004587	0
60741.2917593	204500000.004587	0
60741.2917708	204500000.004587	0
60741.2917824	204500000.004587	0
60741.2917940	204500000.004587	0
60741.2918056	204500000.004587	0
60741.2918171	204500000.004587	0
60741.2918287	204500000.004587	0
60741.2918403	204500000.004587	0
60741.2918519	204500000.004587	0
60741.2918634	204500000.004587	0
60741.2918750	204500000.004587	0
60741.2918866	204500000.004587	0
60741.2918981	204500000.004587	0
60741.2919097	204500000.004587	0
60741.2919213	204500000.004587	0
60741.2919329	204500000.004587	0
60741.2919444	204500000.004587	0
60741.2919560	204500000.004587	0
60741.2919676	204500000.004587	0
60741.2919792	204500000.004587	0
60741.2919907	204500000.004587	0
60741.2920023	204500000.004587	0
60741.2920139	204500000.004587	0
60741.2920255	204500000.004587	0
60741.2920370	204500000.004587	0
60741.2920486	204500000.004587	0
60741.2920602	204500000.004587	0
60741.2920718	204500000.004587	0
60741.2920833	204500000.004587	0
60741.2920949	204500000.004587	0
60741.2921065	204500000.004587	0
60741.2921181	204500000.004587	0
60741.2921296	204500000.004587	0
60741.2921412	204500000.004587	0
60741.2921528	204500000.004587	0
60741.2921644	204500000.004587	0
60741.2921759	204500000.004587	0
60741.2921875	204500000.004587	0
60741.2921991	204500000.004587	0
60741.2922106	204500000.004587	0
60741.2922222	204500000.004587	0
60741.2922338	204500000.004587	0
60741.2922454	204500000.004587	0
60741.2922569	204500000.004587	0
60741.2922685	204500000.004587	0
60741.2922801	204500000.004587	0
60741.2922917	204500000.004587	0
60741.2923032	204500000.004587	0
60741.2923148	204500000.004587	0
60741.2923264	204500000.004587	0
60741.2923380	204500000.004587	0
60741.2923495	204500000.004587	0
60741.2923611	204500000.004587	0
60741.2923727	204500000.004587	0
60741.2923843	204500000.004587	0
60741.2923958	204500000.004587	0
60741.2924074	204500000.004587	0
60741.2924190	204500000.004587	0
60741.2924306	204500000.004587	0
60741.2924421	204500000.004587	0
60741.2924537	204500000.004587	0
60741.2924653	204500000.004587	0
60741.2924769	204500000.004587	0
60741.2924884	204500000.004587	0
60741.2925000	204500000.004587	0
60741.2925116	204500000.004587	0
60741.2925231	204500000.004587	0
60741.2925347	204500000.004587	0
60741.2925463	204500000.004587	0
60741.2925579	204500000.004587	0
60741.2925694	204500000.004587	0
60741.2925810	204500000.004587	0
60741.2925926	204500000.004587	0
60741.2926042	204500000.004587	0
60741.2926157	204500000.004587	0
60741.2926273	204500000.004587	0
60741.2926389	204500000.004587	0
60741.2926505	204500000.004587	0
60741.2926620	204500000.004587	0
60741.2926736	204500000.004587	0
60741.2926852	204500000.004587	0
60741.2926968	204500000.004587	0
60741.2927083	204500000.004587	0
60741.2927199	204500000.004587	0
60741.2927315	204500000.004587	0
60741.2927431	204500000.004587	0
60741.2927546	204500000.004587	0
60741.2927662	204500000.004587	0
60741.2927778	204500000.004587	0
60741.2927894	204500000.004587	0
60741.2928009	204500000.004587	0
60741.2928125	204500000.004587	0
60741.2928241	204500000.004587	0
60741.2928356	204500000.004587	0
60741.2928472	204500000.004587	0
60741.2928588	204500000.004587	0
60741.2928704	204500000.004587	0
60741.2928819	204500000.004587	0
60741.2928935	204500000.004587	0
60741.2929051	204500000.004587	0
60741.2929167	204500000.004587	0
60741.2929282	204500000.004587	0
60741.2929398	204500000.004587	0
60741.2929514	204500000.004587	0
60741.2929630	204500000.004587	0
