# Frequency shift file for JILA Sr1 
# for 20250307_clock_lock#0.
# Processed Fri Mar  7 17:58:20 2025 (MT) 
# by Alexander Aeppli(alexander.aeppli@colorado.edu), William Warfield(william.warfield@colorado.edu) 
# ******Applied Corrections******
# point by point corrections: 
#  - servo 
#  - second order zeeman 
#  - density shift 
# DC corrections: 
#  - lattice light 
#  - DC Stark 
#  - BBR 
#  - background gas 
#  - redshift to S1B60V1 
# Total sytematic error (frac.) = ~1e-17
# No MASER corrections have been applied
# To calculate the strontium frequency: 
# f_sr = (N/M)*f_light + f_shift[Hz] 
# where N = 1716882, M = 777577, 
# and f_light is the frequency of the light leaving JILA. 
#### Additional Notes #### 
# standard conditon
t_mjd	f_shift [Hz]	IS_GOOD
60741.81323430139	-165702241.92330104	1
60741.81333444959	-165702241.91535658	1
60741.8134346074	-165702241.8701939	1
60741.81353475886	-165702241.9147355	1
60741.81363493396	-165702241.9281708	1
60741.813735018775	-165702241.908409	1
60741.813835401816	-165702241.91170943	1
60741.81393547023	-165702241.9135301	1
60741.8140355703	-165702241.9448976	1
60741.814135684355	-165702241.93330628	1
60741.814235996586	-165702241.94328368	1
60741.81433611544	-165702241.9279083	1
60741.814436200206	-165702241.93918312	1
60741.81453643894	-165702241.94381803	1
60741.8146365617	-165702241.92426282	1
60741.81473674879	-165702241.89205235	1
60741.81483693174	-165702241.8779232	1
60741.81493709887	-165702241.8943621	1
60741.81503724806	-165702241.8997836	1
60741.81513746361	-165702241.90568078	1
60741.81523761674	-165702241.92569458	1
60741.8153377661	-165702241.9292665	1
60741.81543786407	-165702241.90290326	1
60741.81553813394	-165702241.90725076	1
60741.815638168424	-165702241.92929518	1
60741.815738341764	-165702241.91229737	1
60741.815838552284	-165702241.9288351	1
60741.815938721826	-165702241.88081908	1
60741.8160388639	-165702241.8836981	1
60741.81613905374	-165702241.904449	1
60741.816239194144	-165702241.9006372	1
60741.81633937175	-165702241.93850195	1
60741.816439541806	-165702241.91368312	1
60741.81653970665	-165702241.89878434	1
60741.81663989331	-165702241.93181407	1
60741.81673997953	-165702241.94539732	1
60741.81684020003	-165702241.9167875	1
60741.81694037107	-165702241.91576052	1
60741.817040509115	-165702241.91408432	1
60741.8171407592	-165702241.85728818	1
60741.81724085085	-165702241.88821936	1
60741.817341022084	-165702241.88801658	1
60741.817441158564	-165702241.90406072	1
60741.817541390206	-165702241.91507632	1
60741.8176414825	-165702241.8906359	1
60741.81774165445	-165702241.84116167	1
60741.8178418711	-165702241.87692887	1
60741.817941997746	-165702241.89556897	1
60741.81804214582	-165702241.93851542	1
60741.81814233015	-165702241.92417544	1
60741.81824246309	-165702241.9237885	1
60741.818342702005	-165702241.95893133	1
60741.818442849995	-165702241.95872986	1
60741.81854301163	-165702241.93222272	1
60741.818643199855	-165702241.94171107	1
60741.81874340722	-165702241.95430136	1
60741.81884344311	-165702241.98214477	1
60741.81894367107	-165702241.9431697	1
60741.81904377953	-165702241.92716974	1
60741.819143940666	-165702241.9277023	1
60741.819244152604	-165702241.95026135	1
60741.81934425146	-165702241.9192754	1
60741.81944448644	-165702241.9000916	1
60741.81954456309	-165702241.89280957	1
60741.819644845506	-165702241.91987276	1
60741.819744942855	-165702241.92248505	1
60741.819845063095	-165702241.89980525	1
60741.81994533355	-165702241.88864118	1
60741.82004550317	-165702241.87452126	1
60741.82014565604	-165702241.86606318	1
60741.82024576383	-165702241.845052	1
60741.82034597377	-165702241.8504305	1
60741.82044614873	-165702241.85666835	1
60741.820546312316	-165702241.89784467	1
60741.8206464107	-165702241.90599722	1
60741.82074657125	-165702241.90151823	1
60741.82084675153	-165702241.86507225	1
60741.82094696762	-165702241.86530697	1
60741.82104705979	-165702241.92899233	1
60741.82114727927	-165702241.92084122	1
60741.8212474368	-165702241.95058882	1
60741.82134764988	-165702241.89039505	1
60741.821447782786	-165702241.90441048	1
60741.82154789175	-165702241.88374847	1
60741.82164811897	-165702241.8583411	1
60741.82174830511	-165702241.8589595	1
60741.82184840241	-165702241.86625612	1
60741.82194860444	-165702241.8815453	1
60741.822048673785	-165702241.8919949	1
60741.826455977585	-165702241.8763672	1
60741.826556140455	-165702241.8726983	1
60741.82665633244	-165702241.89875787	1
60741.82675645685	-165702241.88788563	1
60741.82685663872	-165702241.91342592	1
60741.826956813195	-165702241.95372665	1
60741.82705689286	-165702241.93795836	1
60741.82715714788	-165702241.92936713	1
60741.82725735305	-165702241.94752562	1
60741.82735750305	-165702241.95831084	1
60741.82745761996	-165702241.93727922	1
60741.82755771182	-165702241.93620503	1
60741.8276579222	-165702241.9331662	1
60741.82775815433	-165702241.91357452	1
60741.82785832766	-165702241.89849794	1
60741.827958488495	-165702241.9380347	1
60741.82805859831	-165702241.94750202	1
60741.82815871992	-165702241.9362167	1
60741.82825888272	-165702241.9156807	1
60741.828359112464	-165702241.95334995	1
60741.828459215685	-165702241.92893672	1
60741.82855941956	-165702241.95101696	1
60741.82865962854	-165702241.91141707	1
60741.82875979806	-165702241.92476612	1
60741.82885992054	-165702241.90390056	1
60741.828960073115	-165702241.9304844	1
60741.82906028531	-165702241.91951704	1
60741.82916046442	-165702241.94449615	1
60741.82926054762	-165702241.91327202	1
60741.829360677824	-165702241.91031653	1
60741.829460929315	-165702241.88609105	1
60741.82956102302	-165702241.89944428	1
60741.8296612754	-165702241.87140113	1
60741.82976142948	-165702241.85191703	1
60741.829861557235	-165702241.86896437	1
60741.82996177118	-165702241.8798272	1
60741.83006184992	-165702241.91167217	1
60741.83016205855	-165702241.89059526	1
60741.830262214826	-165702241.85878807	1
60741.83036229879	-165702241.8787952	1
60741.830462497004	-165702241.91342103	1
60741.830562743206	-165702241.87494487	1
60741.83066290445	-165702241.92296153	1
60741.830763005724	-165702241.9166398	1
60741.83086322029	-165702241.93226433	1
60741.83096336926	-165702241.9072194	1
60741.831063546844	-165702241.89639872	1
60741.83116369099	-165702241.9257111	1
60741.831263894375	-165702241.8926382	1
60741.83136396991	-165702241.85609186	1
60741.83146423647	-165702241.87908757	1
60741.83156434133	-165702241.87473089	1
60741.83166444732	-165702241.92021763	1
60741.83176466755	-165702241.91900402	1
60741.83186487779	-165702241.91460943	1
60741.83196502956	-165702241.89145875	1
60741.832065225324	-165702241.92023158	1
60741.83216531632	-165702241.87068707	1
60741.83226553191	-165702241.8935485	1
60741.83236566885	-165702241.8801883	1
60741.83246585825	-165702241.90119964	1
60741.832566104735	-165702241.89049178	1
60741.83266617406	-165702241.90768915	1
60741.832766327585	-165702241.89599848	1
60741.83286652676	-165702241.92961568	1
60741.83296660267	-165702241.95628583	1
60741.83306681391	-165702241.93038595	1
60741.8331669928	-165702241.9480043	1
60741.83326716721	-165702241.92324352	1
60741.83336728517	-165702241.8867969	1
60741.83346752995	-165702241.931588	1
60741.833567659334	-165702241.9305842	1
60741.83366778715	-165702241.93973213	1
60741.83376790276	-165702241.96090794	1
60741.833868154645	-165702241.9470309	1
60741.83396834553	-165702241.95284444	1
60741.83406849124	-165702241.91395873	1
60741.834168628804	-165702241.93610734	1
60741.8342687168	-165702241.90575325	1
60741.834368986725	-165702241.87899446	1
60741.8344690984	-165702241.89557284	1
60741.83456925439	-165702241.90819156	1
60741.8346694948	-165702241.89014453	1
60741.83476960539	-165702241.94322318	1
60741.83486984601	-165702241.9493907	1
60741.834970013166	-165702241.95687395	1
60741.835070087014	-165702241.97378975	1
60741.83517026338	-165702241.9724993	1
60741.83527048682	-165702242.01719338	1
60741.83537059806	-165702242.00113744	1
60741.83547081073	-165702241.9487111	1
60741.8355709357	-165702241.95519483	1
60741.83567110087	-165702241.96502757	1
60741.83577126354	-165702241.91575825	1
60741.83587146886	-165702241.9167536	1
60741.8359715331	-165702241.94934422	1
60741.83607175445	-165702241.9482271	1
60741.83617187204	-165702241.92968065	1
60741.83627207966	-165702241.8941692	1
60741.83867600371	-165702241.8940696	1
60741.83877625909	-165702241.86448395	1
