# Readme Information 
# Data taken on 250307, analyzed on 17-Mar-2025 by script Saveshifts_forTara_v3_250308.m.
# Gravitational Redshift Corrected to Marker on floor of 1G104 labeled 811G104 
# Frequencies units of Hz. Maser ST008 references all synthesizers.
# v_yb_ideal=2*v_comb+f_shift 
# f_shift includes: Blackbody radation based on real time temperature measurement (avg shift = -1.2259), 2nd order zeeman based on real time B field measurement by atoms (avg shift = NaN), background gas collisions (avg shift = -0.0016), lattice AC stark shift (avg shift = -0.0007), probe AC stark shift (avg shift = 0.0000), graviational red shift (avg shift = 0.0803), and AOMs between atoms and combs (shift of 63000000)
# Run Duration 1.563057e+04 s, uptime fraction 7.236567e-01. 
t_mjd	   f_shift [Hz]  	IS_GOOD
   6.0741847967909998e+04	                      NaN	   0.0000000000000000e+00	
   6.0741847978430000e+04	                      NaN	   0.0000000000000000e+00	
   6.0741847991160001e+04	   6.3000001208988309e+07	   0.0000000000000000e+00	
   6.0741848004649997e+04	   6.3000001225316785e+07	   0.0000000000000000e+00	
   6.0741848018119999e+04	   6.3000001291897237e+07	   0.0000000000000000e+00	
   6.0741848031599999e+04	   6.3000001359395109e+07	   0.0000000000000000e+00	
   6.0741848045070001e+04	   6.3000001428836055e+07	   0.0000000000000000e+00	
   6.0741848058550000e+04	   6.3000001503318690e+07	   0.0000000000000000e+00	
   6.0741848072009998e+04	   6.3000001566549376e+07	   0.0000000000000000e+00	
   6.0741848085480000e+04	   6.3000001583971605e+07	   0.0000000000000000e+00	
   6.0741848098950002e+04	   6.3000001601923071e+07	   0.0000000000000000e+00	
   6.0741848112430001e+04	   6.3000001621741615e+07	   0.0000000000000000e+00	
   6.0741848125899996e+04	   6.3000001634559013e+07	   0.0000000000000000e+00	
   6.0741848139369999e+04	   6.3000001638426028e+07	   0.0000000000000000e+00	
   6.0741848152840001e+04	   6.3000001643150188e+07	   0.0000000000000000e+00	
   6.0741848166310003e+04	   6.3000001645825773e+07	   0.0000000000000000e+00	
   6.0741848179790002e+04	   6.3000001648048475e+07	   0.0000000000000000e+00	
   6.0741848193259997e+04	   6.3000001653109357e+07	   0.0000000000000000e+00	
   6.0741848206729999e+04	   6.3000001660256878e+07	   0.0000000000000000e+00	
   6.0741848241950000e+04	   6.3000001662874736e+07	   0.0000000000000000e+00	
   6.0741848253919998e+04	   6.3000001668129891e+07	   0.0000000000000000e+00	
   6.0741848265890003e+04	   6.3000001663902588e+07	   0.0000000000000000e+00	
   6.0741848277849997e+04	   6.3000001653739564e+07	   0.0000000000000000e+00	
   6.0741848289820002e+04	   6.3000001623903155e+07	   0.0000000000000000e+00	
   6.0741848301790000e+04	   6.3000001608972795e+07	   0.0000000000000000e+00	
   6.0741848313759998e+04	   6.3000001605642900e+07	   0.0000000000000000e+00	
   6.0741848325710002e+04	   6.3000001603712946e+07	   0.0000000000000000e+00	
   6.0741848337689997e+04	   6.3000001609196141e+07	   0.0000000000000000e+00	
   6.0741848349660002e+04	   6.3000001613656536e+07	   0.0000000000000000e+00	
   6.0741848388259998e+04	   6.3000001639313020e+07	   0.0000000000000000e+00	
