#Frequency shifts file for TiSapph measurement of Al+ frequency
#  Data recorded on 03-13-2025, analyzed on 03-14-2025.
#
#  All shifts are in Hz as referenced to the Al+ resonance near 267.4 nm.
#
#  To calculate the clock frequency use: f_atom = (M/N)*f_comb + f_shift.
#    - Here, M = 4, N = 1, f_comb is the frequency measured at the comb and f_shift is given in the data columns.
#    - Frequencies are not corrected for maser offsets.
#    - Data taken using maser ST008 to reference all synthesizers.
#
#  Static shifts are compiled in static_shifts_MgAl.m for reference.
#
#    - Excess micromotion time dilation: -1.347e-19+/-1.0705e-19
#    - Secular motion time dilation: -2.0481e-17+/-1.5165e-18
#    - AC Zeeman: -5.3523e-20+/-5.9767e-21
#    - Blackbody radiation: -3.0686e-18+/-1.6949e-19
#    - Clock light Stark: 0+/-8.0284e-20
#    - Background gas: -3.0686e-20+/-1.6949e-19
#    - AOM phase chirp: 0+/-8.9205e-20
#    - Gravitational redshift: 1.5022e-16+/-3.3006e-19
#    - Fiber noise glitches: 0+/-0
#    - 1st-order Doppler: 0+/-1.7841e-19
#  First 300 seconds and last 60 seconds of lock times removed.
#
#  Gravitational redshift of the atoms with respect to geodetic marker 1H116 included.
#
#  Total lock duration: 18232.457 s
#
#  Servo parameters:
#    Contrast: Probe -1: 0.81 Probe +1:0.72
#    Servo Error: 5.24e-05+/-0.0061 Hz
#    Difference between probe beams: 0.00079+/-0.0081 Hz
#
#  2nd-order Zeeman shifts calculated based on real-time B-field calibration.
#    Delta_ZS2 = -0.6849+/-0.00023 Hz
#
#  Cooling laser Stark shift based on interleaved saturation parameter calibration.
#    Delta_Stark_280 = -0.00417+/-0.00023 Hz
#
#  Total shift (static components + 2nd-order Zeeman shift)
#    df = -0.54732+/-0.0018 Hz
#
t_mjd	f_shift [Hz]	IS_GOOD
60747.2500000	252500000.004166	0
60747.2500116	252500000.004166	0
60747.2500231	252500000.004166	0
60747.2500347	252500000.004166	0
60747.2500463	252500000.004166	0
60747.2500579	252500000.004166	0
60747.2500694	252500000.004166	0
60747.2500810	252500000.004166	0
60747.2500926	252500000.004166	0
60747.2501042	252500000.004166	0
60747.2501157	252500000.004166	0
60747.2501273	252500000.004166	0
60747.2501389	252500000.004166	0
60747.2501505	252500000.004166	0
60747.2501620	252500000.004166	0
60747.2501736	252500000.004166	0
60747.2501852	252500000.004166	0
60747.2501968	252500000.004166	0
60747.2502083	252500000.004166	0
60747.2502199	252500000.004166	0
60747.2502315	252500000.004166	0
60747.2502431	252500000.004166	0
60747.2502546	252500000.004166	0
60747.2502662	252500000.004166	0
60747.2502778	252500000.004166	0
60747.2502894	252500000.004166	0
60747.2503009	252500000.004166	0
60747.2503125	252500000.004166	0
60747.2503241	252500000.004166	0
60747.2503356	252500000.004166	0
60747.2503472	252500000.004166	0
60747.2503588	252500000.004166	0
60747.2503704	252500000.004166	0
60747.2503819	252500000.004166	0
60747.2503935	252500000.004166	0
60747.2504051	252500000.004166	0
60747.2504167	252500000.004166	0
60747.2504282	252500000.004166	0
60747.2504398	252500000.004166	0
60747.2504514	252500000.004166	0
60747.2504630	252500000.004166	0
60747.2504745	252500000.004166	0
60747.2504861	252500000.004166	0
60747.2504977	252500000.004166	0
60747.2505093	252500000.004166	0
60747.2505208	252500000.004166	0
60747.2505324	252500000.004166	0
60747.2505440	252500000.004166	0
60747.2505556	252500000.004166	0
60747.2505671	252500000.004166	0
60747.2505787	252500000.004166	0
60747.2505903	252500000.004166	0
60747.2506019	252500000.004166	0
60747.2506134	252500000.004166	0
60747.2506250	252500000.004166	0
60747.2506366	252500000.004166	0
60747.2506481	252500000.004166	0
60747.2506597	252500000.004166	0
60747.2506713	252500000.004166	0
60747.2506829	252500000.004166	0
60747.2506944	252500000.004166	0
60747.2507060	252500000.004166	0
60747.2507176	252500000.004166	0
60747.2507292	252500000.004166	0
60747.2507407	252500000.004166	0
60747.2507523	252500000.004166	0
60747.2507639	252500000.004166	0
60747.2507755	252500000.004166	0
60747.2507870	252500000.004166	0
60747.2507986	252500000.004166	0
60747.2508102	252500000.004166	0
60747.2508218	252500000.004166	0
60747.2508333	252500000.004166	0
60747.2508449	252500000.004166	0
60747.2508565	252500000.004166	0
60747.2508681	252500000.004166	0
60747.2508796	252500000.004166	0
60747.2508912	252500000.004166	0
60747.2509028	252500000.004166	0
60747.2509144	252500000.004166	0
60747.2509259	252500000.004166	0
60747.2509375	252500000.004166	0
60747.2509491	252500000.004166	0
60747.2509606	252500000.004166	0
60747.2509722	252500000.004166	0
60747.2509838	252500000.004166	0
60747.2509954	252500000.004166	0
60747.2510069	252500000.004166	0
60747.2510185	252500000.004166	0
60747.2510301	252500000.004166	0
60747.2510417	252500000.004166	0
60747.2510532	252500000.004166	0
60747.2510648	252500000.004166	0
60747.2510764	252500000.004166	0
60747.2510880	252500000.004166	0
60747.2510995	252500000.004166	0
60747.2511111	252500000.004166	0
60747.2511227	252500000.004166	0
60747.2511343	252500000.004166	0
60747.2511458	252500000.004166	0
60747.2511574	252500000.004166	0
60747.2511690	252500000.004166	0
60747.2511806	252500000.004166	0
60747.2511921	252500000.004166	0
60747.2512037	252500000.004166	0
60747.2512153	252500000.004166	0
60747.2512269	252500000.004166	0
60747.2512384	252500000.004166	0
60747.2512500	252500000.004166	0
60747.2512616	252500000.004166	0
60747.2512731	252500000.004166	0
60747.2512847	252500000.004166	0
60747.2512963	252500000.004166	0
60747.2513079	252500000.004166	0
60747.2513194	252500000.004166	0
60747.2513310	252500000.004166	0
60747.2513426	252500000.004166	0
60747.2513542	252500000.004166	0
60747.2513657	252500000.004166	0
60747.2513773	252500000.004166	0
60747.2513889	252500000.004166	0
