03/13/2025	10:18:34	(analyzed:  3/14/2025, filtered by KK: 3/18/2025)
MJD	timer	SDR:frep_ErYb	fo_ErYb	fb_Si_ErYb	fb_Yb_ErYb	fb_Al_ErYb
60747.727788	4165880.000000	113927.227996	104999999.999400	100000000.000600	28854968.999480	22737007.999860
60747.727800	4166937.000000	113927.228339	105000000.001100	99999999.999800	28854969.000030	22737008.000020
60747.727812	4167994.000000	113927.228371	104999999.998900	100000000.000900	28854968.999740	22737008.000040
60747.727825	4169052.000000	113927.228169	104999999.999800	99999999.998000	28854968.999890	22737008.000030
60747.727837	4170109.000000	113927.228358	105000000.000300	99999999.999800	28854968.999930	22737008.000150
60747.727849	4171165.000000	113927.228269	105000000.001500	100000000.000500	28854968.999770	22737007.999910
60747.727861	4172221.000000	113927.227943	105000000.001100	100000000.000100	28854969.000050	22737008.000010
60747.727873	4173276.000000	113927.228320	105000000.000400	100000000.000700	28854968.999940	22737007.999910
60747.727886	4174334.000000	113927.228167	105000000.000700	99999999.998400	28854969.000000	22737008.000130
60747.727898	4175389.000000	113927.228101	105000000.000900	100000000.000000	28854968.999940	22737008.000100
60747.727910	4176447.000000	113927.228311	105000000.000700	100000000.000900	28854968.999820	22737007.999920
60747.727922	4177504.000000	113927.228268	104999999.999300	99999999.999800	28854968.999930	22737007.999990
60747.727935	4178561.000000	113927.228039	105000000.001900	100000000.001100	28854968.999970	22737008.000110
60747.727947	4179617.000000	113927.228086	104999999.999700	99999999.998100	28854969.000170	22737008.000010
60747.727959	4180674.000000	113927.228239	105000000.000300	100000000.000000	28854968.999800	22737007.999880
60747.727971	4181730.000000	113927.228256	104999999.999400	100000000.000600	28854969.000110	22737007.999900
60747.727984	4182786.000000	113927.228287	105000000.000000	100000000.000200	28854968.999950	22737008.000080
60747.727996	4183844.000000	113927.228148	105000000.001800	100000000.000900	28854969.000040	22737008.000070
60747.728008	4184901.000000	113927.228202	105000000.001600	99999999.998300	28854968.999740	22737008.000040
60747.728020	4185957.000000	113927.228066	105000000.000800	100000000.000100	28854968.999900	22737008.000000
60747.728032	4187015.000000	113927.228383	104999999.999300	100000000.000600	28854969.000040	22737007.999830
60747.728045	4188071.000000	113927.228036	105000000.001100	99999999.999500	28854969.000090	22737008.000100
60747.728057	4189127.000000	113927.228670	105000000.000500	100000000.000500	28854969.000200	22737007.999900
60747.728069	4190183.000000	113927.227825	105000000.000800	99999999.998700	28854968.999840	22737008.000030
60747.728081	4191239.000000	113927.228096	104999999.999900	100000000.000200	28854969.000190	22737008.000060
60747.728094	4192297.000000	113927.228246	105000000.000300	100000000.000200	28854969.000110	22737008.000030
60747.728106	4193354.000000	113927.228270	104999999.999700	99999999.999500	28854969.000050	22737008.000040
60747.728118	4194411.000000	113927.228088	105000000.000100	100000000.000800	28854968.999930	22737008.000010
60747.728130	4195468.000000	113927.228446	105000000.001100	99999999.998800	28854969.000020	22737007.999960
60747.728143	4196524.000000	113927.228221	104999999.999500	100000000.000500	28854969.000020	22737008.000110
60747.728155	4197578.000000	113927.227803	104999999.999800	99999999.999400	28854968.999920	22737008.000130
60747.728167	4198635.000000	113927.228647	104999999.999600	100000000.000100	28854969.000000	22737007.999960
60747.728179	4199691.000000	113927.228072	105000000.001600	100000000.000800	28854968.999810	22737008.000030
60747.728191	4200748.000000	113927.228129	105000000.001500	99999999.998600	28854969.000180	22737007.999990
60747.728204	4201806.000000	113927.228205	105000000.000900	100000000.000300	28854969.000000	22737008.000080
60747.728216	4202862.000000	113927.228237	105000000.000700	99999999.999600	28854968.999830	22737007.999910
60747.728228	4203920.000000	113927.228235	105000000.000200	100000000.000200	28854968.999950	22737008.000000
60747.728240	4204976.000000	113927.228373	105000000.000300	100000000.001000	28854968.999650	22737007.999810
60747.728253	4206032.000000	113927.228187	105000000.000700	99999999.998500	28854968.999740	22737008.000150
60747.728265	4207088.000000	113927.228426	104999999.999700	100000000.000300	28854969.000230	22737008.000020
60747.728277	4208143.000000	113927.228561	105000000.001400	99999999.999700	28854968.999910	22737008.000120
60747.728289	4209201.000000	113927.227838	104999999.998600	99999999.999900	28854969.000270	22737008.000050
60747.728301	4210257.000000	113927.228342	105000000.001700	100000000.000900	28854968.999950	22737008.000210
60747.728314	4211312.000000	113927.228444	105000000.001400	99999999.999000	28854968.999940	22737008.000190
60747.728326	4212369.000000	113927.227843	104999999.999900	100000000.000800	28854968.999950	22737007.999980
60747.728338	4213426.000000	113927.228069	105000000.000100	99999999.999200	28854969.000370	22737007.999950
60747.728350	4214482.000000	113927.228091	105000000.000800	100000000.000100	28854968.999700	22737008.000080
60747.728363	4215539.000000	113927.228563	105000000.000300	100000000.000200	28854969.000250	22737008.000080
60747.728375	4216596.000000	113927.228060	105000000.000000	99999999.998900	28854968.999890	22737008.000130
60747.728387	4217653.000000	113927.228202	104999999.999500	100000000.000500	28854968.999820	22737008.000000
60747.728399	4218709.000000	113927.228448	105000000.000900	99999999.998900	28854968.999840	22737008.000020
60747.728412	4219765.000000	113927.228209	104999999.998400	99999999.999500	28854969.000030	22737008.000080
60747.728424	4220822.000000	113927.228209	105000000.000000	100000000.000700	28854968.999940	22737008.000240
60747.728436	4221880.000000	113927.228081	105000000.001600	99999999.999200	28854969.000040	22737008.000140
