# Readme Information 
# Data taken on 250313, analyzed on 17-Mar-2025 by script Saveshifts_forTara_v3_250313.m.
# Gravitational Redshift Corrected to Marker on floor of 1G104 labeled 811G104 
# Frequencies units of Hz. Maser ST008 references all synthesizers.
# v_yb_ideal=2*v_comb+f_shift 
# f_shift includes: Blackbody radation based on real time temperature measurement (avg shift = -1.2229), 2nd order zeeman based on real time B field measurement by atoms (avg shift = -0.0615), background gas collisions (avg shift = -0.0016), lattice AC stark shift (avg shift = -0.0007), probe AC stark shift (avg shift = 0.0000), graviational red shift (avg shift = 0.0803), and AOMs between atoms and combs (shift of 63000000)
# Run Duration 1.615861e+04 s, uptime fraction 8.461747e-01. 
t_mjd	   f_shift [Hz]  	IS_GOOD
   6.0747700515810000e+04	   6.3000001635338910e+07	   1.0000000000000000e+00	
   6.0747700522370003e+04	   6.3000001668601468e+07	   1.0000000000000000e+00	
   6.0747700532930001e+04	   6.3000001699276619e+07	   1.0000000000000000e+00	
   6.0747700543510000e+04	   6.3000001724311486e+07	   1.0000000000000000e+00	
   6.0747700554089999e+04	   6.3000001747399345e+07	   1.0000000000000000e+00	
   6.0747700564680003e+04	   6.3000001768808790e+07	   1.0000000000000000e+00	
   6.0747700575249997e+04	   6.3000001786158398e+07	   1.0000000000000000e+00	
   6.0747700585840001e+04	   6.3000001788062125e+07	   1.0000000000000000e+00	
   6.0747700596399998e+04	   6.3000001785834081e+07	   1.0000000000000000e+00	
   6.0747700606979997e+04	   6.3000001777561650e+07	   1.0000000000000000e+00	
   6.0747700617560004e+04	   6.3000001769241765e+07	   1.0000000000000000e+00	
   6.0747700628150000e+04	   6.3000001763783179e+07	   1.0000000000000000e+00	
   6.0747700638720002e+04	   6.3000001764255181e+07	   1.0000000000000000e+00	
   6.0747700649300001e+04	   6.3000001767357640e+07	   1.0000000000000000e+00	
   6.0747700659880000e+04	   6.3000001763475299e+07	   1.0000000000000000e+00	
   6.0747700670459999e+04	   6.3000001755562462e+07	   1.0000000000000000e+00	
   6.0747700681030001e+04	   6.3000001750227869e+07	   1.0000000000000000e+00	
   6.0747700691610000e+04	   6.3000001752354451e+07	   1.0000000000000000e+00	
   6.0747700702189999e+04	   6.3000001750395223e+07	   1.0000000000000000e+00	
   6.0747700712780003e+04	   6.3000001743161179e+07	   1.0000000000000000e+00	
   6.0747700723369999e+04	   6.3000001734692611e+07	   1.0000000000000000e+00	
   6.0747700733940001e+04	   6.3000001729259722e+07	   1.0000000000000000e+00	
   6.0747700744510003e+04	   6.3000001716081686e+07	   1.0000000000000000e+00	
   6.0747700755099999e+04	   6.3000001704854280e+07	   1.0000000000000000e+00	
