# Frequency shift file for JILA Sr1 
# for 20250318_clock_lock#0.
# Processed Tue Mar 18 19:39:55 2025 (MT) 
# by Alexander Aeppli(alexander.aeppli@colorado.edu), William Warfield(william.warfield@colorado.edu) 
# ******Applied Corrections******
# point by point corrections: 
#  - servo 
#  - second order zeeman 
#  - density shift 
# DC corrections: 
#  - lattice light 
#  - DC Stark 
#  - BBR 
#  - background gas 
#  - redshift to S1B60V1 
# Total sytematic error (frac.) = ~1e-17
# No MASER corrections have been applied
# To calculate the strontium frequency: 
# f_sr = (N/M)*f_light + f_shift[Hz] 
# where N = 1716882, M = 777577, 
# and f_light is the frequency of the light leaving JILA. 
#### Additional Notes #### 
# standard conditions
t_mjd	f_shift [Hz]	IS_GOOD
60752.78973415164	-165702209.02937138	1
60752.78983432031	-165702209.05348468	1
60752.78993445394	-165702209.0574999	1
60752.79003462264	-165702209.05125844	1
60752.79369069706	-165702209.0017137	1
60752.793790886506	-165702208.974616	1
60752.793890981346	-165702208.97449136	1
60752.79399115953	-165702208.9523443	1
60752.79409131653	-165702208.98256785	1
60752.794191532565	-165702209.03978866	1
60752.79429167079	-165702209.02516818	1
60752.79439182513	-165702209.07716346	1
60752.79449203762	-165702209.04477954	1
60752.794592201215	-165702208.98655874	1
60752.79469230476	-165702208.97348213	1
60752.79479250997	-165702208.96047926	1
60752.794892615755	-165702208.96227092	1
60752.7949928206	-165702208.9839518	1
60752.795093049135	-165702208.9962877	1
60752.79519322078	-165702209.01341635	1
60752.79529334593	-165702208.98963922	1
60752.79539355584	-165702208.98071098	1
60752.79549367151	-165702208.94081384	1
60752.795593801144	-165702208.9570843	1
60752.7956940311	-165702208.96243393	1
60752.79579411501	-165702208.99787003	1
60752.795894362105	-165702209.00918114	1
60752.795994550346	-165702208.99630862	1
60752.796094626654	-165702208.99660295	1
60752.796194846305	-165702208.9841531	1
60752.7962949697	-165702208.96025866	1
60752.7963952274	-165702208.97856635	1
60752.7964952423	-165702209.03949243	1
60752.79659547143	-165702209.03980458	1
60752.79669562321	-165702209.00353986	1
60752.79679581678	-165702208.9749896	1
60752.79689593164	-165702208.998352	1
60752.7969961748	-165702209.0085796	1
60752.79709639596	-165702208.93918222	1
60752.7971966586	-165702208.95938748	1
60752.79729659973	-165702209.03644335	1
60752.79739675815	-165702208.9978441	1
60752.797496975254	-165702209.0148331	1
60752.797597184464	-165702209.0214315	1
60752.797697315546	-165702208.9943508	1
60752.797797461506	-165702208.95875907	1
60752.79789767954	-165702208.93565136	1
60752.7979977741	-165702208.9537434	1
60752.79809796951	-165702208.9643488	1
60752.798198098855	-165702208.9155962	1
60752.798298309404	-165702208.94346	1
60752.798398459425	-165702208.93283886	1
60752.79849855584	-165702208.91952264	1
60752.798598800786	-165702208.92918295	1
60752.79869890934	-165702208.94431007	1
60752.798799162665	-165702208.93177027	1
60752.798899224865	-165702208.92217356	1
60752.798999406004	-165702208.9232852	1
60752.79909966706	-165702208.9129799	1
60752.79919976399	-165702208.92119354	1
60752.79929991138	-165702208.9320727	1
60752.799400119846	-165702208.9308194	1
60752.79950019845	-165702208.94452763	1
60752.79960042604	-165702208.93501747	1
60752.79970052838	-165702208.9355662	1
60752.79980076349	-165702208.94903934	1
60752.799900946884	-165702208.88629353	1
60752.80000115605	-165702208.911345	1
60752.80010124168	-165702208.91339904	1
60752.80020132917	-165702208.90236318	1
60752.80030161869	-165702208.8915897	1
60752.800401732966	-165702208.9090544	1
60752.80050190285	-165702208.89102203	1
60752.80060200645	-165702208.89108092	1
60752.800702261564	-165702208.8810901	1
60752.80080243366	-165702208.9193688	1
60752.80090256104	-165702208.91071707	1
60752.80100273304	-165702208.90744162	1
60752.80110293889	-165702208.93220496	1
60752.80120305179	-165702208.86850476	1
60752.801303219734	-165702208.89677316	1
60752.801403356345	-165702208.91170156	1
60752.801503527946	-165702208.85540932	1
60752.80160369078	-165702208.85479444	1
60752.80170385361	-165702208.90011674	1
60752.801804031136	-165702208.89750445	1
60752.801904215135	-165702208.8924842	1
60752.80200430867	-165702208.9047795	1
60752.8021045911	-165702208.8782069	1
60752.80220466963	-165702208.90433764	1
60752.80230485879	-165702208.8958137	1
60752.80240509076	-165702208.9171328	1
60752.80250519104	-165702208.86603254	1
60752.80260535113	-165702208.8765151	1
60752.802705500675	-165702208.888592	1
60752.80280566553	-165702208.86797684	1
60752.802905774784	-165702208.88517988	1
