# Readme Information 
# Data taken on 250318, analyzed on 03-Apr-2025 by script Saveshifts_forTara_v3_250318.m.
# Gravitational Redshift Corrected to Marker on floor of 1G104 labeled 811G104 
# Frequencies units of Hz. Maser ST008 references all synthesizers.
# v_yb_ideal=2*v_comb+f_shift 
# f_shift includes: Blackbody radation based on real time temperature measurement (avg shift = -1.2244), 2nd order zeeman based on real time B field measurement by atoms (avg shift = -0.0609), background gas collisions (avg shift = -0.0016), lattice AC stark shift (avg shift = -0.0006), probe AC stark shift (avg shift = 0.0000), graviational red shift (avg shift = 0.0791), and AOMs between atoms and combs (shift of 63000000)
# Run Duration 1.177784e+04 s, uptime fraction 9.514954e-01. 
t_mjd	   f_shift [Hz]  	IS_GOOD
   6.0752875287679999e+04	   6.3000003588710636e+07	   0.0000000000000000e+00	
   6.0752875296860002e+04	   6.3000003578862958e+07	   0.0000000000000000e+00	
   6.0752875309919997e+04	   6.3000003576155767e+07	   0.0000000000000000e+00	
   6.0752875323000000e+04	   6.3000003579207867e+07	   0.0000000000000000e+00	
   6.0752875336060002e+04	   6.3000003582478024e+07	   0.0000000000000000e+00	
   6.0752875349130001e+04	   6.3000003588437080e+07	   0.0000000000000000e+00	
   6.0752875362179999e+04	   6.3000003594193392e+07	   0.0000000000000000e+00	
   6.0752875375260002e+04	   6.3000003594305500e+07	   0.0000000000000000e+00	
   6.0752875388330001e+04	   6.3000003593848206e+07	   0.0000000000000000e+00	
   6.0752875401390003e+04	   6.3000003593571015e+07	   1.0000000000000000e+00	
   6.0752875414470000e+04	   6.3000003592847541e+07	   1.0000000000000000e+00	
   6.0752875427530002e+04	   6.3000003587946355e+07	   1.0000000000000000e+00	
   6.0752875440600001e+04	   6.3000003588078476e+07	   1.0000000000000000e+00	
   6.0752875453670000e+04	   6.3000003591459788e+07	   1.0000000000000000e+00	
   6.0752875466730002e+04	   6.3000003594810344e+07	   1.0000000000000000e+00	
   6.0752875479789996e+04	   6.3000003605888903e+07	   1.0000000000000000e+00	
   6.0752875492860003e+04	   6.3000003616504326e+07	   1.0000000000000000e+00	
   6.0752875505939999e+04	   6.3000003625873230e+07	   1.0000000000000000e+00	
   6.0752875519000001e+04	   6.3000003625149503e+07	   1.0000000000000000e+00	
   6.0752875532090002e+04	   6.3000003617952965e+07	   1.0000000000000000e+00	
   6.0752875545130002e+04	   6.3000003614340596e+07	   1.0000000000000000e+00	
   6.0752875558209998e+04	   6.3000003610102326e+07	   1.0000000000000000e+00	
   6.0752875571270000e+04	   6.3000003607881799e+07	   1.0000000000000000e+00	
   6.0752875584330002e+04	   6.3000003604890220e+07	   1.0000000000000000e+00	
   6.0752875597400001e+04	   6.3000003599705838e+07	   1.0000000000000000e+00	
   6.0752875610479998e+04	   6.3000003591638356e+07	   1.0000000000000000e+00	
   6.0752875623530002e+04	   6.3000003583266161e+07	   1.0000000000000000e+00	
   6.0752875636600002e+04	   6.3000003573112868e+07	   1.0000000000000000e+00	
   6.0752875649670001e+04	   6.3000003551557206e+07	   1.0000000000000000e+00	
   6.0752875662740000e+04	   6.3000003535560519e+07	   1.0000000000000000e+00	
   6.0752875675800002e+04	   6.3000003522457324e+07	   1.0000000000000000e+00	
   6.0752875688879998e+04	   6.3000003517566189e+07	   1.0000000000000000e+00	
   6.0752875701930003e+04	   6.3000003509123467e+07	   1.0000000000000000e+00	
   6.0752875715009999e+04	   6.3000003500955895e+07	   1.0000000000000000e+00	
   6.0752875728079998e+04	   6.3000003495854303e+07	   1.0000000000000000e+00	
   6.0752875741140000e+04	   6.3000003515157424e+07	   1.0000000000000000e+00	
   6.0752875754219996e+04	   6.3000003525338270e+07	   1.0000000000000000e+00	
   6.0752875767279998e+04	   6.3000003533600032e+07	   1.0000000000000000e+00	
   6.0752875780340000e+04	   6.3000003537074968e+07	   1.0000000000000000e+00	
   6.0752875793409999e+04	   6.3000003534532085e+07	   1.0000000000000000e+00	
   6.0752875806470001e+04	   6.3000003532423258e+07	   1.0000000000000000e+00	
   6.0752875819549998e+04	   6.3000003530558385e+07	   1.0000000000000000e+00	
   6.0752875832610000e+04	   6.3000003531947784e+07	   1.0000000000000000e+00	
   6.0752875845679999e+04	   6.3000003536163174e+07	   1.0000000000000000e+00	
   6.0752875858740001e+04	   6.3000003543175511e+07	   1.0000000000000000e+00	
   6.0752875871830001e+04	   6.3000003548115596e+07	   1.0000000000000000e+00	
   6.0752875884890003e+04	   6.3000003555828646e+07	   1.0000000000000000e+00	
   6.0752875897940001e+04	   6.3000003564921170e+07	   1.0000000000000000e+00	
   6.0752875911019997e+04	   6.3000003570323244e+07	   1.0000000000000000e+00	
   6.0752875924079999e+04	   6.3000003575502321e+07	   1.0000000000000000e+00	
   6.0752875937140001e+04	   6.3000003582027823e+07	   1.0000000000000000e+00	
   6.0752875950219997e+04	   6.3000003579178728e+07	   1.0000000000000000e+00	
   6.0752875963289996e+04	   6.3000003582985051e+07	   1.0000000000000000e+00	
