# Frequency shift file for JILA Sr1 
# for 20250320_clock_lock#2.
# Processed Thu Mar 20 17:54:42 2025 (MT) 
# by Alexander Aeppli(alexander.aeppli@colorado.edu), William Warfield(william.warfield@colorado.edu) 
# ******Applied Corrections******
# point by point corrections: 
#  - servo 
#  - second order zeeman 
#  - density shift 
# DC corrections: 
#  - lattice light 
#  - DC Stark 
#  - BBR 
#  - background gas 
#  - redshift to S1B60V1 
# Total sytematic error (frac.) = ~1e-17
# No MASER corrections have been applied
# To calculate the strontium frequency: 
# f_sr = (N/M)*f_light + f_shift[Hz] 
# where N = 1716882, M = 777577, 
# and f_light is the frequency of the light leaving JILA. 
#### Additional Notes #### 
# standard conditions
t_mjd	f_shift [Hz]	IS_GOOD
60754.8744837884	-165702202.90604514	1
60754.874584002195	-165702202.87638998	1
60754.87468411128	-165702202.89667326	1
60754.87478425229	-165702202.92437738	1
60754.87488441443	-165702202.89275038	1
60754.874984625414	-165702202.91157615	1
60754.87508472744	-165702202.86841774	1
60754.875184942866	-165702202.90195394	1
60754.87528514778	-165702202.9100222	1
60754.87538520759	-165702202.93295604	1
60754.87548541946	-165702202.88227767	1
60754.87558555018	-165702202.91550958	1
60754.87568572284	-165702202.92798775	1
60754.87578597677	-165702202.93025696	1
60754.87588609814	-165702202.911941	1
60754.87598627758	-165702202.90934825	1
60754.87608643819	-165702202.90063924	1
60754.876186547976	-165702202.9380576	1
60754.876286751285	-165702202.92300034	1
60754.87638683385	-165702202.94908231	1
60754.876487024005	-165702202.9074872	1
60754.87658725325	-165702202.86868918	1
60754.876687372904	-165702202.85567588	1
60754.87678747872	-165702202.93869787	1
60754.876887575934	-165702202.957336	1
60754.87698786478	-165702202.9531675	1
60754.87708798225	-165702202.92336863	1
60754.87718813081	-165702202.9119727	1
60754.87728828308	-165702202.8762288	1
60754.87738848193	-165702202.9019996	1
60754.8774886745	-165702202.9086057	1
60754.87758877756	-165702202.8876772	1
60754.87768897759	-165702202.9005953	1
60754.87778912425	-165702202.94095373	1
60754.87788931708	-165702202.93415618	1
60754.877989453555	-165702202.92688137	1
60754.878089649195	-165702202.91944337	1
60754.87818972337	-165702202.92497617	1
60754.87828998279	-165702202.89647055	1
60754.87839000982	-165702202.89705437	1
60754.878490254625	-165702202.90262568	1
60754.878590345215	-165702202.85681015	1
60754.878690534075	-165702202.93568522	1
60754.87879070794	-165702202.92573953	1
60754.87889089377	-165702202.9190727	1
60754.87899103233	-165702202.90501845	1
60754.87909122156	-165702202.9110149	1
60754.87919132782	-165702202.91415256	1
60754.879291540085	-165702202.89559537	1
60754.87939170595	-165702202.9058485	1
60754.87949181953	-165702202.96502286	1
60754.87959198131	-165702202.89459896	1
60754.8796921766	-165702202.90963042	1
60754.879792256135	-165702202.8707736	1
60754.87989244726	-165702202.91850585	1
60754.87999266572	-165702202.87942123	1
60754.88009279695	-165702202.87520206	1
60754.8801929765	-165702202.88272434	1
60754.88029306047	-165702202.91413337	1
60754.88039324335	-165702202.8882802	1
60754.880493372984	-165702202.93923396	1
60754.88059351964	-165702202.9091015	1
60754.880693754494	-165702202.86016285	1
60754.880793912176	-165702202.89820904	1
60754.88089401957	-165702202.8925414	1
60754.88099428091	-165702202.91035765	1
60754.88109440895	-165702202.921768	1
60754.881194496345	-165702202.81668276	1
60754.88129469184	-165702202.85040492	1
60754.88139490095	-165702202.8287475	1
60754.881494991976	-165702202.82320482	1
60754.88159528733	-165702202.80422187	1
60754.881695296535	-165702202.81684518	1
60754.88179555208	-165702202.83654886	1
60754.8818957494	-165702202.83162653	1
60754.88199591483	-165702202.81547415	1
60754.88209594564	-165702202.86094064	1
60754.88219617079	-165702202.87874812	1
60754.88229629702	-165702202.83943164	1
60754.882396468594	-165702202.8164149	1
60754.882496571845	-165702202.8370664	1
60754.882596770796	-165702202.82823724	1
60754.88269693515	-165702202.8377236	1
60754.88279715997	-165702202.89854223	1
60754.8828973003	-165702202.82742035	1
60754.88299745422	-165702202.84658146	1
60754.88309765239	-165702202.84455073	1
60754.883197767755	-165702202.84078854	1
60754.88329798434	-165702202.8034842	1
60754.8833979937	-165702202.82134682	1
60754.88349823474	-165702202.83044946	1
60754.883598438195	-165702202.8198173	1
60754.88369849044	-165702202.81013697	1
60754.883798654904	-165702202.8237288	1
60754.88389878173	-165702202.84482223	1
60754.88399901513	-165702202.8312623	1
60754.88409916581	-165702202.88465798	1
60754.88419933908	-165702202.84996718	1
60754.88429955817	-165702202.8657146	1
60754.88439957388	-165702202.88166964	1
60754.88449992228	-165702202.86157328	1
60754.88460004131	-165702202.88503587	1
60754.88470023402	-165702202.88314265	1
60754.884800276486	-165702202.86530852	1
60754.88490042913	-165702202.8638386	1
60754.88500061488	-165702202.81609732	1
60754.88510079164	-165702202.78267658	1
60754.88520090166	-165702202.82116485	1
60754.885301083945	-165702202.80014002	1
60754.88540121098	-165702202.82080865	1
60754.88550143424	-165702202.80223835	1
60754.885601590075	-165702202.86194766	1
60754.885701752406	-165702202.8336569	1
60754.885801874705	-165702202.83341992	1
60754.88590206497	-165702202.90000093	1
60754.886002251566	-165702202.8333243	1
60754.886102380435	-165702202.798267	1
60754.88620261359	-165702202.79940027	1
60754.88630269003	-165702202.8386755	1
60754.8864028807	-165702202.78456658	1
60754.88650310114	-165702202.75388992	1
60754.88660320634	-165702202.77680093	1
60754.886703294236	-165702202.7915985	1
60754.88680346045	-165702202.84846395	1
60754.88690370975	-165702202.84934843	1
60754.88700387259	-165702202.85021907	1
60754.88710395846	-165702202.85814154	1
60754.887204145074	-165702202.8277858	1
60754.887304329626	-165702202.81419086	1
60754.88740450951	-165702202.7973675	1
60754.88750461211	-165702202.7630399	1
60754.88760477333	-165702202.78673428	1
60754.88770493583	-165702202.782368	1
60754.88780511494	-165702202.76566756	1
60754.8879053128	-165702202.7993256	1
60754.888005421446	-165702202.7832845	1
60754.88810564079	-165702202.79355848	1
60754.88820577342	-165702202.80049503	1
60754.8883059225	-165702202.83501714	1
60754.888406069884	-165702202.85560483	1
60754.88850630383	-165702202.841488	1
60754.88860641104	-165702202.82301247	1
60754.88870656126	-165702202.81826425	1
60754.888806707866	-165702202.82053548	1
60754.88890684106	-165702202.76427764	1
60754.88900705992	-165702202.81856322	1
60754.88910718717	-165702202.87902015	1
60754.88920735319	-165702202.84109336	1
60754.889307504345	-165702202.82181102	1
60754.88940773373	-165702202.77769458	1
60754.889507858476	-165702202.79605836	1
60754.88960800718	-165702202.76568377	1
60754.88970813473	-165702202.80071312	1
60754.88980833179	-165702202.81546694	1
60754.88990848002	-165702202.82864583	1
60754.890008585964	-165702202.82248157	1
60754.89010877822	-165702202.83150333	1
60754.89020898864	-165702202.81259066	1
60754.89030907282	-165702202.7744314	1
60754.890409296306	-165702202.78259444	1
60754.89050939204	-165702202.7610435	1
60754.8906096552	-165702202.7888816	1
60754.89070972298	-165702202.74637765	1
60754.89080993517	-165702202.77122635	1
60754.89091005666	-165702202.7474146	1
60754.89101026191	-165702202.74306607	1
60754.89111039885	-165702202.75271147	1
60754.89121054178	-165702202.76052225	1
60754.89131070316	-165702202.7962681	1
60754.89141091637	-165702202.79993564	1
60754.89151102447	-165702202.76615435	1
60754.8916111911	-165702202.77589184	1
60754.891711374854	-165702202.74969292	1
60754.8918114811	-165702202.78167838	1
60754.891911611085	-165702202.80296236	1
60754.892011834636	-165702202.83254898	1
60754.89211199107	-165702202.80557603	1
60754.89221213584	-165702202.84610295	1
60754.892312389034	-165702202.77156484	1
60754.892412432884	-165702202.7822659	1
60754.892512615654	-165702202.800393	1
60754.892612818534	-165702202.7958442	1
60754.89271299979	-165702202.79929668	1
60754.892813096754	-165702202.7959094	1
60754.892913246826	-165702202.77122092	1
60754.89301344045	-165702202.79937857	1
60754.89311361229	-165702202.78998178	1
60754.89321378773	-165702202.7747231	1
60754.893313933826	-165702202.7866634	1
60754.89341404114	-165702202.77726638	1
60754.893514234056	-165702202.83938825	1
60754.893614345005	-165702202.81632262	1
60754.8937146535	-165702202.76544994	1
60754.89381471892	-165702202.78259575	1
60754.89391484764	-165702202.82452416	1
60754.89401504867	-165702202.8346327	1
60754.894115268704	-165702202.82207984	1
60754.89421539094	-165702202.84244013	1
60754.89431555588	-165702202.75568068	1
60754.89441567822	-165702202.82700926	1
60754.89451583018	-165702202.81080568	1
60754.89461593136	-165702202.80476904	1
60754.89471616432	-165702202.76341796	1
60754.894816347696	-165702202.78059548	1
60754.89491653077	-165702202.81107336	1
60754.895016656264	-165702202.80175155	1
60754.895116765154	-165702202.8366862	1
60754.895217052916	-165702202.82374543	1
60754.89531712847	-165702202.84447443	1
60754.895417237385	-165702202.83776933	1
60754.895517455734	-165702202.79480892	1
60754.895617566784	-165702202.76738805	1
60754.89571778706	-165702202.79574162	1
60754.8958179051	-165702202.7960872	1
60754.89591815553	-165702202.78553903	1
60754.896018188614	-165702202.80229992	1
60754.8961183456	-165702202.80136412	1
60754.896218577815	-165702202.76180428	1
60754.89631869344	-165702202.80928123	1
60754.89641887975	-165702202.79217488	1
60754.89651908146	-165702202.8187632	1
60754.89661913224	-165702202.81570166	1
60754.89671941388	-165702202.82898188	1
60754.89681958086	-165702202.8311845	1
60754.896919721315	-165702202.79489434	1
60754.897019845426	-165702202.77922046	1
60754.89712007187	-165702202.78296572	1
60754.89722012134	-165702202.79608524	1
60754.89732032197	-165702202.7740115	1
60754.89742038149	-165702202.77940142	1
60754.897520657214	-165702202.78543788	1
60754.897620759584	-165702202.81681234	1
60754.89772088865	-165702202.78031892	1
60754.89782115124	-165702202.80140364	1
60754.89792135278	-165702202.8762235	1
60754.89802140933	-165702202.85138375	1
60754.89812158463	-165702202.81675482	1
60754.89822178992	-165702202.82996315	1
60754.898321901535	-165702202.7920797	1
60754.898422062775	-165702202.78945988	1
60754.89852227163	-165702202.7874918	1
60754.8986223984	-165702202.80341434	1
60754.898722592545	-165702202.80754858	1
60754.898822774005	-165702202.8442694	1
60754.898922858214	-165702202.84242827	1
60754.899023014346	-165702202.78734875	1
60754.899123194686	-165702202.83830726	1
60754.89922337976	-165702202.84165883	1
60754.89932351097	-165702202.81597602	1
60754.8994237124	-165702202.85083246	1
60754.899523832326	-165702202.86006087	1
60754.89962399315	-165702202.8535444	1
60754.89972413249	-165702202.85938597	1
60754.89982432079	-165702202.84969622	1
60754.899924451754	-165702202.86224234	1
60754.90002469139	-165702202.8575862	1
60754.90012480243	-165702202.859326	1
60754.900225004974	-165702202.89268547	1
60754.90032510912	-165702202.87628514	1
60754.9004252872	-165702202.89238274	1
60754.900525496516	-165702202.88274872	1
60754.90062564732	-165702202.8934816	1
60754.900725762476	-165702202.8582793	1
60754.90082593807	-165702202.82987922	1
60754.9009260584	-165702202.83122182	1
60754.90102624537	-165702202.86531562	1
60754.9011263979	-165702202.86958665	1
60754.90122655483	-165702202.8793916	1
60754.90132674583	-165702202.87165666	1
60754.90142691552	-165702202.84741092	1
