# Readme Information 
# Data taken on 250320, analyzed on 21-Mar-2025 by script Saveshifts_forTara_v3_250320.m.
# Gravitational Redshift Corrected to Marker on floor of 1G104 labeled 811G104 
# Frequencies units of Hz. Maser ST008 references all synthesizers.
# v_yb_ideal=2*v_comb+f_shift 
# f_shift includes: Blackbody radation based on real time temperature measurement (avg shift = -1.2273), 2nd order zeeman based on real time B field measurement by atoms (avg shift = -Inf), background gas collisions (avg shift = -0.0016), lattice AC stark shift (avg shift = -0.0007), probe AC stark shift (avg shift = 0.0000), graviational red shift (avg shift = 0.0803), and AOMs between atoms and combs (shift of 63000000)
# Run Duration 1.693045e+04 s, uptime fraction 9.793365e-01. 
t_mjd	   f_shift [Hz]  	IS_GOOD
   6.0754769288860000e+04	   6.3000000343406230e+07	   1.0000000000000000e+00	
   6.0754769294960002e+04	   6.3000000289078824e+07	   1.0000000000000000e+00	
   6.0754769305160000e+04	   6.3000000238527164e+07	   1.0000000000000000e+00	
   6.0754769315320002e+04	   6.3000000188435405e+07	   1.0000000000000000e+00	
   6.0754769325480003e+04	   6.3000000166533284e+07	   1.0000000000000000e+00	
   6.0754769335669997e+04	   6.3000000158445083e+07	   1.0000000000000000e+00	
   6.0754769345840003e+04	   6.3000000205441423e+07	   1.0000000000000000e+00	
   6.0754769356019999e+04	   6.3000000247785151e+07	   1.0000000000000000e+00	
   6.0754769366180000e+04	   6.3000000285893098e+07	   1.0000000000000000e+00	
   6.0754769376359996e+04	   6.3000000315181144e+07	   1.0000000000000000e+00	
   6.0754769386530003e+04	   6.3000000331250675e+07	   1.0000000000000000e+00	
   6.0754769396709999e+04	   6.3000000349804796e+07	   1.0000000000000000e+00	
   6.0754769406879997e+04	   6.3000000363846846e+07	   1.0000000000000000e+00	
   6.0754769417050004e+04	   6.3000000369156815e+07	   1.0000000000000000e+00	
   6.0754769427230000e+04	   6.3000000361573756e+07	   1.0000000000000000e+00	
   6.0754769437410003e+04	   6.3000000354634970e+07	   1.0000000000000000e+00	
   6.0754769447580002e+04	   6.3000000344861463e+07	   1.0000000000000000e+00	
   6.0754769457750001e+04	   6.3000000339540653e+07	   1.0000000000000000e+00	
   6.0754769467919999e+04	   6.3000000338805623e+07	   1.0000000000000000e+00	
   6.0754769478100003e+04	   6.3000000339035593e+07	   1.0000000000000000e+00	
   6.0754769488270002e+04	   6.3000000340467542e+07	   1.0000000000000000e+00	
   6.0754769498440000e+04	   6.3000000348630667e+07	   1.0000000000000000e+00	
   6.0754769508630001e+04	   6.3000000360004209e+07	   1.0000000000000000e+00	
   6.0754769518800000e+04	   6.3000000368014596e+07	   1.0000000000000000e+00	
   6.0754769528960001e+04	   6.3000000366533212e+07	   1.0000000000000000e+00	
   6.0754769539150002e+04	   6.3000000353371002e+07	   1.0000000000000000e+00	
   6.0754769549320001e+04	   6.3000000336249441e+07	   1.0000000000000000e+00	
   6.0754769559480002e+04	   6.3000000319559373e+07	   1.0000000000000000e+00	
   6.0754769569659999e+04	   6.3000000312568061e+07	   1.0000000000000000e+00	
   6.0754769579829997e+04	   6.3000000312708013e+07	   1.0000000000000000e+00	
   6.0754769590019998e+04	   6.3000000324783474e+07	   1.0000000000000000e+00	
   6.0754769600180000e+04	   6.3000000331458464e+07	   1.0000000000000000e+00	
   6.0754769610360003e+04	   6.3000000336101115e+07	   1.0000000000000000e+00	
   6.0754769620530002e+04	   6.3000000342906289e+07	   1.0000000000000000e+00	
   6.0754769630709998e+04	   6.3000000351814337e+07	   1.0000000000000000e+00	
   6.0754769640899998e+04	   6.3000000360176504e+07	   1.0000000000000000e+00	
   6.0754769651050003e+04	   6.3000000368622094e+07	   1.0000000000000000e+00	
   6.0754769661229999e+04	   6.3000000378480233e+07	   1.0000000000000000e+00	
   6.0754769671390000e+04	   6.3000000382921837e+07	   1.0000000000000000e+00	
   6.0754769681569996e+04	   6.3000000386365533e+07	   1.0000000000000000e+00	
   6.0754769691740003e+04	   6.3000000381234236e+07	   1.0000000000000000e+00	
   6.0754769701930003e+04	   6.3000000372246407e+07	   1.0000000000000000e+00	
   6.0754769712100002e+04	   6.3000000363926359e+07	   1.0000000000000000e+00	
   6.0754769722260004e+04	   6.3000000347684808e+07	   1.0000000000000000e+00	
   6.0754769732449997e+04	   6.3000000338686302e+07	   1.0000000000000000e+00	
   6.0754769742620003e+04	   6.3000000341377042e+07	   1.0000000000000000e+00	
   6.0754769752790002e+04	   6.3000000351150565e+07	   1.0000000000000000e+00	
   6.0754769762969998e+04	   6.3000000353998251e+07	   1.0000000000000000e+00	
   6.0754769773150001e+04	   6.3000000351711929e+07	   1.0000000000000000e+00	
   6.0754769783320000e+04	   6.3000000349351153e+07	   1.0000000000000000e+00	
   6.0754769793500003e+04	   6.3000000358158037e+07	   1.0000000000000000e+00	
   6.0754769803659998e+04	   6.3000000364381403e+07	   1.0000000000000000e+00	
   6.0754769813840001e+04	   6.3000000368675970e+07	   1.0000000000000000e+00	
   6.0754769824000003e+04	   6.3000000374140173e+07	   1.0000000000000000e+00	
   6.0754769834179999e+04	   6.3000000384050481e+07	   1.0000000000000000e+00	
   6.0754769844349998e+04	   6.3000000390606984e+07	   1.0000000000000000e+00	
   6.0754769854539998e+04	   6.3000000394745111e+07	   1.0000000000000000e+00	
   6.0754769864700000e+04	   6.3000000390206218e+07	   1.0000000000000000e+00	
   6.0754769874880003e+04	   6.3000000381907314e+07	   1.0000000000000000e+00	
   6.0754769885050002e+04	   6.3000000373222053e+07	   1.0000000000000000e+00	
   6.0754769895220001e+04	   6.3000000368786789e+07	   1.0000000000000000e+00	
   6.0754769905390000e+04	   6.3000000363886230e+07	   1.0000000000000000e+00	
   6.0754769915570003e+04	   6.3000000358521640e+07	   1.0000000000000000e+00	
   6.0754769925740002e+04	   6.3000000352180019e+07	   1.0000000000000000e+00	
   6.0754769935919998e+04	   6.3000000345947459e+07	   1.0000000000000000e+00	
   6.0754769946089997e+04	   6.3000000341520317e+07	   1.0000000000000000e+00	
   6.0754769956260003e+04	   6.3000000342078120e+07	   1.0000000000000000e+00	
   6.0754769966439999e+04	   6.3000000344649233e+07	   1.0000000000000000e+00	
   6.0754769976620002e+04	   6.3000000347230747e+07	   1.0000000000000000e+00	
   6.0754769986790001e+04	   6.3000000345060013e+07	   1.0000000000000000e+00	
   6.0754769996969997e+04	   6.3000000341001585e+07	   1.0000000000000000e+00	
   6.0754770007140003e+04	   6.3000000341284975e+07	   1.0000000000000000e+00	
   6.0754770017310002e+04	   6.3000000346182682e+07	   1.0000000000000000e+00	
   6.0754770027480001e+04	   6.3000000351181097e+07	   1.0000000000000000e+00	
   6.0754770037670001e+04	   6.3000000354417995e+07	   1.0000000000000000e+00	
   6.0754770047830003e+04	   6.3000000357382767e+07	   1.0000000000000000e+00	
   6.0754770058000002e+04	   6.3000000361813091e+07	   1.0000000000000000e+00	
   6.0754770068179998e+04	   6.3000000365104266e+07	   1.0000000000000000e+00	
   6.0754770078369998e+04	   6.3000000369637191e+07	   1.0000000000000000e+00	
   6.0754770088530000e+04	   6.3000000373051375e+07	   1.0000000000000000e+00	
   6.0754770098720001e+04	   6.3000000377014391e+07	   1.0000000000000000e+00	
   6.0754770108889999e+04	   6.3000000375026986e+07	   1.0000000000000000e+00	
   6.0754770119059998e+04	   6.3000000366462134e+07	   1.0000000000000000e+00	
   6.0754770129229997e+04	   6.3000000363449946e+07	   1.0000000000000000e+00	
   6.0754770139400003e+04	   6.3000000366822913e+07	   1.0000000000000000e+00	
   6.0754770149579999e+04	   6.3000000371446840e+07	   1.0000000000000000e+00	
   6.0754770159749998e+04	   6.3000000378252104e+07	   1.0000000000000000e+00	
   6.0754770169939999e+04	   6.3000000382961929e+07	   1.0000000000000000e+00	
   6.0754770180109997e+04	   6.3000000386959434e+07	   1.0000000000000000e+00	
   6.0754770190269999e+04	   6.3000000385702491e+07	   1.0000000000000000e+00	
   6.0754770200460000e+04	   6.3000000391505770e+07	   1.0000000000000000e+00	
