# Frequency shift file for JILA Sr1 
# for 20250321_clock_lock#0.
# Processed Fri Mar 21 17:52:55 2025 (MT) 
# by Alexander Aeppli(alexander.aeppli@colorado.edu), William Warfield(william.warfield@colorado.edu) 
# ******Applied Corrections******
# point by point corrections: 
#  - servo 
#  - second order zeeman 
#  - density shift 
# DC corrections: 
#  - lattice light 
#  - DC Stark 
#  - BBR 
#  - background gas 
#  - redshift to S1B60V1 
# Total sytematic error (frac.) = ~1e-17
# No MASER corrections have been applied
# To calculate the strontium frequency: 
# f_sr = (N/M)*f_light + f_shift[Hz] 
# where N = 1716882, M = 777577, 
# and f_light is the frequency of the light leaving JILA. 
#### Additional Notes #### 
# standard conditions
t_mjd	f_shift [Hz]	IS_GOOD
60755.69331741352	-165702200.81593215	1
60755.6934176388	-165702200.77399015	1
60755.693517727115	-165702200.76758015	1
60755.6936180388	-165702200.832182	1
60755.69371805348	-165702200.8102275	1
60755.69381825835	-165702200.81400198	1
60755.6939184652	-165702200.81902152	1
60755.69401853865	-165702200.83043474	1
60755.69411878911	-165702200.8667801	1
60755.694218796045	-165702200.8690464	1
60755.694319022754	-165702200.85420507	1
60755.69441923369	-165702200.8285755	1
60755.69451932808	-165702200.82779074	1
60755.694619547954	-165702200.85097843	1
60755.69471964985	-165702200.86725098	1
60755.69481980934	-165702200.84248042	1
60755.694919945396	-165702200.8175866	1
60755.69502023884	-165702200.80715364	1
60755.69512029034	-165702200.76564258	1
60755.69522043944	-165702200.8242641	1
60755.69532063014	-165702200.81308514	1
60755.69542080604	-165702200.8108915	1
60755.69552094589	-165702200.8277014	1
60755.695621077655	-165702200.82650697	1
60755.69572123891	-165702200.831033	1
60755.69582147197	-165702200.7895903	1
60755.69592163724	-165702200.79682297	1
60755.69602172105	-165702200.80616814	1
60755.696121920235	-165702200.75315094	1
60755.69622218755	-165702200.80834734	1
60755.6963222745	-165702200.7294954	1
60755.69642243134	-165702200.73665422	1
60755.696522561106	-165702200.73906147	1
60755.69662280967	-165702200.73680264	1
60755.69672292771	-165702200.75320637	1
60755.69682310159	-165702200.7559924	1
60755.69692322599	-165702200.7585919	1
60755.697023438435	-165702200.72971243	1
60755.69712354229	-165702200.73321337	1
60755.69722367625	-165702200.74603683	1
60755.697323784916	-165702200.7372681	1
60755.69742395781	-165702200.73241675	1
60755.69752411856	-165702200.71472055	1
60755.69762428378	-165702200.7430938	1
60755.6977244626	-165702200.74336112	1
60755.69782458995	-165702200.72630548	1
60755.69792484671	-165702200.70623136	1
60755.698025022444	-165702200.75370228	1
60755.69812514851	-165702200.75511014	1
60755.69822531077	-165702200.75790858	1
60755.69832544983	-165702200.73817945	1
60755.69842555644	-165702200.74181503	1
60755.698525867374	-165702200.77311957	1
60755.69862588207	-165702200.77970845	1
60755.69872608886	-165702200.81602347	1
60755.69882638749	-165702200.7938965	1
60755.69892637919	-165702200.76479882	1
60755.69902665004	-165702200.81357443	1
60755.69912680908	-165702200.7402786	1
60755.699226876444	-165702200.75018442	1
60755.69932702412	-165702200.78206724	1
60755.699427277636	-165702200.78616875	1
60755.69952748532	-165702200.7750547	1
60755.699627567265	-165702200.81425273	1
60755.69972765992	-165702200.81503725	1
60755.69982787753	-165702200.76801294	1
60755.69992808705	-165702200.7458914	1
60755.700028162595	-165702200.7960366	1
60755.70012837253	-165702200.77604324	1
60755.70022855113	-165702200.8000791	1
60755.70032870881	-165702200.7915433	1
60755.700428800315	-165702200.79559404	1
60755.70052905826	-165702200.83824837	1
60755.70062914286	-165702200.81956375	1
60755.70072941108	-165702200.80955255	1
60755.70082947849	-165702200.80187327	1
60755.70092967907	-165702200.8213339	1
60755.701029849464	-165702200.7954741	1
60755.70112993207	-165702200.80419493	1
60755.70123012411	-165702200.80846494	1
60755.70133037923	-165702200.79468483	1
60755.701430399226	-165702200.8257206	1
60755.701530490776	-165702200.7937472	1
60755.70163077229	-165702200.7718107	1
60755.701730922374	-165702200.79055476	1
60755.70183111376	-165702200.73994386	1
60755.70193127688	-165702200.76017416	1
60755.702031399	-165702200.7444157	1
60755.702131524326	-165702200.75647467	1
60755.70223169409	-165702200.71515763	1
60755.70233193948	-165702200.72734648	1
60755.70243206413	-165702200.71154052	1
60755.70253216826	-165702200.71087247	1
60755.70263235718	-165702200.69694173	1
60755.70273259596	-165702200.68348676	1
60755.702832660376	-165702200.7159034	1
60755.702932900516	-165702200.7388246	1
60755.7030329376	-165702200.72048163	1
60755.70313322873	-165702200.70550472	1
60755.703233298984	-165702200.72326332	1
60755.70333344099	-165702200.70615953	1
60755.7034336878	-165702200.76261753	1
60755.70353385383	-165702200.6938582	1
60755.70363403304	-165702200.69143116	1
60755.70373421571	-165702200.7605821	1
60755.70383426802	-165702200.76513296	1
60755.703934483194	-165702200.72408372	1
60755.70403457915	-165702200.7404347	1
60755.70413474666	-165702200.76622564	1
60755.70423496185	-165702200.73593837	1
60755.70433512793	-165702200.74512136	1
60755.704435237836	-165702200.75074387	1
60755.70453539955	-165702200.77161247	1
60755.70463553278	-165702200.7782097	1
60755.70473569993	-165702200.77963132	1
60755.70483587484	-165702200.78454012	1
60755.70493604748	-165702200.79400063	1
60755.70503620922	-165702200.82930905	1
60755.705136356584	-165702200.846295	1
60755.70523648851	-165702200.8315435	1
60755.70533664981	-165702200.80907536	1
60755.7054369548	-165702200.81900334	1
60755.70553709779	-165702200.78336817	1
60755.70563718829	-165702200.74177676	1
60755.70573731051	-165702200.7937079	1
60755.70583752866	-165702200.78956044	1
60755.70593766538	-165702200.82715327	1
60755.70603780868	-165702200.77881503	1
60755.706137918256	-165702200.7592907	1
60755.70623808141	-165702200.7279364	1
60755.70633833088	-165702200.76744342	1
60755.70643849047	-165702200.74715996	1
60755.70653861489	-165702200.7526257	1
60755.706638727635	-165702200.7066716	1
60755.706738961366	-165702200.7233742	1
60755.706839094346	-165702200.76043218	1
60755.7069392516	-165702200.7132306	1
60755.70703937685	-165702200.7230606	1
60755.70713955392	-165702200.7677253	1
60755.70723969509	-165702200.76669943	1
60755.70733988486	-165702200.72545105	1
60755.70744004681	-165702200.74409145	1
60755.70754017153	-165702200.7618258	1
60755.707640352484	-165702200.76871336	1
60755.707740529906	-165702200.71957546	1
60755.707840701696	-165702200.75490165	1
60755.707940862376	-165702200.76181728	1
60755.70804107155	-165702200.75359732	1
60755.70814120171	-165702200.75428075	1
60755.70824133746	-165702200.75982153	1
60755.70834145759	-165702200.7439195	1
60755.70844166718	-165702200.7254805	1
60755.70854184966	-165702200.74361384	1
60755.70864194476	-165702200.7408706	1
60755.70874211787	-165702200.81199867	1
60755.7088422499	-165702200.74107027	1
60755.70894246891	-165702200.74629962	1
60755.7090426372	-165702200.76219237	1
60755.709142881424	-165702200.75440025	1
60755.709242929865	-165702200.726178	1
60755.70934316604	-165702200.74095768	1
60755.709443245636	-165702200.770661	1
60755.709543404155	-165702200.81389147	1
60755.709643538525	-165702200.7433086	1
60755.709743677966	-165702200.76378518	1
60755.70984388573	-165702200.7268467	1
60755.70994402601	-165702200.7688247	1
60755.710044215055	-165702200.7481792	1
60755.710144363686	-165702200.73294312	1
60755.710244532165	-165702200.7510816	1
60755.710344724255	-165702200.69603592	1
60755.71044487207	-165702200.71641535	1
60755.71054497844	-165702200.78301603	1
60755.710645157786	-165702200.74727726	1
60755.710745363765	-165702200.77184963	1
60755.71084549886	-165702200.739838	1
60755.71094561305	-165702200.75879252	1
60755.71104576215	-165702200.74665016	1
60755.71114604608	-165702200.80741042	1
60755.71124615283	-165702200.76118279	1
60755.71134628661	-165702200.79086792	1
60755.71144645261	-165702200.77627367	1
60755.71154662239	-165702200.7758152	1
60755.71164675044	-165702200.74608493	1
60755.71174698098	-165702200.7409519	1
60755.71184703958	-165702200.74377537	1
60755.711947217584	-165702200.72151756	1
60755.71204741178	-165702200.6982966	1
60755.71214760134	-165702200.69687015	1
60755.71224772154	-165702200.71545905	1
60755.71234788283	-165702200.7227906	1
60755.71244804125	-165702200.73297322	1
60755.71254822002	-165702200.75986397	1
60755.71264845414	-165702200.7775529	1
60755.712748553495	-165702200.73786807	1
60755.71284863777	-165702200.71041286	1
60755.71294882414	-165702200.77501237	1
60755.71304900121	-165702200.73584384	1
60755.71314921518	-165702200.74190027	1
60755.71324932269	-165702200.7355833	1
60755.71334953279	-165702200.77772892	1
60755.713449696756	-165702200.7994969	1
60755.713549819935	-165702200.75441426	1
60755.71364988764	-165702200.7727911	1
60755.71375022508	-165702200.73773378	1
60755.7138502917	-165702200.70059967	1
60755.713950485195	-165702200.73403972	1
60755.71405055009	-165702200.75382173	1
60755.71415078081	-165702200.71839732	1
60755.71425086386	-165702200.7472028	1
60755.714351124625	-165702200.752298	1
60755.71445129047	-165702200.7582391	1
60755.71455138169	-165702200.7781663	1
60755.714651516915	-165702200.8129812	1
60755.71475179732	-165702200.8014601	1
60755.71485181914	-165702200.78440416	1
60755.71495205303	-165702200.77830726	1
60755.71505223385	-165702200.77235824	1
60755.715152399665	-165702200.6922304	1
60755.71525244457	-165702200.6883508	1
60755.715352709594	-165702200.7176283	1
60755.71545286678	-165702200.70566612	1
60755.71555302629	-165702200.69507515	1
60755.71565312661	-165702200.72907418	1
60755.715753411656	-165702200.74219495	1
60755.71585341739	-165702200.71525306	1
60755.71595362512	-165702200.70027554	1
60755.71605387299	-165702200.72545046	1
60755.71615394674	-165702200.69931793	1
60755.71625409388	-165702200.7175297	1
60755.71635428818	-165702200.7267986	1
60755.71645444452	-165702200.69233763	1
60755.71655456515	-165702200.70687777	1
60755.716654790136	-165702200.70868772	1
60755.716754902256	-165702200.71680367	1
60755.716855066	-165702200.73319602	1
60755.71695522138	-165702200.70933956	1
60755.71705539906	-165702200.6959198	1
60755.71715553239	-165702200.7404378	1
60755.71725581039	-165702200.7258991	1
60755.717355881185	-165702200.74769068	1
60755.71745606962	-165702200.70162696	1
60755.717556173375	-165702200.73699307	1
60755.71765636529	-165702200.74118412	1
60755.71775652495	-165702200.7287501	1
60755.71785680442	-165702200.71709937	1
60755.71795688269	-165702200.7230295	1
60755.718056967184	-165702200.75303012	1
60755.71815722391	-165702200.72367543	1
60755.71825730437	-165702200.7127424	1
60755.71835744083	-165702200.72922415	1
60755.718457716626	-165702200.75275028	1
60755.71855783533	-165702200.7233109	1
60755.718657934136	-165702200.67109215	1
60755.71875803446	-165702200.73114437	1
60755.71885830893	-165702200.72438437	1
60755.718958499834	-165702200.67436355	1
60755.71905863905	-165702200.6771869	1
60755.719158732594	-165702200.65472567	1
60755.71925893544	-165702200.68365932	1
60755.71935910219	-165702200.72591424	1
60755.71945927796	-165702200.71083707	1
60755.71955941244	-165702200.66095406	1
60755.719659534785	-165702200.69810355	1
60755.7197597743	-165702200.68597496	1
60755.71985982026	-165702200.7074299	1
60755.71995997707	-165702200.71644646	1
60755.72006017054	-165702200.6898439	1
60755.720160426405	-165702200.7149005	1
60755.72026048433	-165702200.7182998	1
60755.72036063565	-165702200.67646408	1
60755.72046094086	-165702200.685439	1
60755.720560936206	-165702200.69413072	1
60755.72066116209	-165702200.6797849	1
60755.72076130815	-165702200.6879683	1
60755.7208614685	-165702200.68762946	1
60755.72096166338	-165702200.6784622	1
60755.721061839795	-165702200.67906606	1
60755.72116199768	-165702200.71089625	1
60755.72126212088	-165702200.72030818	1
60755.72136228347	-165702200.67234313	1
60755.72146243465	-165702200.66338223	1
60755.721562607556	-165702200.68358755	1
60755.7216627713	-165702200.69099742	1
60755.72176293664	-165702200.69432724	1
60755.72186311462	-165702200.66468358	1
60755.72196326383	-165702200.66313773	1
60755.72206340883	-165702200.6659013	1
60755.72216354934	-165702200.70399517	1
60755.72226368085	-165702200.70631105	1
60755.72236387157	-165702200.72566462	1
60755.7224640905	-165702200.73282284	1
60755.722564165	-165702200.74875528	1
60755.72266434983	-165702200.7659825	1
60755.72276459618	-165702200.72305673	1
60755.72286475258	-165702200.7460751	1
60755.72296486138	-165702200.73952413	1
60755.723064935526	-165702200.70324117	1
60755.72316518185	-165702200.71618658	1
60755.72326533566	-165702200.74919903	1
60755.723365513135	-165702200.70188814	1
60755.72346568477	-165702200.73251855	1
60755.723565794586	-165702200.71970093	1
60755.723665893944	-165702200.718404	1
60755.72376608791	-165702200.77790987	1
60755.72386627811	-165702200.7596193	1
60755.72396647531	-165702200.76789212	1
60755.72406663201	-165702200.73067164	1
60755.724166756154	-165702200.74292147	1
60755.7242669453	-165702200.77782857	1
60755.724367066774	-165702200.77426636	1
60755.72446718796	-165702200.73803836	1
60755.724567480676	-165702200.74748242	1
60755.72466754574	-165702200.73458242	1
60755.72476775926	-165702200.7486331	1
60755.72486787661	-165702200.74449855	1
60755.72496802009	-165702200.7479241	1
60755.72506821032	-165702200.75749618	1
60755.725168336074	-165702200.7556764	1
60755.72526855656	-165702200.73830938	1
60755.725368779706	-165702200.73898262	1
60755.725468949306	-165702200.7497595	1
60755.725568989255	-165702200.7173301	1
