# Readme Information 
# Data taken on 250321, analyzed on 26-Mar-2025 by script Saveshifts_forTara_v3_250321.m.
# Gravitational Redshift Corrected to Marker on floor of 1G104 labeled 811G104 
# Frequencies units of Hz. Maser ST008 references all synthesizers.
# v_yb_ideal=2*v_comb+f_shift 
# f_shift includes: Blackbody radation based on real time temperature measurement (avg shift = -1.2275), 2nd order zeeman based on real time B field measurement by atoms (avg shift = NaN), background gas collisions (avg shift = -0.0016), lattice AC stark shift (avg shift = -0.0007), probe AC stark shift (avg shift = 0.0000), graviational red shift (avg shift = 0.0803), and AOMs between atoms and combs (shift of 63000000)
# Run Duration 1.582954e+04 s, uptime fraction 9.379984e-01. 
t_mjd	   f_shift [Hz]  	IS_GOOD
   6.0755804765870002e+04	   6.3000001373708650e+07	   1.0000000000000000e+00	
   6.0755804772230003e+04	   6.3000001376120791e+07	   1.0000000000000000e+00	
   6.0755804782530002e+04	   6.3000001385810845e+07	   1.0000000000000000e+00	
   6.0755804792820003e+04	   6.3000001404691897e+07	   1.0000000000000000e+00	
   6.0755804803100000e+04	   6.3000001420474134e+07	   1.0000000000000000e+00	
   6.0755804813399998e+04	   6.3000001432885006e+07	   1.0000000000000000e+00	
   6.0755804823680002e+04	   6.3000001431436524e+07	   1.0000000000000000e+00	
   6.0755804833959999e+04	   6.3000001429544620e+07	   1.0000000000000000e+00	
   6.0755804844270002e+04	   6.3000001425658427e+07	   1.0000000000000000e+00	
   6.0755804854529997e+04	   6.3000001425863884e+07	   1.0000000000000000e+00	
   6.0755804864840000e+04	   6.3000001424710639e+07	   1.0000000000000000e+00	
   6.0755804875110000e+04	   6.3000001425130464e+07	   1.0000000000000000e+00	
   6.0755804885420002e+04	   6.3000001432199962e+07	   1.0000000000000000e+00	
   6.0755804895690002e+04	   6.3000001440635197e+07	   1.0000000000000000e+00	
   6.0755804905980003e+04	   6.3000001448688425e+07	   1.0000000000000000e+00	
   6.0755804916269997e+04	   6.3000001459474266e+07	   1.0000000000000000e+00	
   6.0755804926570003e+04	   6.3000001470060430e+07	   1.0000000000000000e+00	
   6.0755804936850000e+04	   6.3000001484429322e+07	   1.0000000000000000e+00	
   6.0755804947140001e+04	   6.3000001502202205e+07	   1.0000000000000000e+00	
   6.0755804957430002e+04	   6.3000001512180716e+07	   1.0000000000000000e+00	
   6.0755804967720003e+04	   6.3000001519382440e+07	   1.0000000000000000e+00	
   6.0755804978009997e+04	   6.3000001519734144e+07	   1.0000000000000000e+00	
   6.0755804988299999e+04	   6.3000001511121035e+07	   1.0000000000000000e+00	
   6.0755804998590000e+04	   6.3000001495577589e+07	   1.0000000000000000e+00	
   6.0755805008880001e+04	   6.3000001482491158e+07	   1.0000000000000000e+00	
   6.0755805019170002e+04	   6.3000001469644301e+07	   1.0000000000000000e+00	
   6.0755805029460003e+04	   6.3000001456801273e+07	   1.0000000000000000e+00	
   6.0755805039740000e+04	   6.3000001442721099e+07	   1.0000000000000000e+00	
   6.0755805050039999e+04	   6.3000001428686306e+07	   1.0000000000000000e+00	
   6.0755805060330000e+04	   6.3000001425640181e+07	   1.0000000000000000e+00	
   6.0755805070620001e+04	   6.3000001430222973e+07	   1.0000000000000000e+00	
   6.0755805080910002e+04	   6.3000001437167324e+07	   1.0000000000000000e+00	
   6.0755805091200004e+04	   6.3000001439850114e+07	   1.0000000000000000e+00	
   6.0755805101489997e+04	   6.3000001437674880e+07	   1.0000000000000000e+00	
   6.0755805111770002e+04	   6.3000001427921139e+07	   1.0000000000000000e+00	
   6.0755805122070000e+04	   6.3000001421184868e+07	   1.0000000000000000e+00	
   6.0755805132360001e+04	   6.3000001415468678e+07	   1.0000000000000000e+00	
   6.0755805142650002e+04	   6.3000001405898690e+07	   1.0000000000000000e+00	
   6.0755805152920002e+04	   6.3000001398879148e+07	   1.0000000000000000e+00	
   6.0755805163210003e+04	   6.3000001397341087e+07	   1.0000000000000000e+00	
   6.0755805173510002e+04	   6.3000001396188773e+07	   1.0000000000000000e+00	
   6.0755805183800003e+04	   6.3000001394121893e+07	   1.0000000000000000e+00	
   6.0755805194100001e+04	   6.3000001394222021e+07	   1.0000000000000000e+00	
   6.0755805204390002e+04	   6.3000001391377702e+07	   1.0000000000000000e+00	
   6.0755805214669999e+04	   6.3000001385698088e+07	   1.0000000000000000e+00	
   6.0755805224960000e+04	   6.3000001381403923e+07	   1.0000000000000000e+00	
   6.0755805235259999e+04	   6.3000001378561325e+07	   1.0000000000000000e+00	
   6.0755805245540003e+04	   6.3000001373646356e+07	   1.0000000000000000e+00	
   6.0755805255840001e+04	   6.3000001374284402e+07	   1.0000000000000000e+00	
   6.0755805266140000e+04	   6.3000001370810576e+07	   1.0000000000000000e+00	
   6.0755805276419997e+04	   6.3000001365334667e+07	   1.0000000000000000e+00	
   6.0755805286700001e+04	   6.3000001364342317e+07	   1.0000000000000000e+00	
   6.0755805297010003e+04	   6.3000001366579555e+07	   1.0000000000000000e+00	
   6.0755805307280003e+04	   6.3000001372982837e+07	   1.0000000000000000e+00	
   6.0755805317569997e+04	   6.3000001384917051e+07	   1.0000000000000000e+00	
   6.0755805327859998e+04	   6.3000001396159746e+07	   1.0000000000000000e+00	
   6.0755805338149999e+04	   6.3000001400833383e+07	   1.0000000000000000e+00	
   6.0755805348440001e+04	   6.3000001408824168e+07	   1.0000000000000000e+00	
   6.0755805358739999e+04	   6.3000001415782467e+07	   1.0000000000000000e+00	
   6.0755805369020003e+04	   6.3000001418042257e+07	   1.0000000000000000e+00	
   6.0755805379309997e+04	   6.3000001420421369e+07	   1.0000000000000000e+00	
   6.0755805389599998e+04	   6.3000001415515050e+07	   1.0000000000000000e+00	
   6.0755805399890000e+04	   6.3000001409889497e+07	   1.0000000000000000e+00	
   6.0755805410250003e+04	   6.3000001410296626e+07	   1.0000000000000000e+00	
   6.0755805420470002e+04	   6.3000001407388732e+07	   1.0000000000000000e+00	
   6.0755805430760003e+04	   6.3000001396999508e+07	   1.0000000000000000e+00	
   6.0755805441040000e+04	   6.3000001395117350e+07	   1.0000000000000000e+00	
   6.0755805451339998e+04	   6.3000001392626643e+07	   1.0000000000000000e+00	
   6.0755805461639997e+04	   6.3000001391878687e+07	   1.0000000000000000e+00	
   6.0755805471909996e+04	   6.3000001389166281e+07	   1.0000000000000000e+00	
   6.0755805482199998e+04	   6.3000001392216049e+07	   1.0000000000000000e+00	
   6.0755805492489999e+04	   6.3000001399041168e+07	   1.0000000000000000e+00	
   6.0755805502789997e+04	   6.3000001400223345e+07	   1.0000000000000000e+00	
   6.0755805513059997e+04	   6.3000001399400979e+07	   1.0000000000000000e+00	
   6.0755805523360003e+04	   6.3000001391445979e+07	   1.0000000000000000e+00	
   6.0755805533660001e+04	   6.3000001380453452e+07	   1.0000000000000000e+00	
   6.0755805543950002e+04	   6.3000001375733860e+07	   1.0000000000000000e+00	
   6.0755805554240003e+04	   6.3000001383247472e+07	   1.0000000000000000e+00	
   6.0755805564529997e+04	   6.3000001406267397e+07	   1.0000000000000000e+00	
   6.0755805574810001e+04	   6.3000001436317146e+07	   1.0000000000000000e+00	
   6.0755805585100003e+04	   6.3000001463047832e+07	   1.0000000000000000e+00	
   6.0755805595389997e+04	   6.3000001475328580e+07	   1.0000000000000000e+00	
   6.0755805605679998e+04	   6.3000001477373876e+07	   1.0000000000000000e+00	
   6.0755805615969999e+04	   6.3000001468692057e+07	   1.0000000000000000e+00	
   6.0755805626260000e+04	   6.3000001465096593e+07	   1.0000000000000000e+00	
   6.0755805636539997e+04	   6.3000001468290634e+07	   1.0000000000000000e+00	
   6.0755805646859997e+04	   6.3000001474488936e+07	   1.0000000000000000e+00	
   6.0755805657129997e+04	   6.3000001484828725e+07	   1.0000000000000000e+00	
   6.0755805667419998e+04	   6.3000001491857886e+07	   1.0000000000000000e+00	
   6.0755805677700002e+04	   6.3000001492178641e+07	   1.0000000000000000e+00	
   6.0755805687990003e+04	   6.3000001482938386e+07	   1.0000000000000000e+00	
   6.0755805698279997e+04	   6.3000001467232659e+07	   1.0000000000000000e+00	
   6.0755805708569998e+04	   6.3000001458893768e+07	   1.0000000000000000e+00	
   6.0755805718860000e+04	   6.3000001457181178e+07	   1.0000000000000000e+00	
   6.0755805729150001e+04	   6.3000001461197861e+07	   1.0000000000000000e+00	
   6.0755805739429998e+04	   6.3000001465595610e+07	   1.0000000000000000e+00	
