The recommended value Yb+(E3) = 642121496772645.0 Hz has been assumed. 

CSF1

mjd mean	mjd start	mjd end	Yb+(E3)-CSF1(1E-15)	uA	uB(CSF1)
57856.5	57854.6	57858.4	-0.072	0.797	0.154
57862.6	57860.7	57864.5	-1.016	0.837	0.133
57867.3	57866.5	57868.0	1.229	1.325	0.230
57980.5	57979.7	57981.3	-1.288	0.928	0.177
57984.5	57982.6	57986.3	-0.920	0.596	0.172
57992.3	57990.7	57993.9	-0.234	0.682	0.143
58004.9	58004.6	58005.1	-2.849	1.666	0.132
58009.3	58006.2	58012.4	-0.371	0.460	0.144
58017.5	58014.3	58020.7	0.194	0.480	0.134
58027.1	58021.8	58032.4	0.244	0.361	0.135
58034.0	58033.6	58034.5	0.802	1.216	0.149
58289.7	58287.0	58292.4	0.584	0.528	0.136
58360.4	58359.0	58361.8	0.515	0.705	0.190
58456.6	58454.7	58458.4	0.709	0.675	0.142
58463.4	58462.4	58464.4	-0.468	0.905	0.135
58505.1	58504.5	58505.7	-0.376	1.115	0.154
58512.6	58511.6	58513.6	1.369	0.909	0.184
58537.2	58535.4	58539.0	0.442	0.663	0.166
58564.4	58563.8	58565.0	0.837	1.064	0.141
58568.2	58567.4	58569.0	-0.286	0.927	0.132
58627.4	58626.4	58628.4	-0.150	0.885	0.148
58631.8	58630.3	58633.3	0.214	0.680	0.183
58712.5	58710.7	58714.3	-0.094	0.568	0.178
58754.1	58752.6	58755.5	0.017	0.657	0.162
58766.2	58764.3	58768.1	0.630	0.625	0.171
58773.2	58770.3	58776.1	-0.459	0.475	0.173
58779.9	58778.7	58781.1	1.121	0.737	0.170
58785.9	58784.7	58787.0	-0.321	0.796	0.173
58795.6	58794.6	58796.5	1.568	0.869	0.167
58801.4	58798.8	58804.1	-0.465	0.551	0.165
58807.2	58805.5	58809.0	-0.768	0.685	0.165
58813.4	58812.7	58814.0	-1.475	1.134	0.165

Weighted average: Yb+(E3)-CSF1 = 0.01(19) 1E-15. 
Weighted average of uB(CSF1) = 0.16E-15, uA=0.12E-15, uB(Yb+(E3))=3E-18
CSF2

mjd mean	mjd start	mjd end	Yb+(E3)-CSF2(1E-15)	uA	uB(CSF2)
57856.1	57853.7	57858.4	0.172	0.227	0.199
57862.6	57860.7	57864.5	0.146	0.283	0.199
57867.3	57866.5	57868.0	0.830	0.480	0.199
57874.8	57870.5	57879.0	-0.077	0.203	0.199
57882.8	57879.0	57886.7	0.511	0.231	0.198
57890.2	57889.5	57890.9	0.843	0.400	0.199
57977.8	57974.4	57981.3	0.345	0.187	0.198
57984.5	57982.6	57986.3	0.591	0.246	0.198
57994.1	57990.7	57997.4	0.332	0.204	0.198
58003.4	58001.7	58005.1	0.628	0.318	0.198
58009.3	58006.2	58012.4	0.287	0.196	0.199
58017.5	58014.3	58020.7	0.034	0.212	0.198
58027.1	58021.8	58032.4	0.257	0.169	0.198
58034.0	58033.6	58034.5	-0.166	0.555	0.198
58232.9	58228.3	58237.5	0.445	0.155	0.175
58282.5	58280.5	58284.5	0.161	0.239	0.178
58289.9	58287.4	58292.4	0.259	0.204	0.177
58304.3	58302.6	58306.0	0.587	0.265	0.179
58360.4	58359.0	58361.8	0.066	0.274	0.178
58456.6	58454.7	58458.4	0.454	0.294	0.173
58463.4	58462.4	58464.4	0.332	0.361	0.174
58505.1	58504.5	58505.7	0.892	0.457	0.173
58512.6	58511.6	58513.6	0.756	0.371	0.174
58537.5	58535.4	58539.5	0.371	0.268	0.174
58564.4	58563.8	58565.0	0.259	0.450	0.176
58569.4	58567.4	58571.4	0.329	0.242	0.176
58584.5	58583.7	58585.3	-0.357	0.386	0.176
58627.3	58626.4	58628.3	-0.246	0.433	0.173
58631.8	58630.3	58633.2	0.832	0.326	0.172
58635.0	58634.4	58635.7	0.027	0.484	0.172
58663.3	58656.8	58669.8	0.240	0.157	0.173
58674.8	58672.3	58677.2	0.315	0.251	0.173
58712.5	58710.7	58714.3	0.065	0.263	0.173
58754.1	58752.6	58755.5	0.019	0.314	0.171
58766.2	58764.3	58768.1	-0.130	0.325	0.171
58773.2	58770.3	58776.1	0.480	0.227	0.171
58779.9	58778.7	58781.1	0.016	0.383	0.171
58785.9	58784.7	58787.0	0.199	0.376	0.171
58795.6	58794.6	58796.5	0.401	0.391	0.171
58801.4	58798.8	58804.1	-0.106	0.260	0.171
58807.2	58805.5	58809.0	-0.057	0.347	0.171
58814.8	58812.7	58816.9	-0.286	0.311	0.171
58822.6	58820.5	58824.8	0.659	0.317	0.170
58827.2	58826.5	58828.0	0.382	0.491	0.171
58830.4	58829.8	58830.9	-0.048	0.533	0.172

Weighted average: Yb+(E3)-CSF2 = 0.27(19) 1E-15. 
Weighted average of uB(CSF2) = 0.18E-15, uA=0.04E-15, uB(Yb+(E3))=3E-18

Combining both results gives Yb+(E3) = 0.15(14) 1E-15 corresponding to
f(Yb+(E3)) = = 642121496772645.10(09) Hz
