Al/Sr = 2.611701431781463025
offset = ( 2024ratio - 2020ratio ) / 2020ratio
mjd	offset from 2020 ratio
60424.739122	2.127478820754781e-16
60424.739134	-1.1390234746304335e-15
60424.739146	-1.1399127093839696e-15
60424.739158	-1.6807476482006637e-15
60424.739171	-2.1087436084703417e-15
60424.739183	-1.5095766061072093e-15
60424.739195	-8.545248782238081e-16
60424.739207	1.7914217565706386e-16
60424.739219	-1.3936762871118915e-16
60424.739232	3.6789213188684195e-16
60424.739244	-5.861081784022571e-16
60424.739256	-8.076196543087452e-16
60424.739268	-8.244965956813792e-16
60424.73928	-1.7510660111560074e-15
60424.739293	-1.5043591915412934e-15
60424.739306	7.481646851842372e-16
60424.739318	1.4660088989687306e-15
60424.73933	1.0226568809920108e-15
60424.739342	1.0986735580643127e-15
60424.739354	1.6694783235095469e-15
60424.739367	1.6776662351248548e-15
60424.739379	2.1638869009426224e-15
60424.739391	1.5349869679220866e-15
60424.739403	1.3932018374175574e-15
60424.739415	1.4754869559647461e-15
60424.739428	1.078932601996516e-15
60424.73944	1.020931188089233e-15
60424.739452	1.3985782651562452e-15
60424.739464	5.200484116071235e-16
60424.739476	-6.587588741617549e-16
60424.739489	-1.7507770054944815e-16
60424.739501	-6.962589350305791e-16
60424.739513	-2.6741209194215406e-16
60424.739525	1.8801134064285623e-15
60424.739537	1.508718272111324e-15
60424.73955	1.3797361428706845e-15
60424.739562	1.1249068244393541e-15
60424.739574	1.1765435225407949e-15
60424.739586	9.684186181709898e-16
60424.739598	7.7591561637952425e-16
60424.739611	-1.1775343687510506e-15
60424.739623	-7.468583548907041e-16
60424.739635	-7.140384506505274e-16
60424.739647	1.3682032266228826e-15
60424.739659	1.6150312606728103e-15
60424.739672	8.465255283943181e-16
60424.739684	1.260315283879825e-15
60424.739696	1.117279078014522e-15
60424.739708	7.972282534714419e-16
60424.73972	9.569976355709022e-16
60424.739733	1.2211956481034224e-15
60424.739745	1.2721569995206916e-15
60424.739757	1.2862420826003865e-15
60424.739769	8.573376450686726e-16
60424.739782	1.2037603442337378e-15
60424.739794	2.6967374951798613e-16
60424.739806	2.5281203630524668e-17
60424.739818	-1.468008106295978e-16
60424.73983	-1.6301098128954272e-16
60424.739843	3.076682185983642e-16
60424.739855	-1.0224779834379818e-16
60424.739867	-9.240826054951391e-16
60424.739879	-4.1134173426677255e-16
60424.739891	-5.798477065542759e-16
60424.739904	-7.593321616706691e-16
60424.739916	-7.882042285372732e-16
60424.739928	7.006270161994968e-16
60424.73994	-6.293340193518464e-17
60424.739952	-8.075939791614316e-16
60424.739965	-1.3419278777667956e-15
60424.739977	-7.315725147781271e-16
60424.739989	-6.247486816856525e-16
60424.740001	-2.2707776177932766e-15
60424.740013	-3.3599353573020783e-15
60424.740026	-3.837254559795939e-15
60424.740038	-3.224420412682017e-15
60424.74005	-1.7596705524582923e-15
60424.740062	1.2715221653168946e-16
60424.740074	3.7272667576400617e-16
60424.740087	1.1058426464701144e-15
60424.740099	7.497657628997508e-16
60424.740111	5.101496675116447e-16
60424.740123	3.8294829459728547e-16
60424.740136	-1.6652408452498475e-17
60424.740148	4.077780440567276e-16
60424.74016	1.577079365626603e-16
60424.740172	2.3206351020360986e-16
60424.740184	-1.145449369680218e-15
60424.740197	-1.4531475513095965e-15
60424.740209	-1.1964300642377042e-15
60424.740221	6.26578644537011e-16
60424.740233	6.956544850093057e-16
60424.740245	4.122731300348335e-16
60424.740258	-2.2056985193826805e-16
60424.74027	2.1184766872513494e-16
60424.740282	-1.7787905137422813e-16
60424.740294	-2.061419689270399e-16
60424.740306	1.1212835159206828e-15
60424.740319	7.029043827769401e-16
60424.740331	5.015408021714502e-16
60424.740343	-6.015174324866909e-16
60424.740355	-1.0623344947172963e-15
60424.740368	-1.163509434321997e-16
60424.74038	-2.5099930055284076e-17
60424.740392	-1.7417599042269236e-15
60424.740404	-1.7676747340663487e-15
60424.740416	1.9203444281450568e-17
60424.740429	1.5019173723638042e-16
60424.740441	-4.982255483592662e-18
60424.740453	-2.8750966531798857e-16
60424.740465	-4.743989035319692e-16
60424.740477	-7.201677387372904e-16
60424.74049	-4.00688977856549e-16
60424.740502	-3.667627386973655e-16
60424.740514	-5.392179229520133e-16
60424.740526	-6.239754371491885e-16
60424.740538	-6.203936618244267e-16
60424.740551	-1.6149973999910633e-16
60424.740563	3.635347796751699e-17
60424.740575	-1.311392940901289e-16
60424.740587	6.943978075939392e-16
60424.7406	8.363876348718032e-16
60424.740612	7.5211165015946745e-16
60424.740624	1.4048640991996112e-15
60424.740636	1.4895383805971429e-15
60424.740648	9.229047839954965e-16
60424.740661	1.5894693692775668e-15
60424.740673	1.6717032084620493e-15
60424.740685	1.5106263010438658e-15
60424.740697	1.2410145048835764e-15
60424.740709	9.161823318532453e-16
60424.740722	4.615117175391805e-16
60424.740734	2.765801242028966e-16
60424.740746	4.464070106772283e-16
60424.740758	-2.774158367994591e-16
60424.74077	-1.436355813160919e-16
60424.740783	-6.478364068073828e-16
60424.740795	-9.688214823748365e-16
60424.740807	-7.90706129391439e-17
60424.740819	-1.68175065160646e-16
60424.740831	-8.262373339547809e-16
60424.740844	-8.392342544710156e-16
60424.740856	-8.461886171358976e-16
60424.740868	-3.894389632988136e-16
60424.74088	-1.0827556326950094e-15
60424.740892	-1.9189176600215435e-15
60424.740905	-1.368686065886075e-15
60424.740917	-1.4326079562960847e-16
60424.740929	6.167388371197938e-16
60424.740941	7.049648162558655e-16
60424.740953	2.380776466281881e-16
60424.740966	4.878720022946398e-16
60424.740978	6.956047739058771e-16
60424.74099	-1.1598558693532436e-16
60424.741002	-1.116888759057081e-16
60424.741014	-4.722732518849456e-17
60424.741027	2.949983287693308e-17
60424.741039	1.0379901196848748e-15
60424.741051	5.857674132519341e-16
60424.741063	-6.81615752475476e-16
60424.741076	-2.420009857958703e-15
60424.741088	-3.178814894347651e-15
60424.7411	-1.982852172279364e-15
60424.741112	-3.8691547616287994e-16
60424.741124	1.964616213730108e-16
60424.741136	-5.746906447323919e-16
60424.741149	-1.0048081643980153e-15
60424.741161	-1.7552477167936041e-15
60424.741173	-1.4622587909231416e-15
60424.741185	4.689087266516742e-16
60424.741197	7.258110410423118e-16
60424.74121	1.0343538476116455e-15
60424.741222	3.248000009665656e-16
60424.741234	-5.1591801157795866e-17
60424.741246	-7.948640137689779e-16
60424.741258	-9.749749145292301e-16
60424.741271	1.959572482341174e-16
60424.741283	-2.3015809941375336e-16
60424.741295	-1.2329500038450203e-15
60424.741307	-1.1832648201747386e-15
60424.741319	-8.60963592835428e-17
60424.741332	2.324284950963699e-17
60424.741344	-2.5055622564335133e-15
60424.741356	-2.1596097246873027e-15
60424.741368	-1.9696191221912363e-15
60424.74138	-1.7131519786333629e-15
60424.741393	-8.581477044683632e-16
60424.741405	5.151312429175002e-16
60424.741417	1.2524107652925229e-15
60424.741429	9.621262514727832e-16
60424.741441	1.327654785866098e-15
60424.741454	1.2457242571723783e-15
60424.741466	1.6563526022943094e-15
