Al/Sr = 2.162887127516663703
offset = ( 2024ratio - 2020ratio ) / 2020ratio
mjd	offset from 2020 ratio
60424.739122	nan
60424.739134	nan
60424.739146	nan
60424.739158	nan
60424.739171	nan
60424.739183	nan
60424.739195	nan
60424.739207	nan
60424.739219	nan
60424.739232	nan
60424.739244	nan
60424.739256	nan
60424.739268	nan
60424.73928	nan
60424.739293	nan
60424.739306	nan
60424.739318	nan
60424.73933	nan
60424.739342	nan
60424.739354	nan
60424.739367	nan
60424.739379	nan
60424.739391	nan
60424.739403	nan
60424.739415	nan
60424.739428	nan
60424.73944	nan
60424.739452	nan
60424.739464	nan
60424.739476	nan
60424.739489	nan
60424.739501	nan
60424.739513	nan
60424.739525	nan
60424.739537	nan
60424.73955	nan
60424.739562	nan
60424.739574	nan
60424.739586	nan
60424.739598	nan
60424.739611	nan
60424.739623	nan
60424.739635	nan
60424.739647	nan
60424.739659	nan
60424.739672	nan
60424.739684	nan
60424.739696	nan
60424.739708	nan
60424.73972	nan
60424.739733	nan
60424.739745	nan
60424.739757	nan
60424.739769	nan
60424.739782	nan
60424.739794	nan
60424.739806	nan
60424.739818	3.9381066865193484e-16
60424.73983	1.4312525541193088e-16
60424.739843	5.09420177718225e-16
60424.739855	1.0958794251327563e-16
60424.739867	-8.352182257809855e-16
60424.739879	-7.526183370729126e-16
60424.739891	-7.71377600210969e-16
60424.739904	-8.188799604769733e-16
60424.739916	-5.021817088856071e-16
60424.739928	1.0276722855168388e-15
60424.73994	2.650647317464249e-16
60424.739952	-6.701395038460383e-16
60424.739965	-1.2947836336112384e-15
60424.739977	-1.3972129898561788e-15
60424.739989	-1.4532863156613256e-15
60424.740001	-3.239504772696012e-15
60424.740013	-4.428157670534849e-15
60424.740026	-4.594420059012275e-15
60424.740038	-3.773744606082832e-15
60424.74005	-1.9218869846725157e-15
60424.740062	4.2796333447449794e-16
60424.740074	4.741608516578028e-16
60424.740087	1.3061631193906278e-15
60424.740099	9.395075258795927e-16
60424.740111	6.006310113475819e-16
60424.740123	9.359944484844148e-16
60424.740136	-7.123719479892873e-17
60424.740148	2.250388679315167e-16
60424.74016	1.910347992497434e-16
60424.740172	2.7313249268642135e-16
60424.740184	-8.380318554459727e-16
60424.740197	-1.5813249003316976e-15
60424.740209	-1.2125645110557413e-15
60424.740221	1.4065786912250977e-16
60424.740233	9.017946119081393e-17
60424.740245	-1.5755523137967104e-16
60424.740258	-4.794033911790486e-16
60424.74027	-5.0615287634863674e-17
60424.740282	-5.381689288675246e-16
60424.740294	-2.6218201552805307e-16
60424.740306	1.2227123423918131e-15
60424.740319	8.110303639622013e-16
60424.740331	4.738317996310254e-16
60424.740343	-5.791030603747259e-16
60424.740355	-1.0085787951776477e-15
60424.740368	-1.8903834560449106e-16
60424.74038	-2.5069200992589595e-16
60424.740392	-1.45414510354275e-15
60424.740404	-1.6791581790164494e-15
60424.740416	3.174433071624586e-16
60424.740429	-1.1288556350017804e-16
60424.740441	8.783737466010524e-16
60424.740453	9.016314219221666e-16
60424.740465	7.792290634190827e-16
60424.740477	1.3093666423368092e-16
60424.74049	-2.2915474904789337e-16
60424.740502	-4.1112498392644354e-16
60424.740514	-7.301046061599595e-16
60424.740526	-6.972170828694258e-16
60424.740538	-7.788445026685848e-16
60424.740551	-2.8423618035068433e-16
60424.740563	-2.7707458252066505e-16
60424.740575	2.4505785197333023e-17
60424.740587	5.595879709366272e-16
60424.7406	6.453156145931368e-16
60424.740612	5.945122614726427e-16
60424.740624	1.4243001069011012e-15
60424.740636	1.1539090255965155e-15
60424.740648	7.408233850389195e-16
60424.740661	1.5438006172637293e-15
60424.740673	1.5959965225094276e-15
60424.740685	1.629833607546791e-15
60424.740697	1.5003155610601779e-15
60424.740709	1.187590337120914e-15
60424.740722	9.234623684081321e-16
60424.740734	7.211031087580338e-16
60424.740746	4.0449536658184194e-16
60424.740758	-3.4128186975458015e-16
60424.74077	-9.916952309493435e-17
60424.740783	-4.890315517321654e-16
60424.740795	-8.6626054839635405e-16
60424.740807	-3.510795015673557e-16
60424.740819	-3.077245779238529e-16
60424.740831	-1.0907732225415558e-15
60424.740844	-9.72923781644166e-16
60424.740856	-8.428085878739207e-16
60424.740868	-8.611567804874505e-17
60424.74088	-9.120258175353176e-16
60424.740892	-1.7469599651052014e-15
60424.740905	-1.1530766466660131e-15
60424.740917	-1.4994739316025696e-16
60424.740929	6.419812391177599e-16
