08/13/2024	15:54:55	(analyzed:  8/14/2024)
MJD	timer	SDR:frep_ErYb	fo_ErYb	fb_Si_ErYb	fb_Al_ErYb	fb_Yb_ErYb
60535.913147	70.000000	113927.229294	105000000.001200	100000000.001800	22737008.001380	28855440.100520
60535.913159	1127.000000	113927.228982	104999999.999300	99999999.997700	22737008.000690	28855440.099760
60535.913172	2180.000000	113927.229734	105000000.000900	100000000.001100	22737007.999470	28855440.099870
60535.913184	3235.000000	113927.229453	105000000.001400	99999999.999300	22737007.998770	28855440.099890
60535.913196	4292.000000	113927.229097	105000000.000800	99999999.999100	22737007.998630	28855440.099800
60535.913208	5347.000000	113927.229305	104999999.999700	100000000.000800	22737007.998850	28855440.099860
60535.913221	6402.000000	113927.229444	105000000.000100	99999999.999200	22737007.999210	28855440.099920
60535.913233	7455.000000	113927.229449	105000000.000500	100000000.000600	22737007.999990	28855440.100350
60535.913245	8507.000000	113927.229285	105000000.000600	99999999.999600	22737008.000810	28855440.099970
60535.913257	9561.000000	113927.229200	105000000.001200	99999999.999900	22737008.001150	28855440.100250
60535.913269	10617.000000	113927.229286	105000000.000000	100000000.000700	22737008.001300	28855440.099800
60535.913282	11669.000000	113927.229525	105000000.000200	99999999.998700	22737008.001350	28855440.100440
60535.913294	12724.000000	113927.229246	105000000.001400	100000000.000800	22737008.000450	28855440.100710
60535.913306	13777.000000	113927.229158	105000000.001300	100000000.000700	22737007.998960	28855440.099790
60535.913318	14831.000000	113927.229400	105000000.000800	99999999.998800	22737007.998490	28855440.099880
60535.913330	15886.000000	113927.229329	105000000.000400	100000000.000000	22737007.998720	28855440.099860
60535.913343	16943.000000	113927.229299	104999999.999600	99999999.999000	22737007.998870	28855440.099300
60535.913355	17997.000000	113927.229330	105000000.000100	100000000.000300	22737007.999440	28855440.099510
60535.913367	19052.000000	113927.229515	105000000.001100	100000000.001100	22737008.000550	28855440.099970
60535.913379	20105.000000	113927.229230	105000000.001000	99999999.999500	22737008.001190	28855440.099840
60535.913391	21159.000000	113927.229408	105000000.000600	100000000.000600	22737008.001300	28855440.099320
60535.913404	22214.000000	113927.229404	104999999.999600	99999999.999400	22737008.001390	28855440.099890
60535.913416	23268.000000	113927.229309	105000000.001400	99999999.999900	22737008.001260	28855440.099850
60535.913428	24321.000000	113927.229118	104999999.998900	100000000.000500	22737007.999970	28855440.100150
