08/13/2024	10:22:34	(analyzed:  8/14/2024)
MJD	timer	SDR:fb_Al_TiS	SDR:fb_Yb_TiS	SDR:frep_TiS	fo_TiS	fb_Si_TiS
60535.682346	84.000000	nan	nan	NaN	NaN	NaN
60535.682358	1141.000000	43718652.552694	142219736.847848	379043.157452	10000000.000070	640000000.001000
60535.682371	2195.000000	43718652.588305995	142219736.868696	379043.156915	10000000.000050	639999999.998000
60535.682383	3249.000000	43718652.561719	142219736.843593	379043.157146	10000000.000020	640000000.003000
60535.682395	4305.000000	43718652.566206	142219736.842575	379043.157317	9999999.999910	640000000.004000
60535.682407	5372.000000	43718652.580213994	142219736.87503	379043.157410	10000000.000020	639999999.998000
60535.682420	6426.000000	43718652.568078995	142219736.855446	379043.157000	10000000.000060	640000000.005000
60535.682432	7479.000000	43718652.552476	142219736.851586	379043.157180	10000000.000060	639999999.999000
60535.682444	8532.000000	43718652.549407996	142219736.849931	379043.157372	9999999.999950	640000000.004000
60535.682456	9587.000000	43718652.589607	142219736.866773	379043.157363	10000000.000000	639999999.995000
60535.682468	10641.000000	43718652.555860996	142219736.84562	379043.157170	9999999.999950	640000000.003000
60535.682481	11695.000000	43718652.560058	142219736.861346	379043.157207	9999999.999980	640000000.002000
60535.682493	12750.000000	43718652.569426	142219736.841769	379043.157086	10000000.000050	640000000.000000
60535.682505	13804.000000	43718652.588589996	142219736.84906402	379043.157304	10000000.000090	640000000.000000
60535.682517	14857.000000	43718652.582507	142219736.854342	379043.157107	10000000.000040	640000000.000000
60535.682529	15912.000000	43718652.582233	142219736.848338	379043.157374	9999999.999990	640000000.000000
60535.682542	16966.000000	43718652.600091994	142219736.863092	379043.157260	9999999.999930	639999999.998000
60535.682554	18019.000000	43718652.550472	142219736.84998	379043.157348	10000000.000050	640000000.002000
60535.682566	19073.000000	43718652.563019	142219736.839382	379043.157438	9999999.999950	640000000.004000
60535.682578	20127.000000	43718652.571945995	142219736.858523	379043.157180	9999999.999820	639999999.999000
60535.682590	21179.000000	43718652.62624	142219736.866171	379043.157092	10000000.000010	639999999.998000
60535.682602	22232.000000	43718652.582605995	142219736.868372	379043.157253	9999999.999910	639999999.998000
60535.682615	23286.000000	43718652.581684	142219736.85088	379043.157232	10000000.000070	640000000.002000
60535.682627	24339.000000	43718652.573129	142219736.833993	379043.157469	9999999.999940	640000000.001000
60535.682639	25392.000000	43718652.60312799	142219736.86914602	379043.156816	9999999.999930	640000000.000000
60535.682651	26448.000000	43718652.559076995	142219736.828615	379043.157273	10000000.000020	639999999.999000
60535.682663	27501.000000	43718652.607998	142219736.875566	379043.157436	10000000.000010	640000000.001000
60535.682676	28554.000000	43718652.572726	142219736.849934	379043.157304	10000000.000010	640000000.000000
60535.682688	29610.000000	43718652.575610995	142219736.853137	379043.157029	10000000.000060	640000000.001000
60535.682700	30663.000000	43718652.5536	142219736.834065	379043.157074	10000000.000000	640000000.003000
60535.682712	31721.000000	43718652.600116	142219736.876451	379043.157569	9999999.999940	640000000.001000
60535.682725	32777.000000	43718652.586789	142219736.85989502	379043.157089	10000000.000080	639999999.998000
60535.682737	33831.000000	43718652.570301	142219736.855022	379043.157126	10000000.000070	639999999.999000
60535.682749	34885.000000	43718652.589595996	142219736.858394	379043.157308	9999999.999960	640000000.001000
60535.682761	35940.000000	43718652.543038994	142219736.843836	379043.157354	10000000.000010	640000000.000000
60535.682773	36993.000000	43718652.579376996	142219736.842544	379043.157072	10000000.000000	640000000.000000
60535.682786	38047.000000	43718652.595757	142219736.87406102	379043.157249	9999999.999960	640000000.002000
60535.682798	39102.000000	43718652.584735	142219736.851145	379043.157369	9999999.999960	640000000.001000
60535.682810	40156.000000	43718652.549918994	142219736.834056	379043.156967	9999999.999970	640000000.001000
60535.682822	41210.000000	43718652.606837995	142219736.874385	379043.157285	9999999.999850	639999999.999000
60535.682834	42266.000000	43718652.594287	142219736.85626802	379043.157269	10000000.000020	640000000.006000
60535.682847	43319.000000	43718652.561556995	142219736.839565	379043.157357	10000000.000010	640000000.003000
60535.682859	44372.000000	43718652.565772995	142219736.86567202	379043.157364	10000000.000160	640000000.003000
60535.682871	45430.000000	43718652.527255	142219736.8368	379043.156968	10000000.000060	639999999.998000
60535.682883	46484.000000	43718652.536571994	142219736.86000702	379043.157320	10000000.000140	640000000.001000
60535.682895	47540.000000	43718652.568071	142219736.871518	379043.157412	10000000.000060	640000000.004000
60535.682908	48596.000000	43718652.553222	142219736.853157	379043.157062	10000000.000080	640000000.002000
60535.682920	49649.000000	43718652.522391	142219736.82885	379043.157196	9999999.999880	639999999.996000
60535.682932	50702.000000	43718652.540420994	142219736.843711	379043.157165	10000000.000110	640000000.000000
60535.682944	51757.000000	43718652.552287996	142219736.864158	379043.157287	10000000.000050	640000000.002000
60535.682957	52826.000000	43718652.586567	142219736.87633	379043.157241	9999999.999970	640000000.004000
60535.682969	53881.000000	43718652.518005	142219736.82612	379043.156938	9999999.999990	640000000.003000
60535.682981	54936.000000	43718652.577217	142219736.877106	379043.157357	9999999.999970	640000000.002000
60535.682993	55991.000000	43718652.539303	142219736.834319	379043.157407	10000000.000090	639999999.996000
60535.683005	57046.000000	43718652.529929996	142219736.831629	379043.156855	9999999.999990	640000000.002000
60535.683018	58099.000000	43718652.58191	142219736.878773	379043.157462	9999999.999980	639999999.999000
60535.683030	59154.000000	43718652.519682	142219736.83433	379043.157268	9999999.999900	640000000.000000
60535.683042	60209.000000	43718652.560932994	142219736.85833	379043.157159	10000000.000040	640000000.002000
60535.683054	61264.000000	43718652.564195	142219736.854979	379043.157170	10000000.000060	640000000.001000
60535.683066	62319.000000	43718652.550800994	142219736.85504	379043.157229	9999999.999940	640000000.000000
60535.683079	63375.000000	43718652.574806996	142219736.86386302	379043.157009	9999999.999990	640000000.006000
60535.683091	64428.000000	43718652.548838995	142219736.855438	379043.157190	9999999.999970	639999999.997000
60535.683103	65483.000000	43718652.559838995	142219736.853884	379043.157394	9999999.999950	640000000.001000
60535.683115	66538.000000	43718652.523227	142219736.83818	379043.156983	9999999.999920	639999999.999000
60535.683128	67594.000000	43718652.548467994	142219736.84525302	379043.157403	10000000.000080	639999999.998000
60535.683140	68646.000000	43718652.594166994	142219736.875239	379043.157349	10000000.000040	640000000.002000
60535.683152	69702.000000	43718652.51854999	142219736.83307	379043.157149	10000000.000000	639999999.999000
60535.683164	70755.000000	43718652.549833	142219736.869609	379043.157279	10000000.000000	639999999.997000
60535.683176	71809.000000	43718652.603622	142219736.870568	379043.157275	10000000.000040	640000000.004000
60535.683189	72865.000000	43718652.517478995	142219736.841333	379043.157069	10000000.000040	640000000.003000
60535.683201	73921.000000	43718652.554958	142219736.855389	379043.157247	10000000.000090	639999999.999000
60535.683213	74975.000000	43718652.548484996	142219736.83496	379043.157579	10000000.000020	640000000.002000
60535.683225	76030.000000	43718652.552158	142219736.83594	379043.156858	10000000.000040	640000000.001000
60535.683237	77083.000000	43718652.587657996	142219736.859028	379043.157514	10000000.000090	639999999.998000
60535.683250	78138.000000	43718652.569527	142219736.851558	379043.157058	9999999.999980	640000000.001000
60535.683262	79194.000000	43718652.595672	142219736.86435	379043.157525	9999999.999970	640000000.005000
60535.683274	80249.000000	43718652.549394995	142219736.84017	379043.157217	9999999.999920	639999999.998000
60535.683286	81303.000000	43718652.587717	142219736.851816	379043.157216	9999999.999990	640000000.001000
