#Frequency shifts file for ErYb measurement of Al+ frequency
#  Data recorded on 08-13-2024, analyzed on 08-14-2024.
#
#  All shifts are in Hz as referenced to the Al+ resonance near 267.4 nm.
#
#  To calculate the clock frequency use: f_atom = (M/N)*f_comb + f_shift.
#    - Here, M = 4, N = 1, f_comb is the frequency measured at the comb and f_shift is given in the data columns.
#    - Frequencies are not corrected for maser offsets.
#    - Data taken using maser ST008 to reference all synthesizers.
#
#  Static shifts are compiled in static_shifts_MgAl.m for reference.
#
#  First 300 seconds and last 60 seconds of lock times removed.
#
#  Gravitational redshift of the atoms with respect to geodetic marker 1H116 included.
#
#  Total lock duration: 18208.194 s
#
#  Servo parameters:
#    Contrast: Probe -1: 0.81 Probe +1:0.79
#    Servo Error: 0.0019+/-0.0061 Hz
#    Difference between probe beams: -0.00603+/-0.0082 Hz
#
#  Feedback and drift rate compensation applied to fiber-noise aom for ErYb
#    Nominal AOM frequency: 37 MHz
#
#  2nd-order Zeeman shifts calculated based on real-time B-field calibration.
#    Delta_ZS2 = -0.74055+/-0.00025 Hz
#
t_mjd	f_shift [Hz]	IS_GOOD
60535.2500000	204500000.000000	0
60535.2500116	204500000.000000	0
60535.2500231	204500000.000000	0
60535.2500347	204500000.000000	0
60535.2500463	204500000.000000	0
60535.2500579	204500000.000000	0
60535.2500694	204500000.000000	0
60535.2500810	204500000.000000	0
60535.2500926	204500000.000000	0
60535.2501042	204500000.000000	0
60535.2501157	204500000.000000	0
60535.2501273	204500000.000000	0
60535.2501389	204500000.000000	0
60535.2501505	204500000.000000	0
60535.2501620	204500000.000000	0
60535.2501736	204500000.000000	0
60535.2501852	204500000.000000	0
60535.2501968	204500000.000000	0
60535.2502083	204500000.000000	0
60535.2502199	204500000.000000	0
60535.2502315	204500000.000000	0
60535.2502431	204500000.000000	0
60535.2502546	204500000.000000	0
60535.2502662	204500000.000000	0
60535.2502778	204500000.000000	0
60535.2502894	204500000.000000	0
60535.2503009	204500000.000000	0
60535.2503125	204500000.000000	0
60535.2503241	204500000.000000	0
60535.2503356	204500000.000000	0
60535.2503472	204500000.000000	0
60535.2503588	204500000.000000	0
60535.2503704	204500000.000000	0
60535.2503819	204500000.000000	0
60535.2503935	204500000.000000	0
60535.2504051	204500000.000000	0
60535.2504167	204500000.000000	0
60535.2504282	204500000.000000	0
60535.2504398	204500000.000000	0
60535.2504514	204500000.000000	0
60535.2504630	204500000.000000	0
60535.2504745	204500000.000000	0
60535.2504861	204500000.000000	0
60535.2504977	204500000.000000	0
60535.2505093	204500000.000000	0
60535.2505208	204500000.000000	0
60535.2505324	204500000.000000	0
60535.2505440	204500000.000000	0
60535.2505556	204500000.000000	0
60535.2505671	204500000.000000	0
60535.2505787	204500000.000000	0
60535.2505903	204500000.000000	0
60535.2506019	204500000.000000	0
60535.2506134	204500000.000000	0
60535.2506250	204500000.000000	0
60535.2506366	204500000.000000	0
60535.2506481	204500000.000000	0
60535.2506597	204500000.000000	0
60535.2506713	204500000.000000	0
60535.2506829	204500000.000000	0
60535.2506944	204500000.000000	0
60535.2507060	204500000.000000	0
60535.2507176	204500000.000000	0
60535.2507292	204500000.000000	0
60535.2507407	204500000.000000	0
60535.2507523	204500000.000000	0
60535.2507639	204500000.000000	0
60535.2507755	204500000.000000	0
60535.2507870	204500000.000000	0
60535.2507986	204500000.000000	0
60535.2508102	204500000.000000	0
60535.2508218	204500000.000000	0
60535.2508333	204500000.000000	0
60535.2508449	204500000.000000	0
60535.2508565	204500000.000000	0
60535.2508681	204500000.000000	0
60535.2508796	204500000.000000	0
60535.2508912	204500000.000000	0
60535.2509028	204500000.000000	0
60535.2509144	204500000.000000	0
60535.2509259	204500000.000000	0
60535.2509375	204500000.000000	0
60535.2509491	204500000.000000	0
60535.2509606	204500000.000000	0
60535.2509722	204500000.000000	0
60535.2509838	204500000.000000	0
60535.2509954	204500000.000000	0
60535.2510069	204500000.000000	0
60535.2510185	204500000.000000	0
60535.2510301	204500000.000000	0
60535.2510417	204500000.000000	0
60535.2510532	204500000.000000	0
60535.2510648	204500000.000000	0
60535.2510764	204500000.000000	0
60535.2510880	204500000.000000	0
60535.2510995	204500000.000000	0
60535.2511111	204500000.000000	0
60535.2511227	204500000.000000	0
60535.2511343	204500000.000000	0
60535.2511458	204500000.000000	0
60535.2511574	204500000.000000	0
60535.2511690	204500000.000000	0
60535.2511806	204500000.000000	0
60535.2511921	204500000.000000	0
60535.2512037	204500000.000000	0
60535.2512153	204500000.000000	0
60535.2512269	204500000.000000	0
60535.2512384	204500000.000000	0
60535.2512500	204500000.000000	0
60535.2512616	204500000.000000	0
60535.2512731	204500000.000000	0
60535.2512847	204500000.000000	0
60535.2512963	204500000.000000	0
60535.2513079	204500000.000000	0
60535.2513194	204500000.000000	0
60535.2513310	204500000.000000	0
60535.2513426	204500000.000000	0
60535.2513542	204500000.000000	0
60535.2513657	204500000.000000	0
60535.2513773	204500000.000000	0
60535.2513889	204500000.000000	0
60535.2514005	204500000.000000	0
60535.2514120	204500000.000000	0
60535.2514236	204500000.000000	0
60535.2514352	204500000.000000	0
60535.2514468	204500000.000000	0
60535.2514583	204500000.000000	0
60535.2514699	204500000.000000	0
60535.2514815	204500000.000000	0
60535.2514931	204500000.000000	0
60535.2515046	204500000.000000	0
60535.2515162	204500000.000000	0
60535.2515278	204500000.000000	0
60535.2515394	204500000.000000	0
60535.2515509	204500000.000000	0
60535.2515625	204500000.000000	0
60535.2515741	204500000.000000	0
60535.2515856	204500000.000000	0
60535.2515972	204500000.000000	0
60535.2516088	204500000.000000	0
60535.2516204	204500000.000000	0
60535.2516319	204500000.000000	0
60535.2516435	204500000.000000	0
60535.2516551	204500000.000000	0
60535.2516667	204500000.000000	0
60535.2516782	204500000.000000	0
60535.2516898	204500000.000000	0
60535.2517014	204500000.000000	0
60535.2517130	204500000.000000	0
60535.2517245	204500000.000000	0
60535.2517361	204500000.000000	0
60535.2517477	204500000.000000	0
60535.2517593	204500000.000000	0
60535.2517708	204500000.000000	0
60535.2517824	204500000.000000	0
60535.2517940	204500000.000000	0
60535.2518056	204500000.000000	0
60535.2518171	204500000.000000	0
60535.2518287	204500000.000000	0
60535.2518403	204500000.000000	0
60535.2518519	204500000.000000	0
60535.2518634	204500000.000000	0
60535.2518750	204500000.000000	0
60535.2518866	204500000.000000	0
60535.2518981	204500000.000000	0
60535.2519097	204500000.000000	0
60535.2519213	204500000.000000	0
60535.2519329	204500000.000000	0
60535.2519444	204500000.000000	0
60535.2519560	204500000.000000	0
60535.2519676	204500000.000000	0
60535.2519792	204500000.000000	0
60535.2519907	204500000.000000	0
60535.2520023	204500000.000000	0
60535.2520139	204500000.000000	0
60535.2520255	204500000.000000	0
60535.2520370	204500000.000000	0
60535.2520486	204500000.000000	0
60535.2520602	204500000.000000	0
60535.2520718	204500000.000000	0
60535.2520833	204500000.000000	0
60535.2520949	204500000.000000	0
60535.2521065	204500000.000000	0
60535.2521181	204500000.000000	0
60535.2521296	204500000.000000	0
60535.2521412	204500000.000000	0
60535.2521528	204500000.000000	0
60535.2521644	204500000.000000	0
60535.2521759	204500000.000000	0
60535.2521875	204500000.000000	0
60535.2521991	204500000.000000	0
60535.2522106	204500000.000000	0
60535.2522222	204500000.000000	0
60535.2522338	204500000.000000	0
60535.2522454	204500000.000000	0
60535.2522569	204500000.000000	0
60535.2522685	204500000.000000	0
60535.2522801	204500000.000000	0
