08/13/2024	10:22:34	(analyzed:  8/14/2024)
MJD	timer	SDR:frep_ErYb	fo_ErYb	fb_Si_ErYb	fb_Al_ErYb	fb_Yb_ErYb
60535.682346	84.000000	NaN	NaN	NaN	NaN	NaN
60535.682358	1141.000000	113927.229191	104999999.999700	100000000.000300	22737008.000720	28855374.099710
60535.682371	2195.000000	113927.229607	105000000.001200	99999999.999900	22737008.001130	28855374.100190
60535.682383	3249.000000	113927.229450	104999999.999900	99999999.999600	22737008.001440	28855374.100050
60535.682395	4305.000000	113927.229236	105000000.001500	100000000.000600	22737008.001190	28855374.100190
60535.682407	5372.000000	113927.228938	105000000.000300	99999999.997700	22737008.001040	28855374.099710
60535.682420	6426.000000	113927.229584	104999999.999500	99999999.999800	22737007.999750	28855374.100180
60535.682432	7479.000000	113927.229566	105000000.001200	100000000.000700	22737007.998740	28855374.099700
60535.682444	8532.000000	113927.229125	105000000.000900	99999999.999200	22737007.998830	28855374.100470
60535.682456	9587.000000	113927.229207	104999999.999000	100000000.000800	22737007.998710	28855374.100240
60535.682468	10641.000000	113927.229416	105000000.001500	99999999.998700	22737007.998900	28855374.099990
60535.682481	11695.000000	113927.229299	105000000.000700	99999999.999900	22737007.999900	28855374.100290
60535.682493	12750.000000	113927.229468	104999999.999400	100000000.001300	22737008.000710	28855374.099840
60535.682505	13804.000000	113927.229199	105000000.001600	99999999.999300	22737008.001400	28855374.099580
60535.682517	14857.000000	113927.229298	105000000.000300	100000000.000600	22737008.001340	28855374.099760
60535.682529	15912.000000	113927.229386	105000000.000700	99999999.998600	22737008.001150	28855374.100560
60535.682542	16966.000000	113927.229341	105000000.000600	100000000.000300	22737008.000560	28855374.099810
60535.682554	18019.000000	113927.229210	104999999.999300	100000000.000700	22737007.999660	28855374.100140
60535.682566	19073.000000	113927.229078	105000000.001000	99999999.999700	22737007.998870	28855374.100080
60535.682578	20127.000000	113927.229288	105000000.000400	100000000.000400	22737007.998640	28855374.100440
