# Frequency shift file for JILA Sr1 
# for 20240813_clock_lock#0.
# Processed Wed Aug 21 17:28:26 2024 (MT) 
# by Alexander Aeppli(alexander.aeppli@colorado.edu), William Warfield(william.warfield@colorado.edu) 
# ******Applied Corrections******
# point by point corrections: 
#  - servo 
#  - second order zeeman 
#  - density shift 
# DC corrections: 
#  - lattice light 
#  - DC Stark 
#  - BBR 
#  - background gas 
#  - redshift to S1B60V1 
# Total sytematic error (frac.) = ~1e-17
# No MASER corrections have been applied
# To calculate the strontium frequency: 
# f_sr = (N/M)*f_light + f_shift[Hz] 
# where N = 1716882, M = 777577, 
# and f_light is the frequency of the light leaving JILA. 
t_mjd	f_shift [Hz]	IS_GOOD
60535.70504359567	-165702892.42545313	1
60535.705143550906	-165702892.45079726	1
60535.70536835479	-165702892.45161057	1
60535.705468271124	-165702892.45639062	1
60535.70556816626	-165702892.43283474	1
60535.70566809334	-165702892.41460103	1
60535.70576798332	-165702892.390467	1
60535.705867860124	-165702892.44171393	1
60535.705967787595	-165702892.42414474	1
60535.70606760967	-165702892.49230003	1
60535.70618631764	-165702892.46952504	1
60535.706292417264	-165702892.42397636	1
60535.70639235783	-165702892.45091873	1
60535.70649225412	-165702892.43555158	1
60535.70659214857	-165702892.46095902	1
60535.706692091444	-165702892.46537513	1
60535.70679202808	-165702892.51701933	1
60535.70689189681	-165702892.4721825	1
60535.70699178961	-165702892.47916168	1
60535.70709173614	-165702892.46687698	1
60535.70719163727	-165702892.41476756	1
60535.70729149432	-165702892.3873273	1
60535.70739146009	-165702892.41059834	1
60535.70749130282	-165702892.4123829	1
60535.70759125611	-165702892.46478307	1
60535.70769120903	-165702892.46194935	1
60535.707790995024	-165702892.45342416	1
60535.707891027145	-165702892.41769445	1
60535.70799090453	-165702892.36621994	1
60535.70809074621	-165702892.44015962	1
60535.708190710415	-165702892.45387906	1
60535.708290563365	-165702892.42288786	1
60535.70839047148	-165702892.44174188	1
60535.70849033992	-165702892.4146495	1
60535.708590351685	-165702892.42332947	1
60535.70869015482	-165702892.42258942	1
60535.708790134675	-165702892.46058506	1
60535.70888998763	-165702892.4119947	1
60535.70898985819	-165702892.45794135	1
60535.70908980506	-165702892.4427948	1
60535.709189700814	-165702892.43353945	1
60535.709289616534	-165702892.4150101	1
60535.7093895532	-165702892.38388795	1
60535.70948944904	-165702892.3928271	1
60535.70958932438	-165702892.45835078	1
60535.70968922871	-165702892.40844685	1
60535.70978916632	-165702892.43686324	1
60535.70988907148	-165702892.45422798	1
60535.70998892885	-165702892.46667886	1
60535.71121278763	-165702892.37981015	1
60535.711312720494	-165702892.39953983	1
60535.711412604716	-165702892.4088617	1
60535.71151255232	-165702892.4138394	1
60535.71161242224	-165702892.39904034	1
60535.71171237262	-165702892.39123696	1
60535.71181224004	-165702892.38763744	1
60535.71191220019	-165702892.34866512	1
60535.71201206118	-165702892.33870834	1
60535.71211194257	-165702892.3752799	1
60535.71221185096	-165702892.41677403	1
60535.712311762414	-165702892.4040919	1
60535.71241161116	-165702892.39760917	1
60535.71263647895	-165702892.37614864	1
60535.7127364258	-165702892.34728873	1
60535.71283620541	-165702892.3114388	1
60535.71293616534	-165702892.3051074	1
60535.71303604768	-165702892.35589057	1
60535.71313601564	-165702892.3702628	1
60535.71323594854	-165702892.3632096	1
