# Readme Information 
# Data taken on 240813, analyzed on 14-Aug-2024 by script Saveshifts_forTara_v3_240813.m.
# Gravitational Redshift Corrected to Marker on floor of 1G104 labeled 811G104 
# Frequencies units of Hz. Maser ST008 references all synthesizers.
# v_yb_ideal=2*v_comb+f_shift 
# f_shift includes: Blackbody radation based on real time temperature measurement (avg shift = -1.2028), 2nd order zeeman based on real time B field measurement by atoms (avg shift = NaN), background gas collisions (avg shift = -0.0016), lattice AC stark shift (avg shift = -0.0007), probe AC stark shift (avg shift = 0.0000), graviational red shift (avg shift = 0.0803), and AOMs between atoms and combs (shift of 63000000)
# Run Duration 1.762351e+04 s, uptime fraction 6.366916e-01. 
t_mjd	   f_shift [Hz]  	IS_GOOD
   6.0535688094320001e+04	                      NaN	   0.0000000000000000e+00	
   6.0535688101729997e+04	                      NaN	   0.0000000000000000e+00	
   6.0535688111219999e+04	                      NaN	   0.0000000000000000e+00	
   6.0535688121660001e+04	                      NaN	   0.0000000000000000e+00	
   6.0535688132099996e+04	                      NaN	   0.0000000000000000e+00	
   6.0535688142530002e+04	                      NaN	   0.0000000000000000e+00	
   6.0535688152969997e+04	                      NaN	   0.0000000000000000e+00	
   6.0535688163389997e+04	                      NaN	   0.0000000000000000e+00	
   6.0535688173850001e+04	                      NaN	   0.0000000000000000e+00	
   6.0535688184289997e+04	                      NaN	   0.0000000000000000e+00	
   6.0535688194729999e+04	                      NaN	   0.0000000000000000e+00	
   6.0535688205170001e+04	                      NaN	   0.0000000000000000e+00	
   6.0535688215620001e+04	                      NaN	   0.0000000000000000e+00	
   6.0535688226040002e+04	                      NaN	   0.0000000000000000e+00	
   6.0535688236479997e+04	                      NaN	   0.0000000000000000e+00	
   6.0535688246919999e+04	   6.3000001151919514e+07	   0.0000000000000000e+00	
   6.0535688257380003e+04	   6.3000001110766798e+07	   0.0000000000000000e+00	
   6.0535688268639999e+04	   6.3000001069772638e+07	   0.0000000000000000e+00	
   6.0535688278239999e+04	   6.3000001030688114e+07	   0.0000000000000000e+00	
   6.0535688288669997e+04	   6.3000000988913648e+07	   0.0000000000000000e+00	
   6.0535688299119996e+04	   6.3000000944505155e+07	   0.0000000000000000e+00	
   6.0535688309559999e+04	   6.3000000898593210e+07	   0.0000000000000000e+00	
   6.0535688319989997e+04	   6.3000000860529251e+07	   0.0000000000000000e+00	
   6.0535688330440003e+04	   6.3000000832181200e+07	   0.0000000000000000e+00	
   6.0535688340870001e+04	   6.3000000801434681e+07	   0.0000000000000000e+00	
   6.0535688351309997e+04	   6.3000000772333279e+07	   0.0000000000000000e+00	
   6.0535688361760003e+04	   6.3000000741632260e+07	   0.0000000000000000e+00	
   6.0535688372190001e+04	   6.3000000710995294e+07	   0.0000000000000000e+00	
   6.0535688382630004e+04	   6.3000000682963349e+07	   0.0000000000000000e+00	
   6.0535688393069999e+04	   6.3000000656369992e+07	   0.0000000000000000e+00	
   6.0535688403510001e+04	   6.3000000637120634e+07	   0.0000000000000000e+00	
   6.0535688413939999e+04	   6.3000000629617803e+07	   0.0000000000000000e+00	
   6.0535688424389999e+04	   6.3000000623685367e+07	   0.0000000000000000e+00	
   6.0535688434819996e+04	   6.3000000621533692e+07	   0.0000000000000000e+00	
   6.0535688445270003e+04	   6.3000000619235106e+07	   0.0000000000000000e+00	
   6.0535688455709998e+04	   6.3000000616940081e+07	   0.0000000000000000e+00	
   6.0535688466150001e+04	   6.3000000614878163e+07	   0.0000000000000000e+00	
   6.0535688476590003e+04	   6.3000000613395169e+07	   0.0000000000000000e+00	
   6.0535688487029998e+04	   6.3000000609539934e+07	   0.0000000000000000e+00	
   6.0535688497449999e+04	   6.3000000602926739e+07	   0.0000000000000000e+00	
   6.0535688507890001e+04	   6.3000000598897547e+07	   0.0000000000000000e+00	
   6.0535688518329996e+04	   6.3000000599158779e+07	   0.0000000000000000e+00	
   6.0535688528769999e+04	   6.3000000601368368e+07	   0.0000000000000000e+00	
   6.0535688539219998e+04	   6.3000000602653302e+07	   0.0000000000000000e+00	
   6.0535688549650004e+04	   6.3000000606393911e+07	   0.0000000000000000e+00	
   6.0535688560089999e+04	   6.3000000608787209e+07	   0.0000000000000000e+00	
   6.0535688570539998e+04	   6.3000000608845286e+07	   0.0000000000000000e+00	
   6.0535688580970003e+04	   6.3000000605468981e+07	   0.0000000000000000e+00	
   6.0535688591420003e+04	   6.3000000603022441e+07	   0.0000000000000000e+00	
   6.0535688601859998e+04	   6.3000000597074278e+07	   0.0000000000000000e+00	
   6.0535688612290003e+04	   6.3000000591624051e+07	   0.0000000000000000e+00	
   6.0535688622729998e+04	   6.3000000585511178e+07	   0.0000000000000000e+00	
   6.0535688633149999e+04	   6.3000000582334951e+07	   0.0000000000000000e+00	
   6.0535688643579997e+04	   6.3000000580063313e+07	   0.0000000000000000e+00	
   6.0535688654029997e+04	   6.3000000579726413e+07	   0.0000000000000000e+00	
   6.0535688664469999e+04	   6.3000000576829262e+07	   0.0000000000000000e+00	
   6.0535688674919998e+04	   6.3000000579039864e+07	   0.0000000000000000e+00	
   6.0535688685349996e+04	   6.3000000582162574e+07	   0.0000000000000000e+00	
   6.0535688695800003e+04	   6.3000000585768133e+07	   0.0000000000000000e+00	
   6.0535688706239998e+04	   6.3000000586092383e+07	   0.0000000000000000e+00	
   6.0535688716670003e+04	   6.3000000588407844e+07	   0.0000000000000000e+00	
   6.0535688727109999e+04	   6.3000000590335488e+07	   0.0000000000000000e+00	
   6.0535688737559998e+04	   6.3000000590805389e+07	   0.0000000000000000e+00	
   6.0535688748000000e+04	   6.3000000591688804e+07	   0.0000000000000000e+00	
   6.0535688758420001e+04	   6.3000000592377491e+07	   0.0000000000000000e+00	
   6.0535688768870001e+04	   6.3000000595349483e+07	   0.0000000000000000e+00	
   6.0535688779310003e+04	   6.3000000599488437e+07	   0.0000000000000000e+00	
   6.0535688789749998e+04	   6.3000000603251971e+07	   0.0000000000000000e+00	
   6.0535688800190001e+04	   6.3000000606605299e+07	   0.0000000000000000e+00	
   6.0535688810630003e+04	   6.3000000607872061e+07	   0.0000000000000000e+00	
   6.0535688821060001e+04	   6.3000000609275840e+07	   0.0000000000000000e+00	
   6.0535688831500003e+04	   6.3000000607638873e+07	   0.0000000000000000e+00	
   6.0535688841950003e+04	   6.3000000607546747e+07	   0.0000000000000000e+00	
   6.0535688852370004e+04	   6.3000000603979662e+07	   0.0000000000000000e+00	
   6.0535688862809999e+04	   6.3000000603192143e+07	   0.0000000000000000e+00	
   6.0535688873250001e+04	   6.3000000600652926e+07	   0.0000000000000000e+00	
   6.0535688883679999e+04	   6.3000000601074293e+07	   0.0000000000000000e+00	
   6.0535688894129999e+04	   6.3000000602902725e+07	   0.0000000000000000e+00	
   6.0535688904559996e+04	   6.3000002159983441e+07	   0.0000000000000000e+00	
   6.0535688915010003e+04	   6.3000002151553974e+07	   0.0000000000000000e+00	
   6.0535688925449998e+04	   6.3000002138459146e+07	   0.0000000000000000e+00	
   6.0535688935890001e+04	   6.3000002106111586e+07	   0.0000000000000000e+00	
   6.0535688946319999e+04	   6.3000002068227723e+07	   0.0000000000000000e+00	
   6.0535688956769998e+04	   6.3000002060733087e+07	   0.0000000000000000e+00	
   6.0535688967759997e+04	   6.3000002052847825e+07	   0.0000000000000000e+00	
   6.0535688977700003e+04	   6.3000002037033767e+07	   0.0000000000000000e+00	
   6.0535688988089998e+04	   6.3000002022209264e+07	   0.0000000000000000e+00	
   6.0535688998520003e+04	   6.3000002014450200e+07	   0.0000000000000000e+00	
   6.0535689008959998e+04	   6.3000002008135676e+07	   0.0000000000000000e+00	
   6.0535689019400001e+04	   6.3000002011117339e+07	   0.0000000000000000e+00	
   6.0535689029829999e+04	   6.3000002006995305e+07	   0.0000000000000000e+00	
   6.0535689040279998e+04	   6.3000001988684252e+07	   0.0000000000000000e+00	
   6.0535689050720001e+04	   6.3000001974120162e+07	   0.0000000000000000e+00	
   6.0535689061149998e+04	   6.3000001955371283e+07	   0.0000000000000000e+00	
   6.0535689071599998e+04	   6.3000001943489850e+07	   0.0000000000000000e+00	
   6.0535689082040000e+04	   6.3000001942792922e+07	   0.0000000000000000e+00	
   6.0535689092490000e+04	   6.3000001937477984e+07	   0.0000000000000000e+00	
   6.0535689102910001e+04	   6.3000001933228724e+07	   0.0000000000000000e+00	
   6.0535689113350003e+04	   6.3000001931362420e+07	   0.0000000000000000e+00	
   6.0535689123780001e+04	   6.3000001926512048e+07	   0.0000000000000000e+00	
   6.0535689134230000e+04	   6.3000001922501191e+07	   0.0000000000000000e+00	
   6.0535689144659998e+04	   6.3000001919016898e+07	   0.0000000000000000e+00	
   6.0535689155100001e+04	   6.3000001917466924e+07	   0.0000000000000000e+00	
   6.0535689165540003e+04	   6.3000001924039766e+07	   0.0000000000000000e+00	
   6.0535689175979998e+04	   6.3000001930567123e+07	   0.0000000000000000e+00	
   6.0535689186429998e+04	   6.3000001938949361e+07	   0.0000000000000000e+00	
   6.0535689196860003e+04	   6.3000001948396854e+07	   0.0000000000000000e+00	
   6.0535689207299998e+04	   6.3000001957301520e+07	   0.0000000000000000e+00	
   6.0535689217740000e+04	   6.3000001966878235e+07	   0.0000000000000000e+00	
   6.0535689228180003e+04	   6.3000001976623625e+07	   1.0000000000000000e+00	
   6.0535689238619998e+04	   6.3000001982204601e+07	   1.0000000000000000e+00	
   6.0535689249050003e+04	   6.3000001984230362e+07	   1.0000000000000000e+00	
   6.0535689259489998e+04	   6.3000001990063727e+07	   1.0000000000000000e+00	
   6.0535689269930001e+04	   6.3000001998645514e+07	   1.0000000000000000e+00	
   6.0535689280370003e+04	   6.3000002010288157e+07	   1.0000000000000000e+00	
   6.0535689290820002e+04	   6.3000002023475833e+07	   1.0000000000000000e+00	
   6.0535689301259998e+04	   6.3000002034591123e+07	   1.0000000000000000e+00	
   6.0535689311690003e+04	   6.3000002043150529e+07	   1.0000000000000000e+00	
