07/16/2024	11:01:52	(analyzed:  7/19/2024)
MJD	timer	SDR:fb_Al_ErYb	SDR:fb_Yb_ErYb	SDR:frep_ErYb	fo_ErYb	fb_Si_ErYb	fb_Yb_ErYb
60507.70963800	137.00000000	NaN	NaN	NaN	NaN	NaN	NaN
60507.70965000	1197.00000000	22737008.00765400	28855436.80037000	113927.22946200	105000000.00040001	100000000.00139999	28855436.79993000
60507.70966300	2253.00000000	22737007.99591000	28855436.79991600	113927.22965900	105000000.00150000	99999999.99890000	28855436.80015000
60507.70967500	3307.00000000	22737007.99736000	28855436.79975800	113927.22958100	104999999.99950001	99999999.99969999	28855436.79998000
60507.70968700	4364.00000000	22737007.99305500	28855436.80012100	113927.22950600	105000000.00130001	100000000.00100000	28855436.80019000
60507.70969900	5419.00000000	22737008.00240700	28855436.80009100	113927.22951400	105000000.00090000	100000000.00040001	28855436.80014000
60507.70971100	6475.00000000	22737007.99815600	28855436.80002800	113927.22960800	104999999.99969999	100000000.00130001	28855436.80021000
60507.70972400	7529.00000000	22737008.00603300	28855436.79995900	113927.22941200	105000000.00130001	99999999.99879999	28855436.80010000
60507.70973600	8586.00000000	22737008.00209000	28855436.80000000	113927.22940200	105000000.00060000	99999999.99969999	28855436.80005000
60507.70974800	9643.00000000	22737007.99926800	28855436.80029200	113927.22986000	105000000.00080000	100000000.00070000	28855436.80027000
60507.70976000	10697.00000000	22737008.00241500	28855436.80018300	113927.22929400	104999999.99930000	99999999.99920000	28855436.79982000
60507.70977300	11751.00000000	22737008.00174900	28855436.79992500	113927.22956700	105000000.00130001	100000000.00030001	28855436.80016000
60507.70978500	12806.00000000	22737007.99339600	28855436.80012200	113927.22968900	105000000.00100000	99999999.99930000	28855436.79995000
60507.70979700	13862.00000000	22737007.99939800	28855436.79986200	113927.22938800	105000000.00020000	100000000.00000000	28855436.79997000
60507.70980900	14919.00000000	22737008.00602900	28855436.79989300	113927.22964900	104999999.99959999	100000000.00049999	28855436.79986000
60507.70982100	15975.00000000	22737007.98929200	28855436.79991800	113927.22953800	105000000.00030001	99999999.99879999	28855436.79997000
60507.70983400	17030.00000000	22737008.00621500	28855436.79990800	113927.22955900	105000000.00139999	100000000.00030001	28855436.79997000
60507.70984600	18086.00000000	22737008.00404500	28855436.80002900	113927.22942700	105000000.00080000	100000000.00000000	28855436.79999000
60507.70985800	19144.00000000	22737008.00297400	28855436.79956000	113927.22936300	104999999.99959999	100000000.00060000	28855436.80000000
60507.70987000	20199.00000000	22737007.99896000	28855436.80015700	113927.22994000	105000000.00000000	100000000.00040001	28855436.80013000
60507.70988300	21254.00000000	22737008.00071200	28855436.79992600	113927.22949400	105000000.00060000	99999999.99910000	28855436.80019000
60507.70989500	22308.00000000	22737007.99719600	28855436.80013100	113927.22923800	105000000.00110000	100000000.00049999	28855436.80023000
60507.70990700	23364.00000000	22737007.99969200	28855436.79991000	113927.22958600	105000000.00080000	100000000.00040001	28855436.80004000
60507.70991900	24419.00000000	22737008.00051700	28855436.80009000	113927.22956800	105000000.00049999	100000000.00000000	28855436.80008000
60507.70993100	25474.00000000	22737008.00428200	28855436.80001400	113927.22924200	104999999.99969999	100000000.00020000	28855436.79983000
60507.70994400	26529.00000000	22737007.99562300	28855436.79996100	113927.22968600	105000000.00120001	99999999.99820000	28855436.79985000
60507.70995600	27584.00000000	22737008.00107000	28855436.80010700	113927.22957400	104999999.99969999	100000000.00010000	28855436.79989000
60507.70996800	28641.00000000	22737007.99924100	28855436.79991700	113927.22926000	105000000.00010000	100000000.00030001	28855436.79999000
60507.70998000	29698.00000000	22737008.00547800	28855436.79999400	113927.22987900	105000000.00120001	99999999.99910000	28855436.80012000
60507.70999200	30754.00000000	22737007.99313900	28855436.80005800	113927.22973400	105000000.00080000	100000000.00000000	28855436.80020000
