07/16/2024	11:01:52	(analyzed:  7/16/2024)
MJD	timer	SDR:frep_TiS	fo_TiS	fb_Si_TiS	fb_Al_TiS	fb_Yb_TiS
60507.709638	137.000000	NaN	9999999.999940	640000000.004000	43723666.233800	142219674.157100
60507.709650	1197.000000	379043.157117	9999999.999960	640000000.001000	43723665.790700	142219674.159700
60507.709663	2253.000000	379043.156923	9999999.999960	639999999.997000	43723665.496200	142219674.133900
60507.709675	3307.000000	379043.156942	9999999.999860	640000000.001000	43723666.693900	142219674.161800
60507.709687	4364.000000	379043.157050	10000000.000110	640000000.004000	43723665.458100	142219674.150400
60507.709699	5419.000000	379043.157067	9999999.999960	639999999.999000	43723667.259900	142219674.160200
60507.709711	6475.000000	379043.156980	10000000.000080	639999999.999000	43723666.383200	142219674.139600
60507.709724	7529.000000	379043.157145	10000000.000010	639999999.998000	43723666.037300	142219674.154400
60507.709736	8586.000000	379043.157054	10000000.000040	639999999.997000	43723666.440900	142219674.149800
60507.709748	9643.000000	379043.156713	9999999.999970	640000000.003000	43723666.380200	142219674.160200
60507.709760	10697.000000	379043.157284	10000000.000070	640000000.000000	43723666.854900	142219674.148900
60507.709773	11751.000000	379043.157036	9999999.999970	639999999.997000	43723667.119500	142219674.157100
60507.709785	12806.000000	379043.156848	10000000.000010	640000000.002000	43723667.222500	142219674.156700
60507.709797	13862.000000	379043.157121	10000000.000130	640000000.002000	43723666.893000	142219674.137200
60507.709809	14919.000000	379043.156912	10000000.000060	639999999.998000	43723666.740500	142219674.150900
60507.709821	15975.000000	379043.157041	10000000.000070	640000000.000000	43723666.743600	142219674.163300
60507.709834	17030.000000	379043.156996	10000000.000070	640000000.006000	43723667.359400	142219674.155600
60507.709846	18086.000000	379043.157134	9999999.999960	640000000.001000	43723669.067400	142219674.136400
60507.709858	19144.000000	379043.157305	9999999.999860	640000000.000000	43723666.932600	142219674.157200
60507.709870	20199.000000	379043.156609	9999999.999970	639999999.998000	43723668.093000	142219674.157900
60507.709883	21254.000000	379043.157009	9999999.999980	640000000.001000	43723667.237200	142219674.159100
60507.709895	22308.000000	379043.157342	10000000.000000	640000000.003000	43723667.184500	142219674.171500
60507.709907	23364.000000	379043.156974	9999999.999890	639999999.997000	43723668.264600	142219674.146200
60507.709919	24419.000000	379043.156952	10000000.000020	639999999.998000	43723666.744900	142219674.147800
60507.709931	25474.000000	379043.157301	9999999.999960	639999999.997000	43723668.292400	142219674.149400
60507.709944	26529.000000	379043.156847	9999999.999990	640000000.006000	43723667.480000	142219674.154600
60507.709956	27584.000000	379043.157045	9999999.999940	640000000.002000	43723667.594100	142219674.159600
60507.709968	28641.000000	379043.157214	9999999.999970	640000000.004000	43723668.083600	142219674.136200
60507.709980	29698.000000	379043.156812	10000000.000020	639999999.997000	43723667.512700	142219674.126900
60507.709992	30754.000000	379043.156750	10000000.000020	640000000.001000	43723667.899800	142219674.164000
60507.710005	31811.000000	379043.157316	9999999.999960	640000000.001000	43723668.465800	142219674.156800
60507.710017	32866.000000	379043.157364	9999999.999960	640000000.000000	43723669.288400	142219674.170900
60507.710029	33923.000000	379043.156877	9999999.999930	640000000.002000	43723668.354700	142219674.150600
60507.710041	34978.000000	379043.157022	10000000.000020	639999999.998000	43723669.254400	142219674.149300
60507.710054	36033.000000	379043.156889	9999999.999990	640000000.000000	43723668.822500	142219674.152300
60507.710066	37088.000000	379043.156858	10000000.000030	640000000.000000	43723668.453600	142219674.147900
