# Frequency shift file for JILA Sr1 
# for 20240716_clock_lock#0.
# Processed Tue Jul 16 17:34:49 2024 (MT) 
# by Alexander Aeppli(alexander.aeppli@colorado.edu), William Warfield(william.warfield@colorado.edu) 
# ******Applied Corrections******
# point by point corrections: 
#  - servo 
#  - second order zeeman 
#  - density shift 
# DC corrections: 
#  - lattice light 
#  - DC Stark 
#  - BBR 
#  - background gas 
#  - redshift to S1B60V1 
# Total sytematic error (frac.) = ~1e-17
# No MASER corrections have been applied
# To calculate the strontium frequency: 
# f_sr = (N/M)*f_light + f_shift[Hz] 
# where N = 1716682, M = 777577, 
# and f_light is the frequency of the light leaving JILA. 
t_mjd	f_shift [Hz]	IS_GOOD
60507.67953018829	-165702996.84201956	1
60507.6796229105	-165702996.872276	1
60507.679715610524	-165702996.91169173	1
60507.67980825941	-165702996.88099802	1
60507.67990094338	-165702996.85636216	1
60507.67999360097	-165702996.86156482	1
60507.68008630126	-165702996.82870805	1
60507.68017903346	-165702996.82455403	1
60507.68027173969	-165702996.80701238	1
60507.68036444611	-165702996.7738269	1
60507.68045708156	-165702996.80933285	1
60507.680549806246	-165702996.84519833	1
60507.68064252126	-165702996.84820193	1
60507.6807351552	-165702996.88995236	1
60507.680827843804	-165702996.84615588	1
60507.68092058043	-165702996.80132246	1
60507.68101322832	-165702996.81333262	1
60507.68110594035	-165702996.8583902	1
60507.68119863785	-165702996.92118156	1
60507.68129130846	-165702996.91332036	1
60507.68138400641	-165702996.93965846	1
60507.68147669116	-165702996.94297397	1
60507.68156936441	-165702996.8566662	1
60507.681662035684	-165702996.8317892	1
60507.681754755766	-165702996.85508633	1
60507.6818474489	-165702996.8817479	1
60507.68194013306	-165702996.93878633	1
60507.68203276825	-165702996.88597268	1
60507.68212547762	-165702996.81458676	1
60507.682218183756	-165702996.80122834	1
60507.68231093209	-165702996.86176622	1
60507.6824035521	-165702996.89471602	1
60507.68249625336	-165702996.86004388	1
60507.68258893618	-165702996.82299387	1
60507.682681645885	-165702996.8552572	1
60507.68277433769	-165702996.901286	1
60507.68286698488	-165702996.859935	1
60507.68295967428	-165702996.78239632	1
60507.68305243403	-165702996.8131187	1
60507.68314507984	-165702996.79218084	1
60507.68323779806	-165702996.7926333	1
60507.68333042207	-165702996.79139817	1
60507.68342317675	-165702996.76742035	1
60507.68351582919	-165702996.81915635	1
60507.68360853713	-165702996.75899023	1
60507.68370119396	-165702996.7203079	1
60507.683793932374	-165702996.77913195	1
60507.68388661352	-165702996.72982842	1
60507.6839792959	-165702996.67249256	1
60507.6840719889	-165702996.68872344	1
60507.68416464211	-165702996.6570964	1
60507.68425732219	-165702996.71189612	1
60507.68435007456	-165702996.68136203	1
60507.684442709695	-165702996.69335425	1
60507.68453541454	-165702996.69594294	1
60507.68462809842	-165702996.70367086	1
60507.68472080583	-165702996.77116716	1
60507.68481352229	-165702996.79447323	1
60507.68490612414	-165702996.72478282	1
60507.684998840254	-165702996.6720314	1
60507.685091554515	-165702996.63839155	1
60507.68518426888	-165702996.7056744	1
60507.685276888646	-165702996.67923927	1
60507.68536960389	-165702996.6911009	1
60507.68546231833	-165702996.68842655	1
60507.68555504313	-165702996.7011124	1
60507.685647676786	-165702996.7391284	1
60507.68574040696	-165702996.73437893	1
60507.68583302033	-165702996.70031875	1
60507.68592577612	-165702996.6966263	1
60507.686018481974	-165702996.72641456	1
60507.68611114557	-165702996.73508698	1
60507.68620379513	-165702996.75447398	1
60507.68629650234	-165702996.7268005	1
60507.68638917938	-165702996.73573792	1
60507.68648190722	-165702996.8036605	1
60507.68666720845	-165702996.77119428	1
60507.68675995264	-165702996.7237264	1
60507.686852626495	-165702996.6362548	1
60507.68694533722	-165702996.6573885	1
60507.68703799054	-165702996.66415143	1
60507.68713068496	-165702996.6911444	1
60507.68722341323	-165702996.71287453	1
60507.68731613683	-165702996.71638542	1
60507.68740878633	-165702996.7424007	1
60507.687501499975	-165702996.7675916	1
60507.68759415075	-165702996.74773455	1
60507.687686802565	-165702996.73058683	1
60507.68777950698	-165702996.66004294	1
60507.687872247225	-165702996.71158344	1
60507.68796490983	-165702996.7412874	1
60507.68805760107	-165702996.73296946	1
60507.688150312955	-165702996.64898866	1
60507.688242976204	-165702996.64186513	1
60507.68833567839	-165702996.7453025	1
60507.68842837156	-165702996.74574608	1
60507.688521122356	-165702996.72598916	1
60507.6886137881	-165702996.6996814	1
60507.68870642004	-165702996.73009533	1
60507.68879911192	-165702996.69039577	1
60507.68889178605	-165702996.6996647	1
60507.68898451606	-165702996.71101373	1
60507.6890771537	-165702996.68642783	1
60507.68916985761	-165702996.66944587	1
60507.68926257282	-165702996.68707085	1
60507.689355248855	-165702996.6845736	1
60507.68944790285	-165702996.6710559	1
60507.68954063301	-165702996.64186776	1
60507.68963331725	-165702996.590926	1
60507.68972600598	-165702996.696092	1
60507.68981873547	-165702996.73555708	1
60507.68991138288	-165702996.69309545	1
60507.69000410399	-165702996.6594296	1
60507.69009677542	-165702996.6727038	1
60507.69018947766	-165702996.6098566	1
60507.690282159056	-165702996.68145144	1
60507.69037488154	-165702996.67075437	1
60507.690467540764	-165702996.68708414	1
60507.690560160365	-165702996.6836031	1
60507.690652893405	-165702996.76771933	1
60507.6907455946	-165702996.7303183	1
60507.69083830474	-165702996.61989135	1
60507.690930969926	-165702996.6290425	1
60507.69102363205	-165702996.69875062	1
60507.69111634753	-165702996.62404692	1
60507.69120903528	-165702996.6079151	1
60507.69130169775	-165702996.65122932	1
60507.69139439938	-165702996.6553523	1
60507.691487116215	-165702996.66827637	1
60507.69157979825	-165702996.69221866	1
60507.6916724854	-165702996.7368191	1
60507.691765154006	-165702996.7670524	1
60507.69185797102	-165702996.6996125	1
60507.69195057771	-165702996.59594285	1
60507.69204325072	-165702996.67810625	1
60507.692135928984	-165702996.69770938	1
60507.69222862536	-165702996.66116297	1
60507.69232132939	-165702996.60580736	1
60507.69241403763	-165702996.75372386	1
60507.69250670488	-165702996.79025507	1
60507.69259933907	-165702996.7693426	1
60507.692692054596	-165702996.68716443	1
60507.69278478114	-165702996.7016403	1
60507.69287742059	-165702996.7561469	1
60507.692970092416	-165702996.73297703	1
60507.69306284349	-165702996.68713093	1
60507.693155474844	-165702996.67917234	1
60507.693248189404	-165702996.62881625	1
60507.6933409197	-165702996.66558558	1
60507.693433563196	-165702996.698806	1
60507.69352626892	-165702996.70831025	1
60507.69361889751	-165702996.6483878	1
60507.69371163499	-165702996.6320315	1
60507.69380431152	-165702996.7282815	1
60507.69389702135	-165702996.73371857	1
60507.693989659674	-165702996.68395388	1
60507.69408239509	-165702996.7119544	1
60507.69417510206	-165702996.69067115	1
60507.694267805404	-165702996.66657633	1
60507.69436049435	-165702996.663253	1
60507.69445312572	-165702996.58240128	1
60507.694545855404	-165702996.61825478	1
60507.69463853545	-165702996.67762154	1
60507.694731253076	-165702996.66664678	1
60507.69482391532	-165702996.67704254	1
60507.6949166128	-165702996.67416704	1
60507.695009309995	-165702996.67668778	1
60507.69510200812	-165702996.65096372	1
60507.69519463886	-165702996.5906235	1
60507.69528740808	-165702996.5258047	1
60507.69538001598	-165702996.66124672	1
60507.69547272792	-165702996.71502644	1
60507.69556543868	-165702996.6461494	1
60507.69565807191	-165702996.66366893	1
60507.69575081262	-165702996.69973147	1
60507.69584350037	-165702996.6611504	1
60507.69593623279	-165702996.58739388	1
60507.696028866696	-165702996.70395994	1
60507.696121589026	-165702996.75854266	1
60507.69621428144	-165702996.67625076	1
60507.69630692486	-165702996.67955142	1
60507.69639964986	-165702996.66118282	1
60507.69649233608	-165702996.6729216	1
60507.69658496873	-165702996.71415424	1
60507.696677660766	-165702996.71004766	1
60507.69677045862	-165702996.75806165	1
60507.69686306788	-165702996.77074248	1
60507.696955745356	-165702996.73706263	1
60507.69704848367	-165702996.673245	1
60507.697141070115	-165702996.59761935	1
60507.69732652761	-165702996.5730896	1
60507.69741915629	-165702996.5976972	1
60507.69751192978	-165702996.60336173	1
60507.69760462612	-165702996.65043348	1
60507.69769724356	-165702996.6955394	1
60507.697789960264	-165702996.71001667	1
60507.69788264059	-165702996.6354202	1
60507.697975389136	-165702996.59113497	1
60507.698068019396	-165702996.63911092	1
60507.698160692795	-165702996.63865477	1
60507.69825340607	-165702996.64027792	1
60507.698346131496	-165702996.6963572	1
60507.69843881761	-165702996.6776843	1
60507.6985314478	-165702996.66342258	1
60507.69862419311	-165702996.6372422	1
60507.69871682491	-165702996.61754566	1
60507.69880958245	-165702996.67537946	1
60507.698902224016	-165702996.67351598	1
60507.69899491459	-165702996.56758904	1
60507.69908758906	-165702996.57359284	1
60507.69918031535	-165702996.60072374	1
60507.69927303823	-165702996.64440274	1
60507.699365667155	-165702996.58647937	1
60507.699458407566	-165702996.5468725	1
60507.69955104131	-165702996.6219126	1
60507.699643780186	-165702996.6211456	1
60507.69973642531	-165702996.6114517	1
60507.699829140794	-165702996.62629843	1
60507.69992182594	-165702996.56027973	1
60507.7000144862	-165702996.5575428	1
60507.70010715674	-165702996.62085915	1
60507.70019989012	-165702996.65090615	1
60507.700292606576	-165702996.63021457	1
60507.700385228025	-165702996.5280869	1
60507.700477948725	-165702996.60637265	1
60507.70057061238	-165702996.58697146	1
60507.70066333768	-165702996.63324744	1
60507.70075598363	-165702996.68996942	1
60507.70084867591	-165702996.66467786	1
60507.70094139325	-165702996.61317533	1
60507.70103409031	-165702996.62257373	1
60507.70112678095	-165702996.6113404	1
60507.70121947856	-165702996.6912489	1
60507.7013121776	-165702996.68991804	1
60507.70140486116	-165702996.7521208	1
60507.701497462105	-165702996.64250064	1
60507.70159019207	-165702996.60656112	1
60507.701682928404	-165702996.59465855	1
60507.70177556566	-165702996.58710188	1
60507.70186831141	-165702996.6234069	1
60507.70196099222	-165702996.65219057	1
60507.702053634464	-165702996.58030123	1
60507.702146343785	-165702996.62282526	1
60507.70223904659	-165702996.64117026	1
60507.702331717526	-165702996.65182292	1
60507.70242447962	-165702996.7271703	1
60507.70260986758	-165702996.67254454	1
60507.702702478666	-165702996.68291283	1
60507.70279514042	-165702996.72960705	1
60507.7028878533	-165702996.6785528	1
60507.70298050707	-165702996.66277105	1
60507.70307323894	-165702996.5666293	1
60507.703165899045	-165702996.65253514	1
60507.70325867307	-165702996.74975383	1
60507.70335130817	-165702996.6998554	1
60507.703443982515	-165702996.58319056	1
60507.70353666742	-165702996.5427693	1
60507.703629406155	-165702996.60243285	1
60507.70372211282	-165702996.7129606	1
60507.703814737746	-165702996.7773385	1
60507.703907482864	-165702996.74904925	1
60507.70400012927	-165702996.68174618	1
60507.70409277059	-165702996.67880672	1
60507.70418552142	-165702996.67192698	1
60507.70427823622	-165702996.65063763	1
60507.70437091765	-165702996.59698248	1
60507.70446354396	-165702996.60732788	1
60507.704556233315	-165702996.66104645	1
60507.70464899476	-165702996.6456905	1
60507.70474160197	-165702996.69179314	1
60507.70483430167	-165702996.6612078	1
60507.7049270143	-165702996.69456863	1
60507.705019694935	-165702996.73569936	1
60507.70511235915	-165702996.63619953	1
60507.70520508752	-165702996.7126059	1
60507.70529780567	-165702996.73619485	1
60507.70539049613	-165702996.6725422	1
60507.70548316889	-165702996.55754352	1
60507.70557580379	-165702996.58592504	1
60507.70566853863	-165702996.61551797	1
60507.705761180965	-165702996.63362098	1
60507.70585394957	-165702996.5768333	1
60507.705946601585	-165702996.60777128	1
