# Readme Information 
# Data taken on 240716, analyzed on 18-Jul-2024 by script Saveshifts_forTara_v3_240716.m.
# Gravitational Redshift Corrected to Marker on floor of 1G104 labeled 811G104 
# Frequencies units of Hz. Maser ST008 references all synthesizers.
# v_yb_ideal=2*v_comb+f_shift 
# f_shift includes: Blackbody radation based on real time temperature measurement (avg shift = -1.2270), 2nd order zeeman based on real time B field measurement by atoms (avg shift = -0.0619), background gas collisions (avg shift = -0.0016), lattice AC stark shift (avg shift = -0.0007), probe AC stark shift (avg shift = 0.0000), graviational red shift (avg shift = 0.0803), and AOMs between atoms and combs (shift of 63000000)
# Run Duration 2.294290e+04 s, uptime fraction 9.531438e-01. 
t_mjd	   f_shift [Hz]  	IS_GOOD
   6.0507707305750002e+04	   6.3000001219597571e+07	   0.0000000000000000e+00	
   6.0507707319059999e+04	   6.3000001191996187e+07	   0.0000000000000000e+00	
   6.0507707335170002e+04	   6.3000001165625498e+07	   0.0000000000000000e+00	
   6.0507707351990000e+04	   6.3000001136210911e+07	   0.0000000000000000e+00	
   6.0507707368780000e+04	   6.3000001098647617e+07	   0.0000000000000000e+00	
   6.0507707385599999e+04	   6.3000001088830628e+07	   0.0000000000000000e+00	
   6.0507707402389999e+04	   6.3000001135530703e+07	   0.0000000000000000e+00	
   6.0507707419200000e+04	   6.3000001179359697e+07	   0.0000000000000000e+00	
   6.0507707436019999e+04	   6.3000001219081908e+07	   0.0000000000000000e+00	
   6.0507707452809998e+04	   6.3000001247306332e+07	   0.0000000000000000e+00	
   6.0507707469610003e+04	   6.3000001269606635e+07	   0.0000000000000000e+00	
   6.0507707486419997e+04	   6.3000001293553568e+07	   0.0000000000000000e+00	
   6.0507707503220001e+04	   6.3000001316626273e+07	   0.0000000000000000e+00	
   6.0507707520030002e+04	   6.3000001331468657e+07	   0.0000000000000000e+00	
   6.0507707536820002e+04	   6.3000001327690691e+07	   0.0000000000000000e+00	
   6.0507707553630004e+04	   6.3000001323637992e+07	   0.0000000000000000e+00	
   6.0507707570430000e+04	   6.3000001315998748e+07	   0.0000000000000000e+00	
   6.0507707587260003e+04	   6.3000001318349950e+07	   0.0000000000000000e+00	
   6.0507707604060000e+04	   6.3000001317710377e+07	   0.0000000000000000e+00	
   6.0507707620850000e+04	   6.3000001316183150e+07	   0.0000000000000000e+00	
   6.0507707637660002e+04	   6.3000001310916603e+07	   0.0000000000000000e+00	
   6.0507707654459999e+04	   6.3000001316288687e+07	   0.0000000000000000e+00	
   6.0507707671279997e+04	   6.3000001328873187e+07	   0.0000000000000000e+00	
   6.0507707688080001e+04	   6.3000001341741584e+07	   0.0000000000000000e+00	
   6.0507707704890003e+04	   6.3000001346601866e+07	   0.0000000000000000e+00	
   6.0507707721680003e+04	   6.3000001353505783e+07	   0.0000000000000000e+00	
   6.0507707738489997e+04	   6.3000001369930081e+07	   0.0000000000000000e+00	
   6.0507707755290001e+04	   6.3000001374119736e+07	   0.0000000000000000e+00	
   6.0507707772100002e+04	   6.3000001370916247e+07	   0.0000000000000000e+00	
   6.0507707788909996e+04	   6.3000001367260084e+07	   0.0000000000000000e+00	
   6.0507707805700004e+04	   6.3000001358817600e+07	   0.0000000000000000e+00	
   6.0507707822520002e+04	   6.3000001346222728e+07	   0.0000000000000000e+00	
   6.0507707839319999e+04	   6.3000001348239943e+07	   0.0000000000000000e+00	
   6.0507707856109999e+04	   6.3000001355514280e+07	   0.0000000000000000e+00	
   6.0507707872929997e+04	   6.3000001371896796e+07	   0.0000000000000000e+00	
   6.0507707889750003e+04	   6.3000001388307407e+07	   0.0000000000000000e+00	
   6.0507707906529999e+04	   6.3000001397465058e+07	   0.0000000000000000e+00	
   6.0507707923330003e+04	   6.3000001375552073e+07	   0.0000000000000000e+00	
   6.0507707940139997e+04	   6.3000001342226304e+07	   0.0000000000000000e+00	
   6.0507707956940001e+04	   6.3000001312005684e+07	   0.0000000000000000e+00	
   6.0507707973739998e+04	   6.3000001291230507e+07	   0.0000000000000000e+00	
   6.0507707990559997e+04	   6.3000001270513281e+07	   0.0000000000000000e+00	
   6.0507708007369998e+04	   6.3000001252156079e+07	   0.0000000000000000e+00	
   6.0507708024170002e+04	   6.3000001226185717e+07	   0.0000000000000000e+00	
   6.0507708040979996e+04	   6.3000001210249446e+07	   0.0000000000000000e+00	
   6.0507708057780001e+04	   6.3000001208040446e+07	   0.0000000000000000e+00	
   6.0507708074579998e+04	   6.3000001229216307e+07	   0.0000000000000000e+00	
   6.0507708091389999e+04	   6.3000001249800950e+07	   0.0000000000000000e+00	
   6.0507708108200000e+04	   6.3000001269513622e+07	   0.0000000000000000e+00	
   6.0507708124990000e+04	   6.3000001294184357e+07	   0.0000000000000000e+00	
   6.0507708141800002e+04	   6.3000001324993618e+07	   0.0000000000000000e+00	
   6.0507708158599999e+04	   6.3000001338138759e+07	   0.0000000000000000e+00	
   6.0507708175419997e+04	   6.3000001337447122e+07	   0.0000000000000000e+00	
   6.0507708192209997e+04	   6.3000001323423743e+07	   0.0000000000000000e+00	
   6.0507708209019998e+04	   6.3000001294778444e+07	   0.0000000000000000e+00	
   6.0507708225820003e+04	   6.3000001259215653e+07	   0.0000000000000000e+00	
   6.0507708242640001e+04	   6.3000001218954287e+07	   0.0000000000000000e+00	
   6.0507708259430001e+04	   6.3000001193060555e+07	   0.0000000000000000e+00	
   6.0507708276249999e+04	   6.3000001202693835e+07	   0.0000000000000000e+00	
   6.0507708293030002e+04	   6.3000001204833329e+07	   0.0000000000000000e+00	
   6.0507708309850001e+04	   6.3000001202089466e+07	   0.0000000000000000e+00	
   6.0507708326649998e+04	   6.3000001215972915e+07	   0.0000000000000000e+00	
   6.0507708343450002e+04	   6.3000001251667336e+07	   0.0000000000000000e+00	
   6.0507708360249999e+04	   6.3000001287450746e+07	   0.0000000000000000e+00	
   6.0507708377139999e+04	   6.3000001322143689e+07	   0.0000000000000000e+00	
   6.0507708393870002e+04	   6.3000001349008992e+07	   0.0000000000000000e+00	
   6.0507708410680003e+04	   6.3000001364682078e+07	   0.0000000000000000e+00	
   6.0507708427470003e+04	   6.3000001365860790e+07	   0.0000000000000000e+00	
   6.0507708444290001e+04	   6.3000001358151428e+07	   0.0000000000000000e+00	
   6.0507708461100003e+04	   6.3000001338363066e+07	   0.0000000000000000e+00	
   6.0507708477900000e+04	   6.3000001292461425e+07	   0.0000000000000000e+00	
   6.0507708494699997e+04	   6.3000001248283960e+07	   0.0000000000000000e+00	
   6.0507708511509998e+04	   6.3000001197759077e+07	   0.0000000000000000e+00	
   6.0507708528299998e+04	   6.3000001159899674e+07	   0.0000000000000000e+00	
   6.0507708545100002e+04	   6.3000001141947076e+07	   0.0000000000000000e+00	
   6.0507708561899999e+04	   6.3000001121116035e+07	   0.0000000000000000e+00	
   6.0507708578719998e+04	   6.3000001100140080e+07	   0.0000000000000000e+00	
   6.0507708595520002e+04	   6.3000001100352235e+07	   0.0000000000000000e+00	
   6.0507708612330003e+04	   6.3000001124947950e+07	   0.0000000000000000e+00	
   6.0507708629139997e+04	   6.3000001144848146e+07	   0.0000000000000000e+00	
   6.0507708645940002e+04	   6.3000001160928756e+07	   0.0000000000000000e+00	
   6.0507708662750003e+04	   6.3000001166696459e+07	   0.0000000000000000e+00	
   6.0507708679550000e+04	   6.3000001169660069e+07	   0.0000000000000000e+00	
   6.0507708696349997e+04	   6.3000001174369462e+07	   0.0000000000000000e+00	
   6.0507708713159998e+04	   6.3000001189275369e+07	   0.0000000000000000e+00	
   6.0507708729949998e+04	   6.3000001195115410e+07	   0.0000000000000000e+00	
   6.0507708746769997e+04	   6.3000001192295164e+07	   0.0000000000000000e+00	
   6.0507708763590002e+04	   6.3000001196453169e+07	   0.0000000000000000e+00	
   6.0507708780369998e+04	   6.3000001202434361e+07	   0.0000000000000000e+00	
   6.0507708797179999e+04	   6.3000001204055779e+07	   0.0000000000000000e+00	
   6.0507708813980003e+04	   6.3000001203417063e+07	   0.0000000000000000e+00	
   6.0507708830789998e+04	   6.3000001206665933e+07	   0.0000000000000000e+00	
   6.0507708847610003e+04	   6.3000001214256167e+07	   0.0000000000000000e+00	
   6.0507708864400003e+04	   6.3000001232056022e+07	   0.0000000000000000e+00	
   6.0507708881209997e+04	   6.3000001248677067e+07	   0.0000000000000000e+00	
   6.0507708898019999e+04	   6.3000001260128945e+07	   0.0000000000000000e+00	
   6.0507708914809999e+04	   6.3000001269864827e+07	   0.0000000000000000e+00	
   6.0507708931610003e+04	   6.3000001278842039e+07	   0.0000000000000000e+00	
   6.0507708948419997e+04	   6.3000001285685517e+07	   0.0000000000000000e+00	
   6.0507708965220001e+04	   6.3000001289225779e+07	   0.0000000000000000e+00	
   6.0507708982030003e+04	   6.3000001292284183e+07	   0.0000000000000000e+00	
