fo_ErYb,SDR:fb_Yb_ErYb,SDR:frep_ErYb,fb_Si_ErYb,MJD,nuSi,nuSr,nuYb
,,,,60507.709638,,,
105000000.00040001,28855436.80037000,113927.22946200,100000000.00139999,60507.70965,194397939719153.90571200,429228169936081.4375253254455,518295773594741.09775400
105000000.00150000,28855436.79991600,113927.22965900,99999999.99890000,60507.709663,194397939719192.19778400,429228169936165.9860255505088,518295773594843.19135100
104999999.99950001,28855436.79975800,113927.22958100,99999999.99969999,60507.709675,194397939719177.03645600,429228169936132.5099696238340,518295773594802.76918100
105000000.00130001,28855436.80012100,113927.22950600,100000000.00100000,60507.709687,194397939719162.45825600,429228169936100.3214543097236,518295773594763.90068000
105000000.00090000,28855436.80009100,113927.22951400,100000000.00040001,60507.709699,194397939719164.01326400,429228169936103.7548959432287,518295773594768.04663600
104999999.99969999,28855436.80002800,113927.22960800,100000000.00130001,60507.709711,194397939719182.28460800,429228169936144.0978351369137,518295773594816.76104000
105000000.00130001,28855436.79995900,113927.22941200,99999999.99879999,60507.709724,194397939719144.18691200,429228169936059.9785151160386,518295773594715.18672600
105000000.00060000,28855436.80000000,113927.22940200,99999999.99969999,60507.709736,194397939719142.24315200,429228169936055.6867130741572,518295773594710.00427400
105000000.00080000,28855436.80029200,113927.22986000,100000000.00070000,60507.709748,194397939719231.26736000,429228169936252.2512465923246,518295773594947.35623600
104999999.99930000,28855436.80018300,113927.22929400,99999999.99920000,60507.70976,194397939719121.25054400,429228169936009.3352510218383,518295773594654.03431200
105000000.00130001,28855436.79992500,113927.22956700,100000000.00030001,60507.709773,194397939719174.31519200,429228169936126.5014467652001,518295773594795.51352900
105000000.00100000,28855436.80012200,113927.22968900,99999999.99930000,60507.709785,194397939719198.02906400,429228169936178.8614316761529,518295773594858.73804900
105000000.00020000,28855436.79986200,113927.22938800,100000000.00000000,60507.709797,194397939719139.52188800,429228169936049.6781902155233,518295773594702.74923200
104999999.99959999,28855436.79989300,113927.22964900,100000000.00049999,60507.709809,194397939719190.25402400,429228169936161.6942235086274,518295773594838.00902700
105000000.00030001,28855436.79991800,113927.22953800,99999999.99879999,60507.709821,194397939719168.67828800,429228169936114.0552208437441,518295773594780.48467000
105000000.00139999,28855436.79990800,113927.22955900,100000000.00030001,60507.709834,194397939719172.76018400,429228169936123.0680051316950,518295773594791.36766700
105000000.00080000,28855436.80002900,113927.22942700,100000000.00000000,60507.709846,194397939719147.10255200,429228169936066.4162181788607,518295773594722.96014100
104999999.99959999,28855436.79956000,113927.22936300,100000000.00060000,60507.709858,194397939719134.66248800,429228169936038.9486851108199,518295773594689.79391100
105000000.00000000,28855436.80015700,113927.22994000,100000000.00040001,60507.70987,194397939719246.81744000,429228169936286.5856629273756,518295773594988.81546600
105000000.00060000,28855436.79992600,113927.22949400,99999999.99910000,60507.709883,194397939719160.12574400,429228169936095.1712918594660,518295773594757.68222600
105000000.00110000,28855436.80013100,113927.22923800,100000000.00049999,60507.709895,194397939719110.36548800,429228169935985.3011595873026,518295773594625.01314400
105000000.00080000,28855436.79991000,113927.22958600,100000000.00040001,60507.709907,194397939719178.00833600,429228169936134.6558706447747,518295773594805.36006200
105000000.00049999,28855436.80009000,113927.22956800,100000000.00000000,60507.709919,194397939719174.50956800,429228169936126.9306269693882,518295773594796.03143600
104999999.99969999,28855436.80001400,113927.22924200,100000000.00020000,60507.709931,194397939719111.14299200,429228169935987.0178804040551,518295773594627.08632600
105000000.00120001,28855436.79996100,113927.22968600,99999999.99820000,60507.709944,194397939719197.44593600,429228169936177.5738910635885,518295773594857.18366000
104999999.99969999,28855436.80010700,113927.22957400,100000000.00010000,60507.709956,194397939719175.67582400,429228169936129.5057081945170,518295773594799.14082400
105000000.00010000,28855436.79991700,113927.22926000,100000000.00030001,60507.709968,194397939719114.64176000,429228169935994.7431240794416,518295773594636.41478600
105000000.00120001,28855436.79999400,113927.22987900,99999999.99910000,60507.70998,194397939719234.96050400,429228169936260.4056704718992,518295773594957.20333500
105000000.00080000,28855436.80005800,113927.22973400,100000000.00000000,60507.709992,194397939719206.77598400,429228169936198.1745408646192,518295773594882.05884200
104999999.99890000,28855436.80021600,113927.22928900,99999999.99910000,60507.710005,194397939719120.27866400,429228169936007.1893500008976,518295773594651.44306100
105000000.00160000,28855436.80008900,113927.22919500,99999999.99950001,60507.710017,194397939719102.00732000,429228169935966.8464108072126,518295773594602.72903700
104999999.99969999,28855436.79993500,113927.22961000,100000000.00090000,60507.710029,194397939719182.67336000,429228169936144.9561955452900,518295773594817.79770000
104999999.99980000,28855436.80011900,113927.22947500,99999999.99980000,60507.710041,194397939719156.43260000,429228169936087.0168679798913,518295773594747.83533700
105000000.00030001,28855436.80016500,113927.22961200,100000000.00000000,60507.710054,194397939719183.06211200,429228169936145.8145559536663,518295773594818.83371400
