MJD,shift
60507.67953018829,-165702996.842019557952880859375
60507.6796229105,-165702996.872276008129119873046875
60507.67971561053,-165702996.911691725254058837890625
60507.67980825941,-165702996.88099801540374755859375
60507.67990094338,-165702996.856362164020538330078125
60507.67999360097,-165702996.861564815044403076171875
60507.68008630126,-165702996.82870805263519287109375
60507.68017903346,-165702996.824554026126861572265625
60507.68027173969,-165702996.807012379169464111328125
60507.68036444611,-165702996.773826897144317626953125
60507.68045708156,-165702996.80933284759521484375
60507.680549806246,-165702996.845198333263397216796875
60507.68064252126,-165702996.848201930522918701171875
60507.6807351552,-165702996.889952361583709716796875
60507.68082784381,-165702996.8461558818817138671875
60507.68092058043,-165702996.801322460174560546875
60507.68101322832,-165702996.813332617282867431640625
60507.68110594035,-165702996.85839021205902099609375
60507.68119863785,-165702996.92118155956268310546875
60507.68129130846,-165702996.913320362567901611328125
60507.68138400641,-165702996.939658463001251220703125
60507.68147669116,-165702996.94297397136688232421875
60507.68156936441,-165702996.85666620731353759765625
60507.68166203568,-165702996.831789195537567138671875
60507.681754755766,-165702996.85508632659912109375
60507.6818474489,-165702996.881747901439666748046875
60507.68194013306,-165702996.938786327838897705078125
60507.68203276825,-165702996.885972678661346435546875
60507.68212547762,-165702996.81458675861358642578125
60507.68221818376,-165702996.801228344440460205078125
60507.68231093209,-165702996.86176621913909912109375
60507.6824035521,-165702996.8947160243988037109375
60507.68249625336,-165702996.86004388332366943359375
60507.68258893618,-165702996.82299387454986572265625
60507.682681645885,-165702996.855257213115692138671875
60507.68277433769,-165702996.90128600597381591796875
60507.68286698488,-165702996.859934985637664794921875
60507.68295967428,-165702996.7823963165283203125
60507.68305243403,-165702996.8131186962127685546875
60507.68314507984,-165702996.792180836200714111328125
60507.68323779806,-165702996.7926332950592041015625
60507.68333042207,-165702996.79139816761016845703125
60507.68342317675,-165702996.767420351505279541015625
60507.68351582919,-165702996.819156348705291748046875
60507.68360853713,-165702996.758990228176116943359375
60507.68370119396,-165702996.720307886600494384765625
60507.683793932374,-165702996.779131948947906494140625
60507.68388661352,-165702996.729828417301177978515625
60507.6839792959,-165702996.672492563724517822265625
60507.6840719889,-165702996.68872344493865966796875
60507.68416464211,-165702996.657096385955810546875
60507.68425732219,-165702996.711896121501922607421875
60507.68435007456,-165702996.68136203289031982421875
60507.684442709695,-165702996.69335424900054931640625
60507.68453541454,-165702996.695942938327789306640625
60507.68462809842,-165702996.70367085933685302734375
60507.68472080583,-165702996.77116715908050537109375
60507.68481352229,-165702996.794473230838775634765625
60507.68490612414,-165702996.72478282451629638671875
60507.684998840254,-165702996.672031402587890625
60507.685091554515,-165702996.638391554355621337890625
60507.68518426888,-165702996.7056744098663330078125
60507.685276888646,-165702996.6792392730712890625
60507.68536960389,-165702996.691100895404815673828125
60507.68546231833,-165702996.688426554203033447265625
60507.68555504313,-165702996.70111238956451416015625
60507.685647676786,-165702996.739128410816192626953125
60507.68574040696,-165702996.73437893390655517578125
60507.68583302033,-165702996.700318753719329833984375
60507.68592577612,-165702996.69662630558013916015625
60507.686018481974,-165702996.72641456127166748046875
60507.68611114557,-165702996.735086977481842041015625
60507.68620379513,-165702996.754473984241485595703125
60507.68629650234,-165702996.726800501346588134765625
60507.68638917938,-165702996.73573791980743408203125
60507.68648190722,-165702996.80366051197052001953125
60507.68665551833,
60507.68666720845,-165702996.771194279193878173828125
60507.68675995264,-165702996.72372639179229736328125
60507.686852626495,-165702996.636254787445068359375
60507.68694533722,-165702996.657388508319854736328125
60507.68703799054,-165702996.6641514301300048828125
60507.68713068496,-165702996.691144406795501708984375
60507.68722341323,-165702996.71287453174591064453125
60507.68731613683,-165702996.716385424137115478515625
60507.68740878633,-165702996.742400705814361572265625
60507.687501499975,-165702996.76759159564971923828125
60507.68759415075,-165702996.747734546661376953125
60507.687686802565,-165702996.730586826801300048828125
60507.68777950698,-165702996.660042941570281982421875
60507.687872247225,-165702996.711583435535430908203125
60507.68796490983,-165702996.741287410259246826171875
60507.68805760107,-165702996.732969462871551513671875
60507.688150312955,-165702996.648988664150238037109375
60507.688242976204,-165702996.64186513423919677734375
60507.68833567839,-165702996.745302498340606689453125
60507.68842837156,-165702996.745746076107025146484375
60507.68852112235,-165702996.725989162921905517578125
60507.6886137881,-165702996.69968140125274658203125
60507.68870642004,-165702996.730095326900482177734375
60507.68879911192,-165702996.690395772457122802734375
60507.68889178605,-165702996.69966471195220947265625
60507.68898451606,-165702996.711013734340667724609375
60507.6890771537,-165702996.6864278316497802734375
60507.68916985761,-165702996.66944587230682373046875
60507.68926257282,-165702996.6870708465576171875
60507.689355248855,-165702996.684573590755462646484375
60507.68944790285,-165702996.67105591297149658203125
60507.68954063301,-165702996.64186775684356689453125
60507.68963331725,-165702996.590925991535186767578125
60507.68972600598,-165702996.69609200954437255859375
60507.68981873547,-165702996.735557079315185546875
60507.68991138288,-165702996.6930954456329345703125
60507.69000410399,-165702996.659429609775543212890625
60507.69009677542,-165702996.672703802585601806640625
60507.69018947766,-165702996.60985660552978515625
60507.690282159056,-165702996.68145143985748291015625
60507.69037488154,-165702996.670754373073577880859375
60507.69046754077,-165702996.687084138393402099609375
60507.690560160365,-165702996.683603107929229736328125
60507.690652893405,-165702996.767719328403472900390625
60507.6907455946,-165702996.7303183078765869140625
60507.69083830474,-165702996.619891345500946044921875
60507.690930969926,-165702996.62904250621795654296875
60507.69102363205,-165702996.69875061511993408203125
60507.69111634753,-165702996.62404692173004150390625
60507.69120903528,-165702996.607915103435516357421875
60507.69130169775,-165702996.651229321956634521484375
60507.69139439938,-165702996.655352294445037841796875
60507.691487116215,-165702996.668276369571685791015625
60507.69157979825,-165702996.69221866130828857421875
60507.6916724854,-165702996.736819088459014892578125
60507.691765154006,-165702996.7670524120330810546875
60507.69185797102,-165702996.69961249828338623046875
60507.69195057771,-165702996.59594285488128662109375
60507.69204325072,-165702996.678106248378753662109375
60507.692135928984,-165702996.697709381580352783203125
60507.69222862536,-165702996.66116297245025634765625
60507.69232132939,-165702996.605807363986968994140625
60507.69241403763,-165702996.7537238597869873046875
60507.69250670488,-165702996.790255069732666015625
60507.69259933907,-165702996.769342601299285888671875
60507.69269205459,-165702996.68716442584991455078125
60507.69278478114,-165702996.701640307903289794921875
60507.69287742059,-165702996.756146907806396484375
60507.692970092416,-165702996.73297703266143798828125
60507.69306284349,-165702996.68713092803955078125
60507.693155474844,-165702996.679172337055206298828125
60507.69324818941,-165702996.62881624698638916015625
60507.6933409197,-165702996.665585577487945556640625
60507.6934335632,-165702996.698805987834930419921875
60507.69352626892,-165702996.70831024646759033203125
60507.69361889751,-165702996.64838778972625732421875
60507.69371163499,-165702996.632031500339508056640625
60507.69380431152,-165702996.728281497955322265625
60507.69389702135,-165702996.733718574047088623046875
60507.693989659674,-165702996.68395388126373291015625
60507.69408239509,-165702996.711954414844512939453125
60507.69417510206,-165702996.690671145915985107421875
60507.69426780541,-165702996.666576325893402099609375
60507.69436049435,-165702996.663253009319305419921875
60507.69445312572,-165702996.582401275634765625
60507.69454585541,-165702996.61825478076934814453125
60507.69463853545,-165702996.677621543407440185546875
60507.694731253076,-165702996.666646778583526611328125
60507.69482391532,-165702996.677042543888092041015625
60507.6949166128,-165702996.67416703701019287109375
60507.695009309995,-165702996.676687777042388916015625
60507.69510200812,-165702996.650963723659515380859375
60507.69519463886,-165702996.59062349796295166015625
60507.69528740808,-165702996.525804698467254638671875
60507.69538001598,-165702996.661246716976165771484375
60507.69547272792,-165702996.715026438236236572265625
60507.69556543868,-165702996.6461493968963623046875
60507.69565807191,-165702996.663668930530548095703125
60507.69575081262,-165702996.69973146915435791015625
60507.69584350037,-165702996.661150395870208740234375
60507.69593623279,-165702996.58739387989044189453125
60507.696028866696,-165702996.703959941864013671875
60507.696121589026,-165702996.75854265689849853515625
60507.69621428144,-165702996.676250755786895751953125
60507.69630692486,-165702996.679551422595977783203125
60507.69639964986,-165702996.661182820796966552734375
60507.69649233608,-165702996.672921597957611083984375
60507.69658496873,-165702996.71415424346923828125
60507.696677660766,-165702996.710047662258148193359375
60507.69677045862,-165702996.7580616474151611328125
60507.69686306788,-165702996.770742475986480712890625
60507.69695574536,-165702996.737062633037567138671875
60507.69704848367,-165702996.673245012760162353515625
60507.697141070115,-165702996.597619354724884033203125
60507.69731468122,
60507.69732652761,-165702996.573089599609375
60507.69741915629,-165702996.597697198390960693359375
60507.69751192978,-165702996.60336172580718994140625
60507.69760462612,-165702996.650433480739593505859375
