MJD,shift,IS_GOOD
60507.70730575,NaN,False
60507.70731906,NaN,False
60507.70733517,NaN,False
60507.70735199,NaN,False
60507.70736878,NaN,False
60507.7073856,NaN,False
60507.70740239,NaN,False
60507.7074192,NaN,False
60507.70743602,NaN,False
60507.70745281,NaN,False
60507.70746961,NaN,False
60507.70748642,NaN,False
60507.70750322,NaN,False
60507.70752003,NaN,False
60507.70753682,NaN,False
60507.70755363,NaN,False
60507.70757043,NaN,False
60507.70758726,NaN,False
60507.70760406,NaN,False
60507.70762085,NaN,False
60507.70763766,NaN,False
60507.70765446,NaN,False
60507.70767128,NaN,False
60507.70768808,NaN,False
60507.70770489,NaN,False
60507.70772168,NaN,False
60507.70773849,NaN,False
60507.70775529,NaN,False
60507.7077721,NaN,False
60507.70778891,NaN,False
60507.7078057,NaN,False
60507.70782252,NaN,False
60507.70783932,NaN,False
60507.70785611,NaN,False
60507.70787293,NaN,False
60507.70788975,NaN,False
60507.70790653,NaN,False
60507.70792333,NaN,False
60507.70794014,NaN,False
60507.70795694,NaN,False
60507.70797374,NaN,False
60507.70799056,NaN,False
60507.70800737,NaN,False
60507.70802417,NaN,False
60507.70804098,NaN,False
60507.70805778,NaN,False
60507.70807458,NaN,False
60507.70809139,NaN,False
60507.7081082,NaN,False
60507.70812499,NaN,False
60507.7081418,NaN,False
60507.7081586,NaN,False
60507.70817542,NaN,False
60507.70819221,NaN,False
60507.70820902,NaN,False
60507.70822582,NaN,False
60507.70824264,NaN,False
60507.70825943,NaN,False
60507.70827625,NaN,False
60507.70829303,NaN,False
60507.70830985,NaN,False
60507.70832665,NaN,False
60507.70834345,NaN,False
60507.70836025,NaN,False
60507.70837714,NaN,False
60507.70839387,NaN,False
60507.70841068,NaN,False
60507.70842747,NaN,False
60507.70844429,NaN,False
60507.7084611,NaN,False
60507.7084779,NaN,False
60507.7084947,NaN,False
60507.70851151,NaN,False
60507.7085283,NaN,False
60507.7085451,NaN,False
60507.7085619,NaN,False
60507.70857872,NaN,False
60507.70859552,NaN,False
60507.70861233,NaN,False
60507.70862914,NaN,False
60507.70864594,NaN,False
60507.70866275,NaN,False
60507.70867955,NaN,False
60507.70869635,NaN,False
60507.70871316,NaN,False
60507.70872995,NaN,False
60507.70874677,NaN,False
60507.70876359,NaN,False
60507.70878037,NaN,False
60507.70879718,NaN,False
60507.70881398,NaN,False
60507.70883079,NaN,False
60507.70884761,NaN,False
60507.7088644,NaN,False
60507.70888121,NaN,False
60507.70889802,NaN,False
60507.70891481,NaN,False
60507.70893161,NaN,False
60507.70894842,NaN,False
60507.70896522,NaN,False
60507.70898203,NaN,False
60507.70899884,NaN,False
60507.70901564,NaN,False
60507.70903245,NaN,False
60507.70904926,NaN,False
60507.70906605,NaN,False
60507.70908286,NaN,False
60507.70909964,NaN,False
60507.70911646,NaN,False
60507.70913327,NaN,False
60507.70915008,NaN,False
60507.70916688,NaN,False
60507.70918369,NaN,False
60507.70920051,NaN,False
60507.70921729,NaN,False
60507.70923411,NaN,False
60507.7092509,NaN,False
60507.70926771,NaN,False
60507.70928453,NaN,False
60507.70930133,NaN,False
60507.70931811,NaN,False
60507.70933493,NaN,False
60507.70935174,NaN,False
60507.70936855,NaN,False
60507.70938534,NaN,False
60507.70940215,NaN,False
60507.70941894,NaN,False
60507.70943576,NaN,False
60507.70945257,NaN,False
60507.70946937,NaN,False
60507.70948617,NaN,False
60507.70950297,NaN,False
60507.70951977,NaN,False
60507.70953659,NaN,False
60507.70955338,NaN,False
60507.7095702,NaN,False
60507.70958699,NaN,False
60507.70960382,NaN,False
60507.70962061,NaN,False
60507.70963741,NaN,False
60507.70965421,NaN,False
60507.70967103,NaN,False
60507.70968782,NaN,False
60507.70970463,NaN,False
