"MJD" "shift"
"60507.6795301883" "-165702996.8420195281506"
"60507.6796229105" "-165702996.8722760081291"
"60507.6797156105" "-165702996.9116917252541"
"60507.6798082594" "-165702996.8809980452061"
"60507.6799009434" "-165702996.8563621938229"
"60507.6799936010" "-165702996.8615647852421"
"60507.6800863013" "-165702996.8287080526352"
"60507.6801790335" "-165702996.8245539963245"
"60507.6802717397" "-165702996.8070124089718"
"60507.6803644461" "-165702996.7738268971443"
"60507.6804570816" "-165702996.8093328177929"
"60507.6805498062" "-165702996.8451983630657"
"60507.6806425213" "-165702996.8482019603252"
"60507.6807351552" "-165702996.8899523019791"
"60507.6808278438" "-165702996.8461558520794"
"60507.6809205804" "-165702996.8013224303722"
"60507.6810132283" "-165702996.8133326172829"
"60507.6811059403" "-165702996.8583901822567"
"60507.6811986379" "-165702996.9211815893650"
"60507.6812913085" "-165702996.9133203625679"
"60507.6813840064" "-165702996.9396584928036"
"60507.6814766912" "-165702996.9429739713669"
"60507.6815693644" "-165702996.8566662371159"
"60507.6816620357" "-165702996.8317891955376"
"60507.6817547558" "-165702996.8550863265991"
"60507.6818474489" "-165702996.8817479014397"
"60507.6819401331" "-165702996.9387862980366"
"60507.6820327683" "-165702996.8859727084637"
"60507.6821254776" "-165702996.8145867288113"
"60507.6822181838" "-165702996.8012283444405"
"60507.6823109321" "-165702996.8617661893368"
"60507.6824035521" "-165702996.8947160243988"
"60507.6824962534" "-165702996.8600438535213"
"60507.6825889362" "-165702996.8229939341545"
"60507.6826816459" "-165702996.8552571833134"
"60507.6827743377" "-165702996.9012860655785"
"60507.6828669849" "-165702996.8599349558353"
"60507.6829596743" "-165702996.7823963165283"
"60507.6830524340" "-165702996.8131186664104"
"60507.6831450798" "-165702996.7921808660030"
"60507.6832377981" "-165702996.7926333248615"
"60507.6833304221" "-165702996.7913982272148"
"60507.6834231767" "-165702996.7674203813076"
"60507.6835158292" "-165702996.8191563785076"
"60507.6836085371" "-165702996.7589901983738"
"60507.6837011940" "-165702996.7203078269958"
"60507.6837939324" "-165702996.7791319489479"
"60507.6838866135" "-165702996.7298284173012"
"60507.6839792959" "-165702996.6724925041199"
"60507.6840719889" "-165702996.6887234151363"
"60507.6841646421" "-165702996.6570963561535"
"60507.6842573222" "-165702996.7118960916996"
"60507.6843500746" "-165702996.6813620626926"
"60507.6844427097" "-165702996.6933542788029"
"60507.6845354145" "-165702996.6959429085255"
"60507.6846280984" "-165702996.7036708593369"
"60507.6847208058" "-165702996.7711672186852"
"60507.6848135223" "-165702996.7944732904434"
"60507.6849061241" "-165702996.7247829139233"
"60507.6849988403" "-165702996.6720313429832"
"60507.6850915545" "-165702996.6383915543556"
"60507.6851842689" "-165702996.7056743502617"
"60507.6852768886" "-165702996.6792392730713"
"60507.6853696039" "-165702996.6911009550095"
"60507.6854623183" "-165702996.6884265244007"
"60507.6855550431" "-165702996.7011123597622"
"60507.6856476768" "-165702996.7391283512115"
"60507.6857404070" "-165702996.7343788743019"
"60507.6858330203" "-165702996.7003187239170"
"60507.6859257761" "-165702996.6966263353825"
"60507.6860184820" "-165702996.7264145612717"
"60507.6861111456" "-165702996.7350870072842"
"60507.6862037951" "-165702996.7544740140438"
"60507.6862965023" "-165702996.7268004417419"
"60507.6863891794" "-165702996.7357378602028"
"60507.6864819072" "-165702996.8036605417728"
"60507.6866555183" "-165702996.7431701123714"
"60507.6866672085" "-165702996.7711943089962"
"60507.6867599526" "-165702996.7237263619900"
"60507.6868526265" "-165702996.6362548172474"
"60507.6869453372" "-165702996.6573885083199"
"60507.6870379905" "-165702996.6641514897346"
"60507.6871306850" "-165702996.6911444067955"
"60507.6872234132" "-165702996.7128745019436"
"60507.6873161368" "-165702996.7163853943348"
"60507.6874087863" "-165702996.7424007058144"
"60507.6875015000" "-165702996.7675916552544"
"60507.6875941508" "-165702996.7477345168591"
"60507.6876868026" "-165702996.7305868566036"
"60507.6877795070" "-165702996.6600429117680"
"60507.6878722472" "-165702996.7115834057331"
"60507.6879649098" "-165702996.7412874102592"
"60507.6880576011" "-165702996.7329695224762"
"60507.6881503130" "-165702996.6489886641502"
"60507.6882429762" "-165702996.6418651044369"
"60507.6883356784" "-165702996.7453024983406"
"60507.6884283716" "-165702996.7457460463047"
"60507.6885211223" "-165702996.7259891033173"
"60507.6886137881" "-165702996.6996814310551"
"60507.6887064200" "-165702996.7300953567028"
"60507.6887991119" "-165702996.6903957724571"
"60507.6888917860" "-165702996.6996646821499"
"60507.6889845161" "-165702996.7110137343407"
"60507.6890771537" "-165702996.6864278912544"
"60507.6891698576" "-165702996.6694459319115"
"60507.6892625728" "-165702996.6870708763599"
"60507.6893552489" "-165702996.6845736503601"
"60507.6894479028" "-165702996.6710559427738"
"60507.6895406330" "-165702996.6418677568436"
"60507.6896333172" "-165702996.5909260213375"
"60507.6897260060" "-165702996.6960919797421"
"60507.6898187355" "-165702996.7355571091175"
"60507.6899113829" "-165702996.6930954456329"
"60507.6900041040" "-165702996.6594295799732"
"60507.6900967754" "-165702996.6727037727833"
"60507.6901894777" "-165702996.6098565757275"
"60507.6902821591" "-165702996.6814515292645"
"60507.6903748815" "-165702996.6707543432713"
"60507.6904675408" "-165702996.6870840489864"
"60507.6905601604" "-165702996.6836031079292"
"60507.6906528934" "-165702996.7677193880081"
"60507.6907455946" "-165702996.7303183376789"
"60507.6908383047" "-165702996.6198913156986"
"60507.6909309699" "-165702996.6290424764156"
