"MJD" "shift"
"60507.70730575" "63000002.06286866962910"
"60507.70731906" "63000002.06285459548235"
"60507.70733517" "63000002.06282654404640"
"60507.70735199" "63000002.06278458237648"
"60507.70736878" "63000002.06272881478071"
"60507.70738560" "63000002.06265930831432"
"60507.70740239" "63000002.06257615238428"
"60507.70741920" "63000002.06247944384813"
"60507.70743602" "63000002.06236924976110"
"60507.70745281" "63000002.06224566698074"
"60507.70746961" "63000002.06210877746344"
"60507.70748642" "63000002.06195866316557"
"60507.70750322" "63000002.06179540604353"
"60507.70752003" "63000002.06161910295486"
"60507.70753682" "63000002.06142982840538"
"60507.70755363" "63000002.06122767180204"
"60507.70757043" "63000002.06101270765066"
"60507.70758726" "63000002.06078504025936"
"60507.70760406" "63000002.06054473668337"
"60507.70762085" "63000002.06029189378023"
"60507.70763766" "63000002.06002658605576"
"60507.70765446" "63000002.05974890291691"
"60507.70767128" "63000002.05945893377066"
"60507.70768808" "63000002.05915675312281"
"60507.70770489" "63000002.05884245038033"
"60507.70772168" "63000002.05851611495018"
"60507.70773849" "63000002.05817782878876"
"60507.70775529" "63000002.05782767385244"
"60507.70777210" "63000002.05746573954821"
"60507.70778891" "63000002.05709210783243"
"60507.70780570" "63000002.05670686066151"
"60507.70782252" "63000002.05631008744240"
"60507.70783932" "63000002.05590187758207"
"60507.70785611" "63000002.05548229813576"
"60507.70787293" "63000002.05505145341158"
"60507.70788975" "63000002.05460941791534"
"60507.70790653" "63000002.05415627360344"
"60507.70792333" "63000002.05369211733341"
"60507.70794014" "63000002.05321702361107"
"60507.70795694" "63000002.05273108184338"
"60507.70797374" "63000002.05223437398672"
"60507.70799056" "63000002.05172698199749"
"60507.70800737" "63000002.05120900273323"
"60507.70802417" "63000002.05068051069975"
"60507.70804098" "63000002.05014158785343"
"60507.70805778" "63000002.04959233105183"
"60507.70807458" "63000002.04903280735016"
"60507.70809139" "63000002.04846312105656"
"60507.70810820" "63000002.04788334667683"
"60507.70812499" "63000002.04729357361794"
"60507.70814180" "63000002.04669387638569"
"60507.70815860" "63000002.04608435183764"
"60507.70817542" "63000002.04546507447958"
"60507.70819221" "63000002.04483614116907"
"60507.70820902" "63000002.04419761896133"
"60507.70822582" "63000002.04354961216450"
"60507.70824264" "63000002.04289219528437"
"60507.70825943" "63000002.04222545772791"
"60507.70827625" "63000002.04154947400093"
"60507.70829303" "63000002.04086434096098"
"60507.70830985" "63000002.04017013311386"
"60507.70832665" "63000002.03946694731712"
"60507.70834345" "63000002.03875485807657"
"60507.70836025" "63000002.03803395479918"
"60507.70837714" "63000002.03730431944132"
"60507.70839387" "63000002.03656603395939"
"60507.70841068" "63000002.03581919521093"
"60507.70842747" "63000002.03506387770176"
"60507.70844429" "63000002.03430016338825"
"60507.70846110" "63000002.03352814912796"
"60507.70847790" "63000002.03274790942669"
"60507.70849470" "63000002.03195953369141"
"60507.70851151" "63000002.03116311132908"
"60507.70852830" "63000002.03035870939493"
"60507.70854510" "63000002.02954643219709"
"60507.70856190" "63000002.02872635424137"
"60507.70857872" "63000002.02789856493473"
"60507.70859552" "63000002.02706314623356"
"60507.70861233" "63000002.02622018754482"
"60507.70862914" "63000002.02536976337433"
"60507.70864594" "63000002.02451197057962"
"60507.70866275" "63000002.02364688366652"
"60507.70867955" "63000002.02277459204197"
"60507.70869635" "63000002.02189518511295"
"60507.70871316" "63000002.02100873738527"
"60507.70872995" "63000002.02011533826590"
"60507.70874677" "63000002.01921507716179"
"60507.70876359" "63000002.01830803602934"
"60507.70878037" "63000002.01739429682493"
"60507.70879718" "63000002.01647394895554"
"60507.70881398" "63000002.01554706692696"
"60507.70883079" "63000002.01461374759674"
"60507.70884761" "63000002.01367407292128"
"60507.70886440" "63000002.01272812485695"
"60507.70888121" "63000002.01177598536015"
"60507.70889802" "63000002.01081774383783"
"60507.70891481" "63000002.00985348969698"
"60507.70893161" "63000002.00888329744339"
"60507.70894842" "63000002.00790725648403"
"60507.70896522" "63000002.00692545622587"
"60507.70898203" "63000002.00593797117472"
"60507.70899884" "63000002.00494489818811"
"60507.70901564" "63000002.00394631177187"
"60507.70903245" "63000002.00294230133295"
"60507.70904926" "63000002.00193294882774"
"60507.70906605" "63000002.00091834366322"
"60507.70908286" "63000001.99989856779575"
"60507.70909964" "63000001.99887370318174"
"60507.70911646" "63000001.99784383922815"
"60507.70913327" "63000001.99680905789137"
"60507.70915008" "63000001.99576944857836"
"60507.70916688" "63000001.99472508579493"
"60507.70918369" "63000001.99367606639862"
"60507.70920051" "63000001.99262247234583"
"60507.70921729" "63000001.99156438559294"
